GeneSymbol,PValue
Tead1,0.112
Myst3,0.212
Dek,0.271
Topbp1,0.281
Zfp58,0.291
Slc25a16,0.346
Pdzrn3,0.379
Uba2,0.38
Ylpm1,0.398
Dcn,0.436
Plod2,0.477
Fam54a,0.524
Nr2f1,0.527
Eif3d,0.534
Nvl,0.541
Ptch2,0.554
2610203C20Rik,0.558
Flrt2,0.568
Psma2,0.568
Dis3,0.577
Smc3,0.577
Zfpm2,0.59
Prrx1,0.595
Pkd2,0.599
Smarca5,0.605
Haus5,0.611
Wdr46,0.611
Smc2,0.614
Zik1,0.616
Hoxa1,0.618
Hnrnpab,0.62
Tmem209,0.621
Psmb4,0.624
Upp2,0.631
Mcm9,0.634
Taf11,0.634
Hoxa3,0.638
Dnajc18,0.639
Gli3,0.639
Dnajc24,0.64
Phb,0.641
Rfc4,0.642
Fbxo25,0.643
Tfam,0.643
Ssb,0.645
St14,0.646
Tmc5,0.647
Eif3e,0.648
Gpc6,0.648
Mapk6,0.649
Tcte2,0.65
Il1rap,0.651
Pogz,0.651
Gmds,0.651
Gtpbp1,0.652
Ndn,0.653
Zmiz1,0.656
Elf3,0.656
Sirt3,0.656
Tmsb10,0.656
D19Bwg1357e,0.657
Blm,0.657
2610021A01Rik,0.658
Iws1,0.66
Hnrnpa1,0.66
Rad18,0.66
Snai2,0.66
Ager,0.661
Crebbp,0.661
Zc3hc1,0.661
Tcf7l1,0.661
Pls3,0.662
Dnttip2,0.662
Kifc5b,0.663
Adrb2,0.663
Cd247,0.663
Atp6v1c1,0.664
Cdc6,0.665
Mki67,0.665
Timeless,0.665
Lmnb1,0.665
Kctd5,0.665
Polr2b,0.666
Nup153,0.666
Mgat4a,0.666
Wdr37,0.666
Sgol1,0.666
Asgr2,0.666
Galnt7,0.667
F2rl1,0.667
Ipo11,0.668
Sbno2,0.668
Mtch1,0.668
Hoxa5,0.67
Fn3k,0.671
Arhgef5,0.672
Prkdc,0.672
Nup133,0.673
Hnrnpm,0.674
Ten1,0.674
Meis1,0.674
2900056M20Rik,0.674
Melk,0.674
Ppig,0.675
Pdpn,0.676
Ints12,0.676
S100pbp,0.677
Ptpre,0.677
Dhdh,0.677
Smyd3,0.678
Mis18bp1,0.678
1700027A23Rik,0.679
Med6,0.679
Ddx46,0.679
Dnajc8,0.679
Kank3,0.68
Mll2,0.68
Vcl,0.68
Sh3rf1,0.68
Pnp,0.68
Haus1,0.681
Fmn1,0.681
H1fx,0.682
Dbf4,0.683
Frk,0.683
Rnps1,0.683
Parp1,0.684
Dedd2,0.684
Copa,0.684
Ptger4,0.684
Chd2,0.684
Cbx5,0.684
Yap1,0.685
Tex261,0.685
Iqgap3,0.685
