GeneSymbol,PValue
Bnc2,0.028
Prdm5,0.039
Tead2,0.04
Zeb2,0.142
Snai2,0.153
Zfp58,0.172
Twist2,0.207
Pax1,0.222
Gli3,0.24
Gjc1,0.241
Hic1,0.257
Mmp2,0.261
Igfbp5,0.269
Fzd2,0.273
Hoxa1,0.283
Hoxb3,0.292
Serpinh1,0.293
Meis1,0.296
Twist1,0.303
Itm2a,0.31
Col5a2,0.316
Prrx2,0.319
Fstl1,0.322
Col3a1,0.323
Gpx8,0.331
Fbn1,0.334
Snai1,0.339
Col1a2,0.339
Zfpm2,0.342
Gnaq,0.345
Col6a1,0.348
Phb,0.361
Tmem45a,0.361
Lpar4,0.363
Pdgfra,0.366
Aebp1,0.367
Gli2,0.372
Tfpi,0.375
Nfatc2,0.377
Ddah2,0.381
Fgfr1,0.382
Vasn,0.384
Postn,0.39
Gnb4,0.391
Cdh11,0.394
Ccdc102a,0.396
Col1a1,0.409
Adamts9,0.414
Lhfp,0.418
Tcf7l1,0.418
Gpr124,0.422
Hoxa2,0.424
Dnm3os,0.427
Exo1,0.428
Lox,0.429
Nr2f2,0.43
Nxn,0.43
Dcaf12,0.433
Mcm3,0.434
Wnt5a,0.436
Srpx,0.439
Nfib,0.44
Adamts12,0.441
Sulf1,0.445
Leprel2,0.445
Fkbp10,0.445
Slit2,0.448
Igf2bp2,0.448
Col5a1,0.451
Sfrp2,0.451
Pdcd5,0.456
Ppic,0.457
Vgll3,0.458
Nid2,0.458
Rbms3,0.46
Cfdp1,0.461
Arpp19,0.464
G2e3,0.464
Lgals1,0.465
Bicc1,0.468
Dlg5,0.469
Jub,0.469
Mecom,0.471
Dennd2a,0.473
Akap12,0.475
Mmp11,0.479
Ptgis,0.482
Plod2,0.485
Islr,0.485
Plagl1,0.486
Arhgap28,0.489
Mest,0.49
Ncl,0.49
Gpr153,0.493
Npm1,0.494
Lrrc17,0.496
Tead1,0.497
Epha3,0.497
BC055324,0.501
Vim,0.502
Pdgfc,0.502
Nop58,0.508
Trim28,0.51
Cav1,0.511
Col6a2,0.511
Smc2,0.512
Rnf6,0.512
Pcdh18,0.519
Lamb1,0.52
Zmym1,0.52
Fst,0.523
Tipin,0.523
Rnf141,0.524
Tgfbr3,0.524
Fat4,0.526
Orc6,0.528
Il17rd,0.531
Yap1,0.533
Fbxo5,0.535
Igdcc4,0.539
Zglp1,0.539
Gli1,0.54
Myh10,0.541
Ing5,0.541
Polr2h,0.543
Amotl1,0.544
Smpd4,0.546
Col4a1,0.547
Timp2,0.547
Hnrnpa0,0.549
Trim59,0.551
Osr1,0.551
Zfhx3,0.556
2610203C20Rik,0.556
G3bp1,0.557
Scx,0.559
Cenpf,0.559
Pdk2,0.562
Tcp1,0.562
Zfp532,0.563
Obsl1,0.563
Klf6,0.564
Zkscan14,0.565
Nae1,0.565
Nup93,0.565
Zfp521,0.566
Gulp1,0.568
Hells,0.568
Tpt1,0.57
Msh6,0.57
Ndc80,0.574
Mettl10,0.574
Mtf2,0.576
Tsen34,0.578
Mcm6,0.579
2010107H07Rik,0.58
Mxra8,0.583
Prkaa2,0.583
Gas1,0.585
Snrpg,0.586
Ccdc23,0.588
2610021A01Rik,0.588
Hat1,0.59
Mms22l,0.591
Oip5,0.591
Hdac2,0.594
Kif20b,0.594
Xpo1,0.595
Pelp1,0.595
Nexn,0.598
Adamts2,0.598
Crispld2,0.598
Nhp2l1,0.599
Ltbp1,0.599
Tgfb3,0.6
D19Bwg1357e,0.601
Bub1,0.603
Ska1,0.604
Hnrnpa3,0.604
Ror2,0.605
Dkk3,0.606
Alkbh1,0.606
Hoxb4,0.607
Snrpe,0.609
Wdr3,0.61
Glis2,0.61
Ino80,0.61
Nup43,0.61
Cenpw,0.611
Col4a5,0.613
Foxh1,0.614
Chaf1b,0.614
Zfp654,0.614
Rbpj,0.614
Cdca4,0.615
Psrc1,0.617
Prdm9,0.618
Blm,0.619
Mre11a,0.619
Ska3,0.62
Phactr4,0.621
Casc5,0.621
Dact1,0.621
Wdr77,0.622
Ndufaf3,0.622
Cdca8,0.624
BC018507,0.625
Casp8ap2,0.625
Orc2,0.626
Leprel4,0.626
Rrm2,0.626
Myl9,0.626
Leng1,0.627
Ttk,0.628
Tia1,0.628
Prune2,0.629
2700050L05Rik,0.629
Mcm2,0.63
Sae1,0.63
Nrp2,0.631
Ddx18,0.632
Ube2t,0.632
Luc7l3,0.633
Polr1b,0.633
Rqcd1,0.634
Pdgfrb,0.634
