tf,p-value
Hnf4a,0.0
Zfp292,0.0
Chd8,0.0
Zfp280d,0.0
Cxxc1,0.0002
Dmtf1,0.0003
Nr1h4,0.0015
Snai2,0.002
Hmg20a,0.0067
Creb3l3,0.0095
Sin3a,0.0125
Klf6,0.0137
Smad4,0.0145
Nr1i2,0.0182
Esr1,0.0208
Carhsp1,0.022
Sra1,0.0253
Rb1,0.0285
Nr3c2,0.0285
Mysm1,0.0313
Gabpa,0.0341
Atf1,0.0399
Zfml,0.045
Gzf1,0.0459
Med6,0.0461
Zfp148,0.0467
Smarca5,0.0513
Nr1i3,0.0537
Crebbp,0.0553
Zfp422,0.0567
Crebzf,0.0594
Ctcf,0.067
Cc2d1a,0.0682
Zkscan14,0.0696
Foxa1,0.0699
Trim28,0.0725
Nfkb1,0.0798
Trim27,0.0816
Ldb1,0.0839
Thoc1,0.0864
Bclaf1,0.1144
Yap1,0.1182
Fubp1,0.1197
Lin54,0.1306
Stat6,0.1329
Topors,0.1331
Bmi1,0.1332
Irf9,0.1435
Thap7,0.1482
Mbd3,0.1527
Nfib,0.1587
Zkscan17,0.1731
Gatad1,0.1881
Zfp280c,0.1918
Bcl3,0.1947
Taf2,0.1961
Gon4l,0.2013
Nfkb2,0.2033
Gtf2f2,0.2043
Pknox1,0.2064
Pbrm1,0.2213
E2f3,0.2219
Zfp524,0.2231
Ppargc1a,0.227
Hnf1b,0.231
Bptf,0.2412
Trim33,0.2414
Onecut2,0.2504
Psip1,0.2515
Gtf2b,0.2533
E2f8,0.2659
Purb,0.2757
Mtf1,0.2765
Ppara,0.2773
Gm98,0.2774
Taf9,0.2776
Hdac3,0.2829
Nfyb,0.2849
Atf6b,0.2871
Suz12,0.2961
Ruvbl2,0.2971
Sap30,0.2975
Zfp143,0.2987
Mga,0.2997
Tcea1,0.3003
Mll3,0.3215
Stat5a,0.3216
Taf13,0.3312
Gatad2b,0.3313
Myst3,0.3316
Nr2c2,0.3323
Smad7,0.3331
Tmf1,0.3333
Chd4,0.3342
Zfp653,0.3348
Sox18,0.3349
Tshz2,0.335
Cic,0.3351
Zhx3,0.3355
Spata24,0.3359
Tcf12,0.3361
Atxn1l,0.3396
Smad1,0.3398
E2f6,0.3413
Ptges2,0.342
Srrt,0.3426
Mycl1,0.3429
Vps72,0.3494
Tmpo,0.3563
Tfpt,0.3594
Rfxap,0.3641
Pparg,0.366
Nr0b2,0.3718
Rbmx,0.3736
Mybbp1a,0.3767
Klf13,0.3845
Mef2a,0.3899
Cbx2,0.3921
Zfp410,0.3942
Smarcc2,0.395
Safb,0.3955
Phf21a,0.3958
Rxrg,0.398
Tfip11,0.3993
Zfp367,0.4019
Safb2,0.4037
Rorc,0.407
Apex1,0.409
Hmgn5,0.4116
Ash2l,0.416
Tshz1,0.4164
Nfat5,0.4185
Sod2,0.4204
Nolc1,0.4207
Arid4b,0.4395
Gata4,0.4457
Klf12,0.4504
Nr3c1,0.458
Usf1,0.4622
Tcf21,0.4643
Rbmxl1,0.4767
Ctnnb1,0.4803
Phf5a,0.4855
Nr1h3,0.4867
Rela,0.4902
Ddx20,0.4944
Pcna,0.4987
Tcf3,0.4997
Hnrnpab,0.5046
Ets1,0.5059
Camta2,0.5078
Nono,0.5101
Hdac2,0.512
Ccnt1,0.5159
Zfx,0.5195
Nr1d1,0.524
Nfx1,0.5456
Ssrp1,0.5552
Hopx,0.561
C1d,0.5692
Onecut1,0.5732
Stat1,0.5817
Pias4,0.5849
Pcgf6,0.5858
Zfpm1,0.5883
Kdm5b,0.593
Men1,0.5985
Ahr,0.6024
Hes6,0.6027
Rfx1,0.6034
Ppp1r8,0.6048
Nkrf,0.6053
Mlx,0.6058
Taf1b,0.6085
