tf,p-value
Mysm1,0.0
Smad7,0.0
Nkrf,0.0
Clock,0.0002
Ing2,0.0005
Trim33,0.0008
Crebzf,0.0009
Bdp1,0.0009
Dmtf1,0.0085
Mterfd1,0.0109
Gatad1,0.0112
Taf2,0.0212
Zfp263,0.0276
Hnrnpk,0.0282
Zbtb24,0.0394
Pias1,0.0415
Ets1,0.0763
Zfp800,0.1043
Zfp280c,0.1086
Pnn,0.1087
Cebpb,0.1162
Nkap,0.1192
Hdac2,0.1247
Kdm5a,0.1375
Smarca5,0.1412
Nfyb,0.1421
Thoc1,0.1599
Pparg,0.1638
Myst4,0.1648
Hltf,0.1675
Zscan21,0.1687
Dnajc2,0.1706
Hnrpdl,0.1708
Zfml,0.1934
Mterfd3,0.2032
Xrcc6,0.257
Chd8,0.2602
Zzz3,0.2622
Taf13,0.263
Nfyc,0.2764
Hnf4a,0.2966
Zfp120,0.299
Rxrg,0.3127
Set,0.3137
Bptf,0.3153
Zbtb41,0.317
Irf2,0.3233
Gpbp1,0.3248
Tmf1,0.3251
Tcf12,0.3276
Nr0b2,0.33
Esrra,0.3313
Hmg20a,0.3315
Ncor1,0.3321
Zfp367,0.3325
Klf13,0.3328
Zfp395,0.3331
Preb,0.3337
Ppp1r8,0.3341
Mynn,0.3355
Tshz1,0.3358
Zfx,0.3359
Zfp93,0.3372
Hinfp,0.3376
Mef2a,0.3399
Grlf1,0.3402
Elf1,0.3434
Nfkb2,0.3444
Hnrnpd,0.3463
Sin3a,0.3464
Olig1,0.3561
Zfp322a,0.3612
Mycl1,0.3645
Carhsp1,0.3662
Atf2,0.3729
Hdac3,0.3742
Drap1,0.4115
Zbtb6,0.4253
Zfp326,0.4253
Rtf1,0.4267
Sod2,0.4328
Zbtb44,0.4527
Trp53,0.4543
Nr1h4,0.4838
Mafk,0.49
Med1,0.4938
Taf12,0.5008
Irf9,0.5068
Yap1,0.507
Cdc5l,0.5136
Foxa3,0.5143
Maz,0.5163
Hnf1b,0.5169
Bclaf1,0.5173
Klf9,0.5237
Msl3,0.5289
Tcf3,0.5375
Gtf2e1,0.539
Dhx33,0.5424
Foxa2,0.5461
Nr1h2,0.5551
Nr1i2,0.5567
E2f8,0.5731
Zbtb7a,0.5819
Zfp524,0.5922
Csrnp1,0.5927
Rbmx,0.5952
Arnt,0.5957
Hsf1,0.5983
Nfe2l2,0.5993
Srebf2,0.6015
E2f3,0.6155
Trim28,0.6263
Atf1,0.6307
Creb3l3,0.6404
Stat5a,0.6471
Smarcc1,0.6487
Nolc1,0.6495
Mxd4,0.6517
Nono,0.6522
Xrcc5,0.6535
Apex1,0.6537
