tf,p-value
Thoc1,0.0
Crebbp,0.0
Kdm5a,0.0
Bptf,0.0
Clock,0.0002
Trim33,0.0002
Ctcf,0.0002
Chd4,0.0004
Edf1,0.003
Aebp2,0.0041
Nono,0.0053
Pbrm1,0.0081
Nkrf,0.0156
Zfx,0.0159
Sp1,0.0183
Creb1,0.0193
Zfp280d,0.0272
Ncor1,0.0313
Rora,0.0363
Nr2c2,0.0549
Mysm1,0.0575
Gabpb2,0.0601
Zfml,0.0603
Zfp148,0.0608
Phb,0.069
Cnbp,0.0712
Ptges2,0.0716
Tcea3,0.0728
Klf2,0.0729
Zfp292,0.0769
Irf6,0.0864
Taf5,0.0886
Tcf21,0.0931
Zzz3,0.144
Hinfp,0.1573
Ppargc1a,0.1662
Mlx,0.1682
Srebf2,0.1715
Cdc5l,0.1777
Ddx1,0.1824
Terf2ip,0.1963
Set,0.1996
Bclaf1,0.2241
App,0.2353
Rbbp5,0.2442
Pa2g4,0.2478
Zfp518a,0.2547
Hopx,0.2557
Prox1,0.2571
Gtf2b,0.2636
Ddx20,0.2697
Zfp367,0.2741
Mecp2,0.2801
Dnajc2,0.2802
Hdac2,0.2888
Irf5,0.2942
Kdm3a,0.3003
Smad7,0.3235
Gatad2b,0.3239
Ash1l,0.325
Cbx2,0.3258
Myst3,0.3301
Bdp1,0.3305
Tcf7l2,0.3309
Ncoa1,0.3319
Taf1,0.3324
Mll3,0.3325
Dhx33,0.3356
Zfp800,0.3356
Lmo4,0.3361
Zfp664,0.3361
Irf3,0.3373
Ing2,0.3385
Zfp276,0.3387
Tcf25,0.3393
Zfp143,0.3414
Rfc1,0.3425
Smarcal1,0.3433
Foxn2,0.3434
Carhsp1,0.3452
E2f8,0.364
Yap1,0.3747
Tcf7l1,0.376
Taf9,0.3916
Drap1,0.392
Med1,0.3928
Ncoa3,0.3983
Bcl6,0.3984
Klf3,0.4229
Smarce1,0.4302
Jun,0.4356
Tbx3,0.4435
Csde1,0.4467
Gtf2e1,0.4564
Zbtb16,0.4646
Zbtb44,0.4672
Cenpb,0.4714
Gata6,0.4778
Zfp36,0.483
Mga,0.4849
Nr0b2,0.486
Cebpb,0.4865
Hdac1,0.4871
Zhx1,0.4922
A930001N09Rik,0.5015
Lass2,0.5081
Epas1,0.5117
Taf12,0.515
Rfx1,0.5216
Stat3,0.5454
Pnn,0.5457
Hnrnpk,0.5467
Med6,0.5513
Taf2,0.5715
Zbtb6,0.5756
Tfdp1,0.5911
Vps72,0.5942
Sin3a,0.5949
Mynn,0.5958
Zfp322a,0.5961
Gtf3a,0.5966
Rbl2,0.5988
Trim27,0.6004
Ppara,0.6026
Zfp523,0.6038
Ldb1,0.6093
Mta2,0.6122
Sox18,0.6138
Nfix,0.6143
Sox9,0.6215
Nr2c1,0.6301
Mier1,0.6412
Pml,0.6511
Tmpo,0.6533
Nr1h4,0.6605
Zkscan6,0.6607
Wbp7,0.6607
Sall1,0.6625
Zscan21,0.6639
Zfp93,0.6642
Hmgb2,0.6645
Zfp280c,0.6645
Tcf12,0.6646
Gabpb1,0.6646
Hes6,0.6646
Fubp3,0.6649
Nfyb,0.665
Mtf1,0.6662
Sp3,0.6664
Smad5,0.6665
Zfp1,0.6666
Zfp524,0.667
Smad1,0.667
Zbtb7b,0.6672
E2f3,0.6675
Xrcc6,0.6677
Nr1d2,0.668
Thrb,0.6681
Suz12,0.6682
Stat5b,0.6683
Bahd1,0.6691
Prdm4,0.6695
Zfp326,0.6697
Phf21a,0.6698
Gatad1,0.6699
Taf10,0.6703
Tfip11,0.6707
Fubp1,0.6713
Mta3,0.6715
Mxd4,0.6716
Rxrg,0.6742
Smad3,0.6746
Onecut1,0.6778
Trp53,0.6798
Hnrpdl,0.6826
Rybp,0.687
Stat5a,0.6872
Maf1,0.6901
Elf1,0.6926
Maf,0.6929
Atf6b,0.6963
Tada2a,0.7056
Smarca5,0.706
Grlf1,0.7095
Safb,0.7179
Irf9,0.72
Nfia,0.7251
Arnt,0.7287
Sfpq,0.7308
Gpbp1,0.7358
Ahctf1,0.743
Rbbp8,0.7435
Abt1,0.7482
Phf5a,0.7536
Zfp593,0.7537
Nr1i3,0.7587
Ncor2,0.7734
Atf2,0.7808
Atf4,0.7878
Mybbp1a,0.7951
Nolc1,0.7975
Sarnp,0.8049
Nfkb1,0.8055
Ddx58,0.807
Pus1,0.8142
Foxa3,0.8196
Taf13,0.8253
Nfe2l2,0.8258
Smad2,0.8319
Nfil3,0.8516
Trim28,0.8579
Rbck1,0.8684
Rtf1,0.8801
Cebpa,0.8817
Esrra,0.8831
Irf7,0.8869
Mbd3,0.8914
Foxa2,0.8961
Cxxc1,0.898
Gabpa,0.9021
Apex1,0.9094
C1d,0.9097
Hnrnpd,0.9276
Pparg,0.935
Tcf3,0.9417
Nr1i2,0.9554
Cic,0.9633
Creb3l3,0.964
Nr2f2,0.9664
Mafk,0.9693
Stat1,0.9727
Onecut2,0.9745
Tmf1,0.9746
0610031J06Rik,0.976
Rbmx,0.983
Nr1h2,0.9927
Kdm5b,1.0
Bhlhe40,1.0
Sod2,1.0
Zbtb42,1.0
Nfatc3,1.0
Ssrp1,1.0
Csrnp1,1.0
Rb1,1.0
Dnmt1,1.0
Ppp1r8,1.0
Creb3,1.0
Per1,1.0
Hmbox1,1.0
Irf1,1.0
Zfp395,1.0
Arid5b,1.0
Churc1,1.0
Gmeb2,1.0
Thap7,1.0
Atxn1l,1.0
Ubp1,1.0
Taf8,1.0
Tardbp,1.0
Gtf2f2,1.0
Foxj2,1.0
Nfib,1.0
Esr1,1.0
Hdac4,1.0
Bcl3,1.0
Pcna,1.0
Taf4a,1.0
Ruvbl2,1.0
Cggbp1,1.0
Zfp768,1.0
Zfp750,1.0
Lrrfip1,1.0
Mll2,1.0
Nr1h3,1.0
Zfp653,1.0
Egr1,1.0
Arid1a,1.0
E4f1,1.0
Ikzf5,1.0
Msl3,1.0
Lass6,1.0
Chd1,1.0
Zfp592,1.0
Hltf,1.0
Mafb,1.0
Tfam,1.0
Crem,1.0
Zkscan14,1.0
Rnf10,1.0
Gtf2i,1.0
Pias4,1.0
Hlf,1.0
Pbx2,1.0
Prdx5,1.0
Snai2,1.0
Maz,1.0
Mef2d,1.0
Atf7,1.0
