tf,p-value
Hnf4a,0.0
Smad7,0.0
Gtf2e1,0.0
Klf11,0.0001
Pias1,0.0018
Gatad1,0.0022
Mll3,0.0033
Ctcf,0.0053
Rtf1,0.0071
Arid5b,0.0084
Phf5a,0.0123
Taf1d,0.0134
Myst4,0.0146
Nr1h4,0.0155
Gabpa,0.0176
Zfp750,0.0191
Foxa3,0.0256
Irf2,0.0257
Bcl3,0.0293
Cnbp,0.0362
Nkap,0.042
Irf1,0.0464
Hnrnpk,0.0543
Rnf4,0.0553
Nr1d2,0.0588
Chd1,0.0607
C1d,0.0648
Sox13,0.0663
Chd8,0.0811
Apex1,0.0886
Mef2d,0.0903
Nfyb,0.0965
Srebf2,0.0982
Tshz2,0.0988
Ccnt1,0.1012
Mlx,0.1016
Wbp7,0.1068
Mysm1,0.1118
Nfx1,0.113
Hnrnpab,0.1178
E2f8,0.1229
Atf4,0.1308
Gmeb2,0.1387
Klf13,0.1467
Suz12,0.152
Pa2g4,0.1608
Hnrnpd,0.1654
Smad1,0.1683
Klf6,0.1683
Irf7,0.1686
Tmpo,0.1706
Atf7,0.1797
Taf11,0.1797
Zfp143,0.1804
Trim33,0.1841
Csde1,0.1944
Zfp148,0.1964
Mll2,0.1987
Rbmxl1,0.2009
Cic,0.2028
Zfp36,0.2032
Vps72,0.2064
Rfc1,0.2445
Smarce1,0.2614
E2f4,0.2616
Bptf,0.2686
Bcl6,0.2834
Kdm5b,0.2891
Gtf2f2,0.2923
Zfp292,0.2981
Rbbp8,0.3064
Tardbp,0.3065
Mtf1,0.3206
Nostrin,0.323
Gata6,0.3244
Sarnp,0.3245
Rorc,0.3246
Zkscan17,0.3267
Gatad2b,0.3278
Zfp523,0.328
Hmg20a,0.3299
Zfp191,0.3302
Zfp39,0.3303
Zfp653,0.3311
Hinfp,0.3312
Onecut2,0.3313
Zfp367,0.3317
Irf6,0.3325
Carhsp1,0.3326
Kdm2a,0.333
Rreb1,0.3332
Bdp1,0.3368
Cbx2,0.3378
Cux1,0.3401
Myst3,0.3403
Nfkb2,0.3413
