tf,p-value
Hnf4a,0.0
Zfp292,0.0
Klf11,0.0
Aebp2,0.0
Irf6,0.0
Tcf7l2,0.0
Nr5a2,0.0
Nr1i2,0.0
Nr1h4,0.0
Foxa3,0.0
Zkscan14,0.0
Zfx,0.0001
Bcl3,0.0002
Nr3c2,0.0003
Hnf1b,0.0006
Sox6,0.001
Safb,0.0015
Thra,0.0029
Vps72,0.0038
Ppargc1a,0.0054
Nkap,0.0069
Nfe2l2,0.0074
Chd8,0.008
Nfib,0.0081
Prdx5,0.0084
Zzz3,0.0115
Smarcal1,0.0128
Zbtb16,0.0143
Foxa1,0.0144
Yy1,0.0165
Tmf1,0.0171
Wbp7,0.0198
Foxn2,0.0209
Nr1h2,0.0224
Ash1l,0.0241
Tcea3,0.025
Gtf2e1,0.0291
Dmtf1,0.0335
Epas1,0.0344
Apex1,0.0348
Pnn,0.0372
Phf21a,0.0385
Zscan12,0.0416
Esr1,0.0426
Lin54,0.0437
Bdp1,0.0447
Rxrg,0.0502
Mier1,0.0511
Gon4l,0.0555
Zkscan6,0.0555
Zfp800,0.0557
Zfp110,0.0563
E2f8,0.0565
Zfp263,0.0577
Mlx,0.0633
Kdm5a,0.0657
Rbck1,0.0671
Med6,0.069
Zfp326,0.0705
Tcf7l1,0.0731
Atoh8,0.0762
Irf7,0.08
Yap1,0.0877
Arid4b,0.0878
Cnbp,0.0915
Irf9,0.0927
Srrt,0.0991
Zfp367,0.1
Whsc1,0.1006
Zfp58,0.1098
Zfp639,0.1195
Pml,0.1243
Ubp1,0.1285
Zbtb6,0.1296
Nfix,0.1299
Sox9,0.1321
Dnmt1,0.1356
Creb3l2,0.1406
Ncor2,0.1438
Foxp4,0.1458
Klf9,0.148
Pias1,0.148
Rere,0.15
Ing2,0.1502
Hmg20b,0.1563
Taf1,0.1592
Fubp1,0.1616
Bptf,0.1629
Trim28,0.1658
Kdm1b,0.1676
Ppard,0.1677
Erf,0.1715
Psip1,0.1827
Bcl6,0.1851
Mynn,0.186
Bcor,0.1876
Sin3a,0.1916
Zfp654,0.1932
Mecp2,0.1933
Taf12,0.1985
Ppara,0.2001
Trim33,0.2007
Grlf1,0.202
Mll2,0.2024
Nfya,0.209
Hsf1,0.2126
Zfp593,0.2246
Pcgf6,0.2256
Zkscan1,0.2309
Nkrf,0.2314
Zfp280d,0.2325
Tbl1xr1,0.2339
Zfp93,0.2354
Zfp161,0.2425
Chd4,0.2454
Zfp750,0.2478
Snapc1,0.2582
Ctnnb1,0.2591
Purb,0.2594
Nr1h3,0.2661
Zfp524,0.2663
Hltf,0.2685
Prox1,0.2695
Irf1,0.2697
Snai2,0.271
Thoc1,0.2721
Sod2,0.2735
Rora,0.2736
Dnajc2,0.2737
Gtf2f2,0.2742
Hdac2,0.2804
Ruvbl2,0.2951
Zfpm1,0.3049
Srebf2,0.3149
Pknox1,0.324
Gtf2f1,0.3247
Hmg20a,0.3282
Fubp3,0.3291
Zbtb48,0.3329
Hmbox1,0.3341
Esrra,0.3345
Zfp295,0.335
Edf1,0.3354
Ezh1,0.336
Nfe2l1,0.3365
Tcf12,0.3373
Maf1,0.3373
Mterfd3,0.3396
Mnt,0.3399
Tfb1m,0.3529
Nfat5,0.3618
Pbrm1,0.3647
Hnrpdl,0.3719
Nr1d2,0.3733
Trim27,0.3821
Rfc1,0.3914
Hmgb2,0.3966
Gtf2ird1,0.4027
Taf6,0.4038
Hdac1,0.4042
Nfatc3,0.4089
Mysm1,0.4115
Rbbp8,0.4117
Deaf1,0.4144
Topors,0.4157
Zfp384,0.4158
Hdac4,0.4299
Nostrin,0.4307
Klf12,0.4308
Hdac3,0.4345
Cdc5l,0.4358
Dedd2,0.4395
Junb,0.4407
