tf,p-value
Zfx,0.0
Zfp292,0.0
Chd8,0.0
Yap1,0.0
Zfp110,0.0
Bptf,0.0
Snai2,0.0
Zfp512,0.0
Brd4,0.0
Gata4,0.0
Srebf2,0.0
Thoc1,0.0
Nr2c2,0.0
Gabpb2,0.0
Ppard,0.0
Nr1h4,0.0
Foxa3,0.0
Ncor1,0.0
Trim33,0.0001
Onecut2,0.0001
Nr1i3,0.0002
E2f4,0.0002
Mterfd1,0.0003
Kdm5a,0.0003
Dnajc2,0.0004
Creb3l3,0.0005
Nr1i2,0.0005
Creb1,0.0006
Crebbp,0.0008
Sall1,0.0008
Baz2a,0.0012
Cebpb,0.0015
Chd4,0.002
Nfya,0.0025
Ctcf,0.0037
Zbtb16,0.0037
Nkap,0.0062
Ppargc1a,0.0081
Zfp148,0.0083
Xrcc6,0.009
Klf15,0.0104
Rreb1,0.0112
Smad1,0.012
Irf7,0.0134
Mll3,0.0137
Mga,0.0148
Rtf1,0.0153
Zfp93,0.0159
Mta2,0.0163
Klf12,0.0202
Prdx5,0.0206
Gtf2h5,0.0236
Taf9,0.0255
Sox9,0.0267
Trim27,0.0276
Nfib,0.029
Hltf,0.03
Zfp672,0.0332
Zfp750,0.0378
Irf2,0.041
Topors,0.0421
Zfp120,0.0425
Med1,0.0434
Cc2d1a,0.0449
Kdm2a,0.0496
Mysm1,0.0507
Pus1,0.0525
Tshz2,0.0547
Myst4,0.0548
Zbtb7b,0.0551
Bcl6,0.0559
Arid1a,0.0567
Phb,0.0578
Zfp280d,0.0598
Ptges2,0.0607
Thra,0.0668
Nfic,0.0672
Mlx,0.0672
Rnf10,0.0713
Tcf21,0.077
Pnn,0.0784
Rptor,0.0807
Maf1,0.0852
Trim28,0.0854
Adar,0.0891
Atf5,0.0912
Zfp217,0.0942
Zkscan17,0.0965
Tcea3,0.1014
Taf11,0.1018
Cebpa,0.1036
Mef2d,0.1039
Rfc1,0.1176
Mta3,0.1178
Hnf4a,0.1206
Nfx1,0.1249
Arid4b,0.1274
Smarce1,0.1284
Zscan21,0.1308
Epas1,0.1342
Arnt,0.1399
Hdac2,0.1456
Maf,0.1464
Bdp1,0.149
Bcl3,0.1575
Tcea1,0.1638
Gabpa,0.1688
C1d,0.17
Creb3,0.1708
Ssrp1,0.1734
Cenpb,0.1811
Wbp7,0.1829
Taf13,0.1842
Zfp263,0.1907
Zfp1,0.1933
Zbtb24,0.1945
Phf5a,0.2026
Sin3a,0.2038
Rfx1,0.2041
Ppp1r8,0.2048
Sarnp,0.2049
Zfp143,0.2137
Foxn2,0.2176
