GeneSymbol,PValue
Gli3,0.0
Trim27,0.0
Csde1,0.0
Gli1,0.0
Tcf7l1,0.0
Nfrkb,0.002
Eri1,0.007
Myst3,0.016
Scx,0.0185
E2f3,0.021
Pa2g4,0.0395
Rpl6,0.058
Smc3,0.0585
Ctnnb1,0.068
Hoxa5,0.0715
Lass5,0.0945
Tns1,0.1075
Prdm5,0.1115
Rbm3,0.112
Spin4,0.1135
Utp3,0.1145
Gzf1,0.1225
Meis1,0.134
Rpl5,0.1385
Rbmxl1,0.155
Npm1,0.1675
Prrx2,0.17
Cpeb4,0.1705
Hmgb1,0.1705
Tmeff1,0.172
Nono,0.187
Ptk7,0.197
Lox,0.198
Zfp423,0.202
Stat6,0.2045
Flrt2,0.207
Polr2g,0.212
Rps3,0.2125
Rbpj,0.214
Loxl3,0.216
Oxnad1,0.2185
Tbca,0.2215
Cd276,0.226
Asxl1,0.2265
Hs6st2,0.2265
Col5a2,0.228
Hdac1,0.232
Zfpm1,0.236
Dedd2,0.236
Ifi35,0.2475
Elk3,0.248
Noc2l,0.254
Tenc1,0.2585
Anapc5,0.264
Maged2,0.265
Foxp1,0.2695
Ssrp1,0.281
Cebpb,0.292
Zfp532,0.299
Zfp2,0.3045
Slc38a3,0.306
Ftsj3,0.308
Ddx41,0.309
Rpl10a,0.3115
Zik1,0.3125
Thoc5,0.3125
Rttn,0.3125
Slc38a4,0.3135
Sall4,0.3135
Arxes2,0.314
Zfp184,0.3145
Gtf2f2,0.315
Ccnt1,0.3165
Six4,0.3175
Apex1,0.3215
Zfp58,0.323
Csda,0.3235
Cdk10,0.3255
Plch2,0.3265
Gtf2e2,0.327
Mlx,0.327
Stat5a,0.3275
Ephx1,0.3285
Sphk1,0.3305
Stat4,0.3305
Phb2,0.3305
Trp53,0.333
Shroom4,0.3345
Tardbp,0.337
Utp14a,0.337
Taf2,0.3385
Asb13,0.339
Dmap1,0.341
Coq9,0.3415
Mest,0.3455
Thoc2,0.346
Ercc2,0.3465
Ankrd1,0.3475
Taf6l,0.349
Ppig,0.352
Mybbp1a,0.3575
Mll2,0.358
Ppp1r8,0.358
Tmem246,0.3625
8430410K20Rik,0.3645
App,0.3665
Nfib,0.3715
Rps26,0.3775
Pcna,0.3795
Rcor3,0.3805
Pnn,0.3805
Naca,0.381
Fubp1,0.3815
Ldb1,0.383
Ash1l,0.384
Rbm4,0.3855
Zfp30,0.387
Shprh,0.3925
Zhx1,0.394
Rbck1,0.3975
Camta1,0.398
Nfx1,0.404
Rpl9,0.405
Cc2d1b,0.4065
Tmem39a,0.409
Psmb8,0.413
Ptk2b,0.4145
Xbp1,0.4185
Ruvbl2,0.4205
Fgd1,0.4205
Ecd,0.4215
Akna,0.425
Rpl21,0.427
Mob3a,0.4275
Psmc5,0.4285
Nr2f6,0.429
AW551984,0.43
Dpys,0.4305
Cldn7,0.4315
Nolc1,0.434
Dennd2a,0.4355
Tcf3,0.4355
Gng10,0.438
Rsf1,0.439
Cnksr1,0.4415
2810403A07Rik,0.4475
Il1rap,0.451
Plek2,0.4515
Itih2,0.453
Plagl1,0.454
Smarcc1,0.456
Ltbr,0.4565
Zfp579,0.4575
Echdc3,0.458
Nup62,0.458
Abt1,0.462
Nkap,0.4625
Fam203a,0.466
Cdk9,0.4715
Rbl2,0.4725
Arglu1,0.476
Prpf6,0.484
Fktn,0.485
Foxm1,0.485
Zhx3,0.4875
Rcl1,0.49
Tmpo,0.492
E2f7,0.4945
Cdkn2a,0.495
Tnfaip3,0.495
Rpl41,0.4965
Hmgb2,0.503
Zfp553,0.508
Sin3a,0.5085
Nkain4,0.5105
Klf4,0.511
Ints5,0.5125
Gpr85,0.5125
Tshz3,0.5125
Taf9,0.5155
Phf12,0.5165
Zfp354c,0.5165
E2f1,0.519
Zfp37,0.522
Pak1,0.526
Zfx,0.527
Qprt,0.528
Dirc2,0.528
Mtmr1,0.53
Hnrnpab,0.5305
Slc7a2,0.533
Ddx20,0.5335
Ubr2,0.5335
Wbp7,0.5355
Trim28,0.5355
Tra2a,0.536
Maoa,0.5365
Six2,0.5365
Dnajc2,0.538
Tfdp1,0.538
Zcchc18,0.542
Kif5b,0.543
4930420K17Rik,0.544
Zfp451,0.5445
Nebl,0.5465
Lpin3,0.547
Irf1,0.5475
N4bp2,0.548
Mcm8,0.5485
Gnptg,0.549
Cflar,0.5495
Gtf2e1,0.55
Fmo1,0.5505
Gmeb1,0.5525
Smarca1,0.5525
Tgif2,0.553
Uhrf1,0.5535
Pgk1,0.554
Nfe2l3,0.5555
Usp46,0.5565
Hnrnpk,0.558
Steap3,0.559
Myl12a,0.559
Gna13,0.56
Ttf2,0.5625
Nup107,0.563
E2f8,0.564
Tada2a,0.5645
Snap47,0.5655
Myo5a,0.566
Tmx1,0.5675
Fam115a,0.5685
Zfp647,0.5685
Clk1,0.5695
Nr2c2,0.5695
Nop56,0.5745
Thoc3,0.575
Zmynd19,0.575
Erbb2ip,0.5775
