Gene,6H,12H,18H,24H,48H
Ddr1,149.22,128.8066667,131.1266667,98.80333333,137.0933333
Rfc2,417.485,414.3533333,396.98,486.04,586.1566667
Hspa6,37.98,31.50333333,42.04666667,33.47333333,34.89333333
Pax8,201.335,192.4,185.8833333,175.93,198.8333333
Guca1A,7.535,9.073333333,8.763333333,8.35,8.893333333
Uba7,37.495,38.85,36.85666667,38.73,40.70666667
Thra,39.09,41.26666667,36.33,34.95333333,37.31333333
Ptpn21,104.205,180.38,103.8833333,175.62,138.0133333
Ccl5,8.395,8.783333333,9.326666667,8.986666667,9.556666667
Cyp2E1,11.025,9.446666667,10.88333333,9.6,13.19333333
Ephb3,45.51,53.05,50.84333333,49.09,51.69666667
Esrra,308.365,306.1466667,377.59,333.51,337.28
Cyp2A6,53.495,53.66333333,49.92,49.57,57.23
Scarb1,985.62,1441.986667,1280.066667,1510.363333,1039.156667
Ttll12,773.6,813.2366667,934.4666667,877.2433333,937.3933333
Wfdc2,17.325,18.19333333,17.38666667,16.43333333,18.67333333
Mapk1,164.325,182.5533333,201.8566667,200.1433333,235.92
Adam32,11.26,11.24,10.9,11.17333333,12.96666667
Spata17,43.37,43.21333333,37.49,44.53,39.71
Prr22,53.54,65.15333333,65.74666667,65.07666667,70.16666667
Pxk,36.535,45.29,42.37666667,57.54666667,40.39
Vps18,93.105,84.89,100.9733333,107.62,120.93
Msantd3,744.755,640.83,594.9,565.4166667,667.7266667
Slc46A1,305.08,248.4466667,264.7733333,275.57,185.8466667
Timd4,13.125,16.29,13.21333333,15.90666667,18.71333333
Slc39A5,179.565,252.2066667,214.02,245.54,194.1033333
Atp6V1E2,46.645,55.14333333,57.26333333,60.55,69.78
Afg3L1P,485.405,381.2233333,332.1866667,415.27,385.49
Cilp2,16,17.35666667,17.71,16.91666667,20.11333333
Pigx,99.4,83.95,92.55666667,92.68666667,89.26333333
Tmem196,16.5,19.25666667,17.32,16.8,17.92
Slc39A13,136.545,141.6466667,105.9933333,148.0866667,127.11
Best4,12.13,12.87,11.99,13.32666667,13.77666667
Ak9,57.065,62.63,69.29666667,97.94666667,91.14333333
Coro6,21.945,20.84333333,23.92,16.73333333,19.53
Tmem106A,6.86,6.426666667,6.663333333,6.86,6.52
Alg10,42.335,38.83666667,42.60666667,43.18666667,35.97
Ttc39C,384.195,316.5166667,243.04,170.1766667,166.3466667
Nexn,226.185,128.1933333,144.64,182.38,430.9233333
C15Orf40,261.57,279.24,283.54,343.6166667,297.56
Rax2,96.905,111.39,100.2766667,100.47,107.2466667
Mfap3,258.97,248.1133333,238.18,303.3466667,290.2833333
Eya3,74.09,65.73333333,79.73333333,76.66666667,87.48333333
Gimap1,17.73,17.66666667,15.31,16.58666667,17.24666667
Klk8,26.99,27.27333333,24.84,25.94,26.91666667
Ccdc65,7.68,8.533333333,7.836666667,7.736666667,8.256666667
Pabir3,8.505,8.08,8.216666667,8.11,8.606666667
Cfap53,6.09,7.223333333,6.646666667,6.83,7.236666667
Armcx4,15.82,14.81,19.93666667,13.41,13.44666667
Rbbp6,35.51,38.37,44.97,35.51333333,24.52
Cenpbd1P,282.905,269.0466667,292.6733333,281.66,246.9566667
Triobp,176.895,203.9,151.2533333,152.0766667,119.9933333
Catsper1,38.07,39.64333333,36.11,37.95,42.41666667
Hoxd4,15.545,16.86,15.45,16.5,16.72666667
Gsc,16.01,17.43333333,15.15,15.95,18.46
Sp7,17.935,18.27333333,18.59,20.36,19.77666667
Pde7A,21.035,21.39,24.47666667,19.64333333,19.54333333
Cnot7,323.415,326.04,326.9666667,341.1466667,343.7833333
Cryzl1,93.895,73.5,67.85,66.77666667,53.42333333
Prss33,32.91,33.44333333,40.79333333,36.46333333,40.89
Cbarp,17.1,17.69,17.62,16.38333333,18.29
Mcmdc2,8.415,7.793333333,7.783333333,8.186666667,7.843333333
Tirap,56.09,65.64333333,50.12333333,55.03,45.87
Leap2,203.995,173.61,183.3,157.2633333,205.5066667
Msi2,90.1,108.4266667,100.0433333,127.4033333,92.58333333
Scin,9.1,8.923333333,8.673333333,9.276666667,8.003333333
Ctcfl,8.495,8.8,10.03666667,8.483333333,9.946666667
C4Orf33,92.95,120.3266667,104.1833333,116.6633333,92.72333333
Znf333,10.005,11.35,9.936666667,10.15666667,10.56
Tvp23C,107.06,104.74,103.5066667,94.59,109.6466667
Rdh10,228.465,219.8966667,227.8666667,223.0366667,193.8333333
Srsf12,64.265,46.15666667,47.59333333,50.01333333,46.99666667
Garin4,59.075,85.26666667,76.18666667,72.10666667,80.04666667
Gapt,7.6,7.59,7.05,7.68,7.943333333
Scube1,38.63,39.95666667,36.21,39.52333333,41.73333333
Erich5,18.28,14.35333333,16.27333333,16.53333333,15.96666667
Ccdc185,8.795,11.33666667,9.813333333,10.47333333,10.54333333
Enthd1,7.92,9.046666667,10.41,8.54,9.94
Tssk3,133.345,134.0333333,126.37,125.2766667,135.0933333
Wfdc6,15.835,17.39333333,17.82333333,16.28333333,19.85333333
Clec12A,9.075,8.28,8.873333333,8.51,7.966666667
Brf1,24.58,28.08333333,26.41,32.11333333,26.59333333
Tmem266,18.005,17.18,18.99333333,16.59333333,20.30333333
Calml6,13.81,16.38333333,13.28333333,14.29333333,17.95666667
Nlrp5,14.6,18.24333333,15.87333333,18.04333333,21.32666667
Odf4,8.955,8.98,9.4,8.546666667,8.956666667
Clec4F,26.9,27.34333333,28.06333333,27.22,31.88333333
Wfdc9,9.695,10.80666667,10.11,9.74,9.856666667
Nedd1,187.63,234.5566667,177.7133333,291.3733333,201.2566667
Ttll10,31.575,34.79,30.00333333,31.11333333,35.78666667
Calr3,11.01,10.96666667,10.83666667,9.543333333,10.90666667
Znf22-As1,51.77,34.85,52.60666667,45.10333333,40.17333333
Etv3,74.695,57.60333333,57.68333333,44.61666667,46.70666667
Klhl10,8.42,9.033333333,10.3,10.15333333,9.06
Tm2D3,871.815,747.3,930.1966667,730.3066667,876.3266667
Znf485,7.875,7.173333333,7.676666667,7.46,7.81
Wdr17,7.605,7.33,8.013333333,7.166666667,7.67
Mfsd6L,26.59,27.09333333,24.96333333,24.13,26.23
Cdh23,27.04,28.40333333,28.36,26.58666667,25.56
Ankar,11.83,11.53666667,11.21,11.1,11.82
Megf11,8.315,7.21,7.323333333,8.46,7.866666667
Gpr182,12.655,13.95333333,12.89666667,13.78666667,12.89666667
Esx1,10.985,11.56,10.91,11.16333333,11.81
Fam167A-As1,10.045,11.45666667,10.99666667,10.78,11.35333333
Dnajc5G,30.28,28.16333333,30.19,28.04333333,34.27666667
Wdr88,17.205,17.86,17.53666667,16.23333333,17.25
Prune2,9.66,11.14666667,10.63333333,10.22666667,11.01333333
Mbd3L2,24.365,24.82666667,19.5,25.65333333,24.71333333
Adamtsl1,10.51,10.28,11.27,9.743333333,10.52666667
Mbd3L1,9.125,9.13,9.106666667,9.043333333,9.326666667
Tent5D,9.42,9.046666667,9.34,8.723333333,10.18
Serpinb11,9.59,10.32,9.003333333,9.563333333,10.92666667
Linc00161,8.22,7.95,8.76,7.106666667,8.6
Dscr10,55.58,56.13333333,55.08333333,58.71666667,56.43333333
Abhd11,28.35,29.17,21.85,23.56666667,15.24666667
Acap2,134.865,134.2633333,129.06,172.6666667,181.15
Gamt,317.3,322.0433333,268.6966667,246.1066667,258.59
Plcd3,126.16,124.9333333,134.5733333,124.5166667,152.5233333
Irf6,26.805,21.58,24.32333333,31.60666667,33.22333333
Ptprc,7.455,7.273333333,7.406666667,7.293333333,6.506666667
Man1A2,41.725,44.66666667,31.33333333,35.07333333,28.5
Raph1,19.8,21.14,17.64666667,17.1,16.06333333
Smcr8,83.46,91.82333333,84.58,86.06333333,111.8966667
Lactb,272.98,314.4933333,206.3833333,262.9566667,108.2866667
Bnc1,8.01,6.73,7,7.556666667,7.156666667
Mpp4,8.32,8.12,7.893333333,7.646666667,8.383333333
Afg1L,32.48,26.74333333,22.24666667,23.79333333,28.70666667
Idi2,41.06,41.9,44.45,42.92333333,49.10666667
Cyp11B1,20.255,18.73666667,22.64666667,19.88,23.96666667
Taf8,20.46,20.32666667,20.26666667,17.75,22.76
Cobl,216.305,230.68,208.6666667,268.5633333,233.84
Slamf6,21.405,21.27333333,23.60333333,18.48666667,23.42333333
Zscan20,22.865,20.85666667,22.16666667,17.68,19.78
Gpbar1,34.185,31.14333333,29.83666667,29.25,33.6
Rhbdl2,10.655,9.613333333,10.26,9.813333333,8.593333333
Fras1,65.985,70.19666667,66.1,69.82,60.46
Brsk1,31.695,39.45333333,39.40333333,37.86,40.28
Crb2,19.83,17.89,17.65666667,17.16333333,19.93333333
Kcne4,19.725,17.48333333,19.02,19.22333333,18.13
Cd300Lg,8.595,9.003333333,8.41,7.66,9.13
Slc34A3,215.72,219.9866667,214.18,189.8933333,239.1566667
Cpa6,47.55,51.64666667,41.87333333,53.32,78.04666667
Wbp2Nl,11.195,10.25333333,10.9,10.73,10.38
Hipk1,15.06,14.57,15.70666667,14.60333333,15.32333333
Mtbp,22.1,26.74,23.37,27.38,24.35
Acvr1C,301.45,303.0933333,361.2666667,388.9833333,604.1833333
Tmem74,10.25,9.58,9.713333333,9.513333333,10.61333333
Tigd4,7.98,7.133333333,7.623333333,6.91,7.663333333
Art5,69.07,67.97333333,65.83333333,68.76666667,69.02333333
Garin6,15.705,16.24333333,15.14,12.49,16.04666667
Linc01547,114.285,116.0933333,112.1433333,107.0266667,108.9366667
Nlrp11,12.445,11.90333333,14.3,10.74,12.67
Atp6V1C2,7.775,8.056666667,8.316666667,7.853333333,8.433333333
Cldn19,31.29,36.03333333,34.16,31.89333333,34.39
Vti1A,41.265,35.88666667,40.16333333,29.72333333,31.70666667
Kif6,11.88,11.69666667,11.51666667,11.83666667,12.91333333
Iqcd,22.565,23.58666667,20.47333333,21.78666667,25.79333333
Tagap,41.715,50.72,43.52666667,48.05333333,52.73
Ston2,14.555,15.14333333,12.06,17.98333333,13.95333333
Serpina12,22.065,19.18333333,18.32,16.11,19.77
Letm2,10.785,12.07,13.77666667,13.01666667,11.4
Bsnd,8.945,9.043333333,9.546666667,8.836666667,11.19
Clec4C,8.37,8.61,9.4,9.033333333,8.796666667
Nlrc4,10.665,10.7,10.38666667,10.91,12.49
Prss36,48.86,50.94666667,45.06,49.02333333,48.21666667
Zdhhc15,8.415,10.07,9.01,8.443333333,8.22
Rai1,88.685,91.26,84.55,98.99333333,106.8233333
Cdk15,15.67,14.64,15.74,12.70333333,16.55333333
Znf570,50.32,50.90666667,62.72,49.59333333,49.99
Nudt9P1,12.46,13.48333333,15.58666667,15.89666667,14.35
Btbd16,15.97,17.71666667,19.68,20.49333333,15.65333333
Rtp3,17.71,18.31,17.22,17.27666667,19.45
Tspear,13.52,13.95333333,13.21666667,14.36333333,13.73666667
Mipol1,8.14,9.126666667,9.72,8.863333333,9.18
C6Orf141,64.675,68.43666667,55.54,73.44,83.69666667
Alms1P1,32.65,29.08666667,30.75666667,31.45,36.46333333
Myo3B,9.62,10.95,8.836666667,10.29333333,11.11666667
Adam21,17.58,21.12333333,19.35666667,18.14,18.83
Triml2,25.105,28.81666667,29.94,29.60333333,30.10666667
Abcc13,9.05,9.793333333,9.836666667,7.75,8.496666667
Il12Rb1,12.175,12.97333333,13.16333333,10.94333333,12.44666667
Gtf2A1L,12.76,11.95333333,12.04333333,11.02333333,12.51
Trpv3,67.54,75.19333333,56.84,76.64666667,58.56666667
Cnbd1,9.275,9.053333333,11.30666667,10.72666667,10.73
Abcc12,11.29,11.54333333,13.13666667,10.66666667,11.58
Mmp21,7.6,8.173333333,7.866666667,7.946666667,7.53
Tmem190,43.38,41.97,43.62666667,41.65333333,44.79333333
Gas2L2,81.88,87.81666667,79.13666667,79.3,77.76666667
Kcng4,12.635,11.89333333,12.79,12.52333333,13.31666667
Pxt1,10.9,11.66666667,10.85666667,11.58,11.49666667
Cacng5,32.15,33.48,35.31,31.55666667,34.79666667
Linc00308,17.69,16.34,15.74666667,16.61333333,17.21666667
Wfdc11,21.97,21.65,22.97666667,21.91,23.43333333
Jak1,1649.275,1449.393333,1482.593333,1598.486667,1614.053333
Cdc42Se2,114.66,126.5166667,112.77,127.1633333,98.86
Acacb,202.42,229.6966667,212.7233333,208.0333333,230.5433333
Cop1,456.41,458.95,458.4433333,445.9666667,359.84
Stx6,220.345,202.15,205.89,216.8466667,186.6233333
Anln,1439.9,1400.693333,1075.42,1485.84,1868.27
Sprr4,135.645,155.2866667,140.48,147.47,165.5033333
Hsh2D,12.745,12.35333333,13.58666667,12.71333333,13.9
Trnt1,192.06,264.1966667,228.61,274.33,248.8966667
Tmem163,11.905,11.81,12.85,11.27,13.2
Arhgap5,1045.49,1135.306667,832.3333333,1061.75,908.09
Herpud2,606.075,641.6666667,548.31,798.98,789.1033333
Jmjd6,15.335,13.24666667,15.69,14.09666667,15.95333333
Srcap,71.925,74.70666667,81.72666667,87.66333333,82.40666667
Map3K6,63.405,72.72666667,67.33,66.25,65.16
Arsg,13.69,15.78,15.52666667,16.46666667,19.51666667
Znf101,90.48,80.50666667,102.0433333,75.56,75.60333333
Ptpn11,14.99,15.36333333,14.66333333,12.55333333,14.35
Klhdc7B,32.605,36.05666667,33.89,34.14333333,39
Znf626,22.455,20.22666667,25.71333333,23.13,32.49666667
Phc3,70.87,61.61333333,87.66,100.3933333,153.2433333
Il11Ra,29.795,29.43333333,29.77333333,26.18666667,33.82666667
Tnfrsf10A,222.485,159.1733333,177.9733333,169.19,179.5133333
Hps4,100.545,110.75,117.9666667,134.4266667,127.4966667
Uhmk1,149.07,123.1566667,119.19,123.4033333,105.05
Txndc2,34.49,29.83666667,29.43333333,26.85333333,32.32666667
Nav3,37.215,31.07,44.84666667,29.40666667,30.20666667
C5Orf22,264.82,310.3666667,240.91,333.57,348.12
Pcdhgb7,6.99,7.623333333,7.593333333,6.94,7.386666667
Erc1,144.825,145.9,119.3033333,146.3933333,142.14
Flcn,69.72,83.90666667,87.7,94.46,102.79
Jmjd1C-As1,60.805,55.69666667,51.90333333,46.12333333,40.93666667
Lrrc7,8.425,8.126666667,8.37,8.433333333,9.093333333
Sh2D3C,17.155,18.1,17.93,18.62333333,18.58666667
Ppp1R3B,10.615,10.67333333,10.73333333,11.17333333,12.05333333
Slc9A7,25.56,24.93333333,27.95,25.64333333,23.04333333
Igsf3,75.625,82.01,81.27,84.84666667,83.3
Rfx6,56.84,31.62666667,28.72666667,25.23,21.56333333
Dirc1,6.835,6.966666667,6.396666667,6.64,6.823333333
Dnajb7,8.34,7.093333333,7.76,7.576666667,7.49
Ucn3,38.45,42.05333333,40.18666667,39.69333333,48.67
Dip2A,100.055,99.21666667,96.18,108.7366667,98.46333333
Usp28,94.85,109.2766667,100.71,117.4866667,96.28666667
Knl1,123.82,139.2966667,112.8933333,171.58,174.7233333
Senp8,42.24,78.86,46.15,99.97333333,76.38
Grhl1,92.24,178.4366667,91.39666667,191.1,107.5766667
Cnbd2,18.005,17.34666667,16.18,17.54,19.09
Caskin1,60.185,76.98666667,63.72,72.66333333,73.95666667
Cacna2D4,12.07,15.23666667,13.06333333,13.76666667,14.13
Arl11,7.125,6.46,6.93,6.64,6.98
Slc2A13,14.27,17.19333333,13.84,19.40333333,19.61333333
Nipa1,60.815,92.18666667,58.20333333,98.80333333,71
Tuba3Fp,55.81,61.41333333,54.46,38.72666667,35.38333333
Card16,21.34,21.54333333,31.19333333,26.99333333,29.91333333
Dusp19,14.545,14.16,13.43666667,13.83,14.03333333
Cyb5D1,145.34,151.8966667,152.22,172.54,157.3033333
Nmnat2,32.16,24.63666667,26.29333333,24.37666667,28.55333333
Slc4A1,12.545,11.33333333,12.16,12.46333333,13.41
Creg2,9.845,10.62,10.02333333,10.55666667,11.95333333
Rxfp1,9.255,8.593333333,8.39,7.876666667,8.723333333
Spef2,24.335,33.14333333,26.91333333,36.05,22.57333333
Dtd1,18.75,24.76666667,20.73333333,23.58333333,23.33
Golm2,57.72,42.56,45.27333333,37.39333333,28.54666667
Fgf1,8.965,9.31,8.85,7.883333333,7.653333333
Arpp21,7.615,7.596666667,7.39,7.213333333,7.426666667
Rhoxf1,22.16,28.57333333,22.89,22.02,19.65666667
Adamts17,13.2,13.13666667,13.57666667,12.20666667,14.9
Snhg7,135.705,78.44,143.3966667,83.45,104.6733333
Dhh,14.48,14,13.91333333,13.94,15.4
Abra,9.645,9.56,9.296666667,8.833333333,9.543333333
Klhdc1,8.51,9.416666667,8.523333333,8.163333333,8.473333333
Rictor,15.04,13.07,11.78666667,13.76666667,11.16
Pcdhga4,136.67,92.94666667,118.7533333,92.1,87.77666667
Neto1,9.88,8.403333333,8.283333333,8.723333333,9.17
Wwp2,61.345,94.05666667,69.25333333,115.3933333,97.87
St7L,22.07,26.55333333,22.41333333,26.97333333,24
C2Orf15,13.215,14.32333333,14.87666667,13.07,11.64
Kcnh8,41.225,42.63666667,39.22,56.95333333,44.80333333
Mcf2L,9.87,10.59666667,10.19666667,10.17333333,10.89666667
Slco6A1,18.695,18.94666667,18.81333333,27.22,17.27
Pp2D1,7.24,7.52,7.573333333,7.596666667,7.24
Klc3,173.865,180.73,188.8,178.38,201.6533333
Cib3,9.545,9.946666667,10.06666667,9.733333333,10.51666667
Cadm2,9.765,9.903333333,10.27666667,9.903333333,11.39
Dock8-As1,14.64,13.21,14.46,12.88333333,11.11333333
Hdac9,17.99,20.64,16.96333333,19.2,17.14333333
Slc16A11,41.705,39.44333333,38.35666667,38.72666667,40.28
Tmem67,7.08,7.53,7.726666667,7.656666667,7.44
Hs6St2,120.32,129.5733333,118.63,167.3733333,257.9666667
Camkk1,40.945,44.83333333,40.61,40.88666667,45.30333333
Znf625,31.395,30.87666667,34.52666667,35.62,37.14
Znf563,13.56,11.92666667,12.65,13.18666667,13.36666667
Lin9,8.725,9.116666667,9.166666667,9.72,10.53333333
Clec4D,9.17,11.39,10.76666667,9.753333333,10.83
Slc25A27,20.87,21.13,19.43666667,25.24333333,20.25
Gprc6A,26.515,26.77333333,26.46333333,27.47,31.84
Raet1E,17.655,18.83,18.20333333,15.02333333,17.20333333
Slc44A5,51.495,54.29666667,42.57666667,55.33,52.82333333
Znf417,8.57,8.213333333,8.34,9.113333333,8.856666667
Znf781,11.705,10.9,10.38333333,10.58333333,11.31
Helb,22.92,27.82666667,21.76333333,21.30666667,21.23333333
Sec62,38.52,42.45,33.53333333,35.54,31.98333333
Trdn,8.445,7.093333333,7.816666667,7.5,7.68
Socs4,84.36,128.1233333,106.9666667,167.2333333,165.1066667
Linc02904,13.875,13.19666667,13.49666667,13.76333333,13.10666667
Znf547,22.43,22.29666667,25.05333333,18.99333333,16.16666667
Sim1,11.855,11.68666667,12.97666667,11.78333333,14.14333333
Prom2,8.86,9.2,9.723333333,8.96,8.59
Tlr4,18.955,19.09333333,20.01333333,18.78333333,19.07666667
Tsnare1,20.155,22.48,19.72333333,19.98333333,23.70333333
Capn13,12.035,11.29,11.6,11.65,11.30333333
Stmn1,9.93,10.38,11.01,11.04,10.78666667
Siglec10,11.395,13.28333333,12.42,11.99666667,13.10666667
Rfx4,11.26,10.42666667,11.12666667,11.15333333,11.47666667
Wfikkn1,119.88,115.41,109.6633333,102.4366667,120.6033333
Senp1,229.005,264.05,199.63,232.2366667,201.0766667
Klf14,37.255,39.31,33.40666667,30.20333333,32.23666667
Nxnl2,8.205,8.646666667,8.346666667,8.486666667,7.956666667
Brs3,8.635,8.5,8.39,8.873333333,9.336666667
Tmx3,11.21,10.15,10.69,8.933333333,8.673333333
Znf396,7.465,8.5,8.013333333,7.95,8.036666667
Slc26A7,7.53,7.246666667,7.526666667,7.6,8.69
Snx18,59.77,62.86666667,61.45333333,54.39,59.44
Fbxo39,14.445,14.13333333,13.42333333,12.17,14.09
B3Gnt6,35.105,39.85,33.56666667,33.25,40.99666667
Dennd1B,10.535,9.4,10.23666667,8.816666667,10.26666667
Znf619,80.62,90.14333333,82.22333333,81.07666667,67.90333333
Cilk1,6.395,6.756666667,7.126666667,7.096666667,6.67
Garin2,10.41,9.786666667,9.76,9.966666667,10.26333333
Bcl2L14,8.395,8.333333333,8.38,8,8.093333333
Hs6St3,18.245,16.63333333,16.95333333,17.29666667,18.00333333
Slc26A1,14.115,13.89,22.01666667,20.49,35.21666667
Cldn15,80.59,56.68,86.14333333,84.85333333,130.78
Rab42,63.13,61.07,56.52,51.76666667,63.43
Ptchd1,10.465,9.846666667,9.406666667,10.22,10.00666667
M1Ap,7.175,8.63,7.69,7.723333333,8.02
Zscan4,9.155,8.5,9.23,8.436666667,8.76
Vwa5B1,21.86,21.54333333,23.6,20.36666667,22.94333333
Linc00311,11.525,13.29666667,12.81666667,11.74,12.44666667
Htr6,13.21,12.47666667,12.52666667,11.11666667,12.95666667
Mageb6,9.375,7.386666667,8.956666667,7.956666667,8.646666667
Rusc1-As1,30.02,29.16,33.7,25.43666667,26.30666667
Cacng6,80.11,82.82,76.92,66.99,78.97666667
Lmntd1,42.055,43.98333333,40.39333333,36.05666667,48.03333333
Cirbp-As1,73.08,72.66,71.68666667,59.85666667,65.71333333
Axdnd1,7.255,7.986666667,8.123333333,7.296666667,6.863333333
Asmtl-As1,17.365,21.18,18.87,18.13,18.75666667
Cd200R1,8.52,7.753333333,8.816666667,7.483333333,7.966666667
Linc00334,8.74,8.823333333,9.173333333,8.693333333,10.09333333
Atoh7,7.52,7.803333333,7.37,6.93,6.423333333
Sec16B,37.685,48.37666667,43.08666667,51.28333333,54.34666667
Amer1,15.465,13.71,14.90333333,13.92666667,15.49333333
Nkx6-3,50.525,40.25,52.63,51.05333333,67.49666667
Tbata,15.705,15.42333333,13.50333333,15.22666667,17.09666667
Exoc3L2,108.635,111.4266667,116.1266667,111.0766667,126.26
Cabp4,19.47,19.6,20.10666667,21.92333333,20.14666667
Tnfrsf13C,46.52,52.45,48.00666667,54.88,65.32333333
Camk2N2,49.785,50.62,51.28,45.79666667,56.35
Ankrd30Bp2,12.15,12.28,17.94333333,13.07666667,14.13666667
Kcng3,17.715,23.05666667,21.46333333,24.86333333,38.48
Linc01312,8.6,8.626666667,8.72,7.926666667,8.173333333
Foxp2,72.275,73.07,61.47666667,95.15666667,76.06666667
B4Galnt2,24.47,26.26333333,25.64666667,26.4,33.05
Fmr1Nb,6.57,7.366666667,7.673333333,7.463333333,7.506666667
Gcsaml,8.525,10.27666667,9.083333333,8.936666667,9.596666667
Siglec11,17.11,15.1,15.52,14.95333333,18.86
Il23R,9.915,9.75,9.506666667,10.70333333,10.22333333
Mageb18,6.54,7.216666667,7.403333333,6.873333333,7.48
Cd276,283.76,304.7,245.6933333,235.56,179.11
Ifnl2,13.67,12.98666667,13.03,13.08,15.09666667
Ifnl1,20.285,23.29333333,21.41,21.40666667,22.77666667
C4Orf36,9.39,8.68,10.53,9.65,10.88333333
Fignl1,205.63,223.3633333,207.8566667,272.3066667,236.38
Rims1,8.41,9.106666667,9.486666667,8.346666667,8.133333333
Pitpnm2,51.225,54.33666667,49.32333333,55.59,64.72
Pcdh10,12.59,14.86333333,13.42666667,14.84333333,15.36666667
Tab3,167.565,226.28,141.76,182.3733333,156.5333333
Grk7,10.69,12.04,12.76666667,11.73333333,11.52666667
Mmel1,34.915,38.58333333,34.25666667,33.36666667,43.01333333
Pde8A,516.59,623.87,473.99,581.14,457.2733333
Nlrp6,13.185,11.56333333,13.82333333,13.56333333,14.59333333
Aknad1,11.79,12.28,12.50333333,11.98666667,13.52
Rtl3,32.675,35.09,38.69333333,30.23666667,37.66333333
Atrip,168.525,178.5533333,189.74,186.5066667,207.1733333
Zic5,32.3,27.64,30.86333333,31.31,36.13333333
Angpt1,7.315,9.26,8.486666667,9.216666667,8.55
Teddm1,10.445,10.56,11.38,10.75,12.51333333
Trim67-As1,26.57,25.68333333,24.37666667,22.10333333,27.52
Gabrg1,19.865,66.18333333,45.71333333,114.62,47.81666667
Panx2,230.44,189.5033333,218.52,170.2633333,184.36
Znf114,257.38,149.3666667,348.97,216.25,395.2933333
Ccdc27,21.11,24.61333333,24.31666667,22.55666667,27.62666667
Cfap161,9.44,9.453333333,8.68,9.553333333,13.08333333
Rbmy2Fp,10.655,8.38,8.253333333,9.67,8.963333333
Neurod2,24.66,27.35666667,26.99666667,22.5,30.79666667
Linc02899,13.29,15.06666667,13.90333333,13.98,13.16333333
Linc00208,19.01,18.87,19.25,19.37,20.06666667
Dnah6,10.645,9.196666667,9.646666667,9.753333333,10.22333333
Lrrc15,22.645,25.57333333,22.96333333,25.9,26.15333333
Cfap46,28.62,24.3,24.67,23.92,30.64333333
B3Gnt7,14.975,13.64,15.28666667,15.24,14.3
Cbll2,17.845,18.36666667,18.98666667,18.89,18.76333333
Zmym6,17.315,21.55666667,18.62,28.69666667,19.92666667
Sgcz,10.035,9.563333333,8.876666667,8.836666667,10.40333333
Linc02551,8.285,7.243333333,7.443333333,7.246666667,6.696666667
Wnt9B,17.59,18.88,15.70333333,17.07,18.75
Dnajb13,33.1,30.61333333,30.06666667,28.24666667,32.38666667
Cnpy3,259.645,191.9233333,247.0366667,200.7966667,202.0466667
Scamp1,331.415,339.2633333,312.9766667,374.0133333,408.8966667
Linc00471,6.795,7.226666667,7.58,7.16,7.263333333
Has3,20.265,22.44333333,17.99,17.67,20.19666667
Fgf4,13.66,14.26,12.79666667,14.34333333,15.84
Slc30A8,13.73,14.60333333,16.69333333,15.86666667,15.67333333
Loc439933,6.455,6.766666667,6.456666667,6.496666667,6.7
C11Orf65,6.955,8.78,8.566666667,8.793333333,6.986666667
Garin5B,13.93,17.00666667,16.74666667,15.52,17.63666667
Or5P2,12.48,11.48,11.26,10.76333333,11.9
Dydc1,6.985,7.1,7.166666667,6.723333333,7.2
Il27,50.47,53.21666667,47.61666667,46.57333333,53.15666667
Iqcf1,35.265,40.52333333,40.73666667,40.60666667,43.55666667
Defb125,10.19,10.15333333,9.486666667,8.876666667,11.21666667
Wfdc10B,12.645,13.87,13.21333333,14.44666667,13.68
Pkhd1,14.365,12.75,15.39,13.68333333,15.07333333
Pkd1L1,11.99,11.51,12.37,12.61,11.90666667
Adgrg4,11.355,10.58,10.02,10.78333333,10.57
Tenm1,10.13,10.77,11.80333333,11.18666667,12.07333333
Rexo1L1P,14.135,15.50666667,17.69666667,13.07333333,12.95666667
Cntnap5,16.965,18.31,15.5,20.13333333,20.23666667
Recql4,230.645,228.0833333,227.7733333,204.1366667,229.4866667
Adgrf3,19.285,18.35666667,17.25,18.04,19.78
Tmc2,40.855,42.14,42.29666667,41.63333333,44.69333333
Smcr5,11.845,12.04,11.96333333,10.94,11.80666667
Bicd2,129.35,107.9566667,113.8833333,94.48666667,89.81333333
Zim3,8.85,8.99,9.12,8.243333333,7.996666667
Nox5,19.98,17.82666667,17.65333333,16.60666667,19.31
Daoa-As1,7.29,8.153333333,7.523333333,7.9,7.623333333
Adgrg6,11.295,14.09666667,10.57,13.74333333,11.47666667
Klhl4,13.33,13.08666667,12.25,13.49,14.37
Gpr156,13.79,15.17333333,14.59333333,13.11666667,13.80666667
Suox,139.03,85.92333333,110.7433333,72.85,52.32
Adgrf4,15.84,14.68,17.83,16.09,18.55666667
Il31Ra,10.73,10.24,9.48,10.23333333,11.04333333
Sytl5,49.815,67.91333333,39.93333333,68.09333333,50.17333333
Sdccag8,27.005,30.72333333,26.24,35.55,28.14333333
Adgrf2,10.145,10.65666667,9.673333333,9.593333333,10.55666667
Syn2,10.47,11.25333333,11.61,11.04666667,13.07
Asb10,155.905,165.1466667,151.43,149.7333333,161.7933333
Htr3C,14.99,14.69,14.20333333,12.85333333,16.57333333
Nfkbid,52.545,48.73,59.54666667,56.59,54.1
Cd300Lf,64.325,103.48,67.77333333,105.7033333,77.30666667
Gja10,22.355,23.81333333,21.76,19.36333333,23.27666667
