pathway,nums,percent,pvalue
Spliceosome,96,94.12,0
Nucleocytoplasmic transport,77,92.77,0
Ribosome biogenesis in eukaryotes,50,89.29,0
DNA replication,33,100,0
Nuclear pore complex,26,86.67,0
Homologous recombination,29,93.55,0
Mismatch repair,22,100,0
Base excision repair,30,90.91,0
Fanconi anemia pathway,27,84.38,0
mRNA surveillance pathway,58,86.57,0
Polycomb repressive complex,61,96.83,0
"Spliceosome, 35S U5-snRNP",22,84.62,0
RNA degradation,33,71.74,0
Nucleotide excision repair,36,85.71,0
Herpes simplex infection,85,90.43,0.0013
Basal transcription factors,28,71.79,0.0044
Cell cycle,127,97.69,0.0071
RNA transport,111,96.52,0.0229
Pyrimidine metabolism,64,90.14,0.1525
Viral life cycle - HIV-1,22,64.71,0.193
Cytosolic DNA-sensing pathway,21,65.62,0.2433
Biosynthesis of amino acids,25,59.52,0.3214
Progesterone-mediated oocyte maturation,52,77.61,0.4132
Oocyte meiosis,60,76.92,0.5702
Purine metabolism,91,94.79,0.5847
Ubiquitin mediated proteolysis,67,76.14,0.5626
Amyotrophic lateral sclerosis,141,73.06,0.5749
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.6472
Neutrophil extracellular trap formation,31,54.39,0.6565
Cysteine and methionine metabolism,22,78.57,0.7341
FoxO signaling pathway,41,53.95,0.7584
Drug metabolism - other enzymes,24,60,0.7477
Nucleotide metabolism,38,80.85,0.7785
Transcriptional misregulation in cancer,72,78.26,0.7663
ATP-dependent chromatin remodeling,60,86.96,0.9778
Carbon metabolism,38,55.88,0.9626
Glutathione metabolism,21,52.5,0.9431
Spinocerebellar ataxia,54,66.67,0.9297
Glucagon signaling pathway,29,56.86,0.9385
Chemical carcinogenesis - receptor activation,60,58.82,0.9365
