pathway,nums,percent,pvalue
Spliceosome,97,95.1,0
DNA replication,33,100,0
Ribosome biogenesis in eukaryotes,50,89.29,0
Mismatch repair,22,100,0
Base excision repair,30,90.91,0
Nuclear pore complex,26,86.67,0
Homologous recombination,29,93.55,0
Fanconi anemia pathway,27,84.38,0
mRNA surveillance pathway,59,88.06,0
RNA degradation,33,71.74,0
RNA transport,110,95.65,0
Polycomb repressive complex,61,96.83,0.0001
Nucleocytoplasmic transport,79,95.18,0.0001
Pyrimidine metabolism,63,88.73,0.0001
Aminoacyl-tRNA biosynthesis,21,72.41,0.0012
Nucleotide excision repair,36,85.71,0.0046
Cell cycle,128,98.46,0.0045
Purine metabolism,89,92.71,0.005
Basal transcription factors,26,66.67,0.0127
Herpes simplex infection,85,90.43,0.0253
Cytosolic DNA-sensing pathway,21,65.62,0.0279
Viral life cycle - HIV-1,22,64.71,0.3016
Cysteine and methionine metabolism,22,78.57,0.3062
Progesterone-mediated oocyte maturation,53,79.1,0.3263
Ribosome,86,86,0.3172
Drug metabolism - other enzymes,24,60,0.3157
Biosynthesis of amino acids,26,61.9,0.3111
Citrate cycle (TCA cycle),21,100,0.3555
Amyotrophic lateral sclerosis,139,72.02,0.3858
"Ribosome, eukaryotes",61,92.42,0.3959
Huntington's disease,65,60.19,0.4208
Coronavirus disease - COVID-19,89,76.07,0.4103
Oocyte meiosis,61,78.21,0.3994
Nucleotide metabolism,38,80.85,0.4026
Chemical carcinogenesis - receptor activation,62,60.78,0.5799
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.622
Metabolic pathways,517,89.29,0.7039
Carbon metabolism,39,57.35,0.7231
Transcriptional misregulation in cancer,77,83.7,0.7424
Neutrophil extracellular trap formation,31,54.39,0.7812
Glutathione metabolism,23,57.5,0.8059
Huntington disease,110,68.32,0.8832
Colorectal cancer,29,51.79,0.8984
Hepatitis C,64,78.05,0.919
FoxO signaling pathway,41,53.95,0.9608
Breast cancer,53,73.61,0.9601
Acute myeloid leukemia,40,100,0.9453
Prostate cancer,51,85,0.9679
Biosynthesis of cofactors,42,58.33,1
Spinocerebellar ataxia,48,59.26,1
Gastric cancer,55,76.39,0.9916
Estrogen signaling pathway,36,56.25,0.9849
Leishmaniasis,32,100,0.9738
Chronic myeloid leukemia,41,75.93,0.9982
Neuroactive ligand-receptor interaction,48,100,0.9846
