pathway,nums,percent,pvalue
Spliceosome,97,95.1,0
DNA replication,33,100,0
Ribosome biogenesis in eukaryotes,49,87.5,0
Ribosome,86,86,0
Mismatch repair,22,100,0
Nuclear pore complex,25,83.33,0
RNA transport,110,95.65,0
"Ribosome, eukaryotes",63,95.45,0
Base excision repair,30,90.91,0
Polycomb repressive complex,61,96.83,0
Homologous recombination,29,93.55,0
Coronavirus disease - COVID-19,91,77.78,0
mRNA surveillance pathway,59,88.06,0
"Spliceosome, 35S U5-snRNP",22,84.62,0
Nucleocytoplasmic transport,79,95.18,0
RNA degradation,32,69.57,0
Fanconi anemia pathway,27,84.38,0
Cell cycle,128,98.46,0
Nucleotide excision repair,35,83.33,0.0003
Herpes simplex infection,85,90.43,0.0004
Basal transcription factors,26,66.67,0.0025
Amyotrophic lateral sclerosis,148,76.68,0.0034
Pyrimidine metabolism,63,88.73,0.008
Aminoacyl-tRNA biosynthesis,21,72.41,0.0119
Huntington's disease,68,62.96,0.021
Purine metabolism,89,92.71,0.041
Oocyte meiosis,62,79.49,0.0453
Pyruvate metabolism,29,100,0.1494
Viral life cycle - HIV-1,22,64.71,0.2107
Progesterone-mediated oocyte maturation,53,79.1,0.2221
Glycolysis / Gluconeogenesis,31,100,0.2452
Citrate cycle (TCA cycle),21,100,0.2691
Transcriptional misregulation in cancer,74,80.43,0.3016
Huntington disease,111,68.94,0.3055
Parkinson disease,79,55.63,0.3589
Chemical carcinogenesis - receptor activation,62,60.78,0.3632
Breast cancer,53,73.61,0.5631
Drug metabolism - other enzymes,24,60,0.5824
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.6032
Glutathione metabolism,21,52.5,0.6679
Metabolic pathways,512,88.43,0.7234
Carbon metabolism,38,55.88,0.7485
Nucleotide metabolism,38,80.85,0.7536
Thermogenesis,73,62.39,0.7881
Platinum drug resistance,31,53.45,0.8103
Neutrophil extracellular trap formation,31,54.39,0.8105
Biosynthesis of amino acids,25,59.52,0.7982
Colorectal cancer,29,51.79,0.7976
Hepatocellular carcinoma,75,74.26,0.8022
Spinocerebellar ataxia,46,56.79,0.798
Hepatitis C,65,79.27,0.7914
FoxO signaling pathway,42,55.26,0.7763
Prostate cancer,51,85,0.7913
HTLV-I infection,133,88.67,0.786
Gastric cancer,54,75,0.7884
RIG-I-like receptor signaling pathway,31,100,0.8384
Chronic myeloid leukemia,41,75.93,0.8841
Acute myeloid leukemia,40,100,0.8847
Herpes simplex virus 1 infection,127,84.11,0.9335
ATP-dependent chromatin remodeling,61,88.41,0.9229
Ubiquitin mediated proteolysis,69,78.41,0.9556
Glycerolipid metabolism,25,100,0.9445
Propanoate metabolism,24,100,0.9596
Leishmaniasis,32,100,0.965
Estrogen signaling pathway,38,59.38,0.9561
