pathway,nums,percent,pvalue
Spliceosome,97,95.1,0
DNA replication,33,100,0
Ribosome biogenesis in eukaryotes,50,89.29,0
Nuclear pore complex,25,83.33,0
Mismatch repair,22,100,0
Base excision repair,30,90.91,0
Polycomb repressive complex,60,95.24,0
mRNA surveillance pathway,60,89.55,0
Homologous recombination,29,93.55,0
"Ribosome, eukaryotes",62,93.94,0
Ribosome,85,85,0
Coronavirus disease - COVID-19,90,76.92,0
RNA degradation,34,73.91,0
"Spliceosome, 35S U5-snRNP",22,84.62,0
Nucleocytoplasmic transport,79,95.18,0
Cell cycle,128,98.46,0
RNA transport,109,94.78,0.0001
Nucleotide excision repair,35,83.33,0.0003
Herpes simplex infection,85,90.43,0.002
Fanconi anemia pathway,27,84.38,0.0022
Glycolysis / Gluconeogenesis,31,100,0.0414
Basal transcription factors,25,64.1,0.084
Drug metabolism - cytochrome P450,23,100,0.1056
Oocyte meiosis,61,78.21,0.1255
Pyruvate metabolism,29,100,0.123
Viral life cycle - HIV-1,22,64.71,0.1218
Progesterone-mediated oocyte maturation,53,79.1,0.1931
Metabolism of xenobiotics by cytochrome P450,26,100,0.2247
Purine metabolism,89,92.71,0.2321
Chemical carcinogenesis - receptor activation,59,57.84,0.3383
Pyrimidine metabolism,63,88.73,0.3546
Transcriptional misregulation in cancer,77,83.7,0.3783
Amyotrophic lateral sclerosis,141,73.06,0.6359
Glutathione metabolism,21,52.5,0.7766
Citrate cycle (TCA cycle),21,100,0.7779
Breast cancer,51,70.83,0.757
Glycerolipid metabolism,25,100,0.764
Platinum drug resistance,32,55.17,0.7954
Carbon metabolism,35,51.47,0.8512
Drug metabolism - other enzymes,24,60,0.8315
Neutrophil extracellular trap formation,32,56.14,0.853
Prostate cancer,45,75,0.8353
FoxO signaling pathway,44,57.89,0.8278
Aminoacyl-tRNA biosynthesis,21,72.41,0.8116
Signaling pathways regulating pluripotency of stem cells,57,72.15,0.8038
Huntington's disease,61,56.48,0.8006
mTOR signaling pathway,41,53.25,0.8056
Propanoate metabolism,24,100,0.808
Biosynthesis of amino acids,23,54.76,0.825
Gastric cancer,50,69.44,0.8187
Legionellosis,24,100,0.9002
Hepatocellular carcinoma,73,72.28,0.8855
RIG-I-like receptor signaling pathway,31,100,0.8741
Small cell lung cancer,40,62.5,0.933
Apoptosis,43,51.81,0.9539
Ubiquitin mediated proteolysis,66,75,0.9576
Nucleotide metabolism,38,80.85,0.9465
Acute myeloid leukemia,40,100,0.9354
HTLV-I infection,131,87.33,0.9593
ATP-dependent chromatin remodeling,61,88.41,0.9456
Chronic myeloid leukemia,38,70.37,0.948
Leishmaniasis,32,100,0.9455
Herpes simplex virus 1 infection,130,86.09,0.9383
