pathway,nums,percent,pvalue,,
Ribosome,85,85,0,,
"Ribosome, eukaryotes",59,89.39,0,,
Spliceosome,97,95.1,0,,
Coronavirus disease - COVID-19,87,74.36,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,50,89.29,0,,
Nuclear pore complex,23,76.67,0,,
Base excision repair,29,87.88,0,,
Mismatch repair,22,100,0,,
RNA polymerase,15,68.18,0,,
mRNA surveillance pathway,59,88.06,0,,
Cell cycle,127,97.69,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Polycomb repressive complex,60,95.24,0,,
Homologous recombination,29,93.55,0,,
RNA degradation,34,73.91,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
RNA transport,111,96.52,0,,
Nucleocytoplasmic transport,76,91.57,0,,
Nucleotide excision repair,36,85.71,0.0001,,
"Spliceosome, U1-snRNP",8,88.89,0.0001,,
Herpes simplex infection,83,88.3,0.0003,,
"RNA polymerase II, eukaryotes",6,100,0.0003,,
Sm core complex,7,100,0.0015,,
Exon junction complex (EJC),16,100,0.0029,,
MCM complex,6,100,0.0039,,
"RNA polymerase I, eukaryotes",7,100,0.004,,
Fanconi anemia pathway,27,84.38,0.0045,,
RF-C complex,5,100,0.0065,,
Glycolysis / Gluconeogenesis,14,45.16,0.0083,,
Cytosolic DNA-sensing pathway,13,40.62,0.0109,,
Basal transcription factors,30,76.92,0.0129,,
Oocyte meiosis,61,78.21,0.0131,,
Pyrimidine metabolism,65,91.55,0.0147,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0168,,
Antifolate resistance,11,73.33,0.0181,,
FA core complex,6,100,0.018,,
"RNA polymerase III, eukaryotes",11,100,0.0209,,
Parkinson's disease,31,41.33,0.0208,,
DNA damage-induced cell cycle checkpoints,7,100,0.023,,
Systemic lupus erythematosus,7,58.33,0.0253,,
Cell cycle - G2/M transition,7,100,0.026,,
Amyotrophic lateral sclerosis,150,77.72,0.028,,
"Exosome, eukaryotes",6,100,0.0406,,
Non-homologous end-joining,6,100,0.0465,,
Nitrogen metabolism,5,83.33,0.0548,,
Purine metabolism,91,94.79,0.0559,,
Parkinson disease,81,57.04,0.081,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0903,,
One carbon pool by folate,11,84.62,0.0988,,
Shelterin complex,5,100,0.1028,,
Citrate cycle (TCA cycle),21,100,0.1217,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.122,,
Huntington's disease,71,65.74,0.148,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1466,,
Viral life cycle - HIV-1,22,64.71,0.1658,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",16,64,0.1665,,
Aminoacyl-tRNA biosynthesis,20,68.97,0.2009,,
Chemical carcinogenesis - DNA adducts,6,30,0.2075,,
Progesterone-mediated oocyte maturation,54,80.6,0.2092,,
Chemical carcinogenesis - reactive oxygen species,48,39.34,0.2137,,
Methionine salvage pathway,4,80,0.2242,,
Proteasome,19,63.33,0.2253,,
Arginine and proline metabolism,11,40.74,0.2297,,
African trypanosomiasis,2,14.29,0.2286,,
Metabolism of xenobiotics by cytochrome P450,7,26.92,0.2404,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.2411,,
Cytochrome bc1 complex,7,100,0.2468,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.2552,,
Tyrosine metabolism,17,100,0.2621,,
Origin recognition complex,6,100,0.2799,,
TREX complex,8,100,0.2901,,
Sulfur metabolism,3,33.33,0.3006,,
Phenylalanine metabolism,10,100,0.309,,
Transcriptional misregulation in cancer,81,88.04,0.3417,,
beta-Alanine metabolism,4,21.05,0.3511,,
