pathway,nums,percent,pvalue,,
Spliceosome,98,96.08,0,,
DNA replication,33,100,0,,
"Ribosome, eukaryotes",63,95.45,0,,
Ribosome,88,88,0,,
Ribosome biogenesis in eukaryotes,50,89.29,0,,
Coronavirus disease - COVID-19,98,83.76,0,,
Mismatch repair,22,100,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
Nuclear pore complex,26,86.67,0,,
Homologous recombination,30,96.77,0,,
BRCA1-associated genome surveillance complex (BASC),14,93.33,0,,
mRNA surveillance pathway,61,91.04,0,,
Fanconi anemia pathway,29,90.62,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
Nucleocytoplasmic transport,79,95.18,0,,
RNA polymerase,17,77.27,0.0001,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.0001,,
Pyrimidine metabolism,65,91.55,0.0001,,
RNA transport,111,96.52,0.0001,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.0004,,
RNA degradation,36,78.26,0.0003,,
Origin recognition complex,6,100,0.0005,,
"Spliceosome, U1-snRNP",8,88.89,0.001,,
MCM complex,6,100,0.001,,
Sm core complex,7,100,0.0019,,
Exon junction complex (EJC),13,81.25,0.0054,,
Polycomb repressive complex,61,96.83,0.0079,,
Cell cycle,129,99.23,0.0079,,
Nucleotide excision repair,37,88.1,0.0101,,
"RNA polymerase II, eukaryotes",6,100,0.0105,,
RF-C complex,5,100,0.011,,
Cell cycle - G2/M transition,7,100,0.0122,,
Proteasome,21,70,0.0154,,
"RNA polymerase III, eukaryotes",10,90.91,0.0156,,
Purine metabolism,89,92.71,0.016,,
FA core complex,6,100,0.0163,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0193,,
DNA damage-induced cell cycle checkpoints,7,100,0.0208,,
Biosynthesis of amino acids,29,69.05,0.0207,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.0226,,
"RNA polymerase I, eukaryotes",7,100,0.0301,,
Arginine and proline metabolism,13,48.15,0.039,,
Glycolysis / Gluconeogenesis,16,51.61,0.0406,,
"Exosome, eukaryotes",6,100,0.0403,,
Systemic lupus erythematosus,9,75,0.0402,,
Basal transcription factors,35,89.74,0.044,,
One carbon pool by folate,11,84.62,0.044,,
Non-homologous end-joining,6,100,0.0463,,
Methionine salvage pathway,3,60,0.0668,,
Cysteine and methionine metabolism,23,82.14,0.0822,,
Staphylococcus aureus infection,12,85.71,0.1132,,
Herpes simplex infection,88,93.62,0.1124,,
Shelterin complex,5,100,0.1366,,
Nicotine addiction,3,60,0.1597,,
Lipoic acid metabolism,11,100,0.1639,,
"F-type ATPase, eukaryotes",2,33.33,0.2414,,
Tyrosine metabolism,17,100,0.2386,,
Methionine degradation,4,66.67,0.2398,,
Cytosolic DNA-sensing pathway,26,81.25,0.2359,,
Antifolate resistance,12,80,0.2385,,
"C1-unit interconversion, eukaryotes",6,100,0.2519,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",5,45.45,0.252,,
Progesterone-mediated oocyte maturation,56,83.58,0.2718,,
Nitrogen metabolism,5,83.33,0.2747,,
Primary immunodeficiency,5,71.43,0.2789,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.2764,,
2-Oxocarboxylic acid metabolism,20,100,0.2749,,
Phenylalanine metabolism,10,100,0.2872,,
Wnt signaling,7,53.85,0.2903,,
beta-Alanine metabolism,5,26.32,0.2948,,
Glycerolipid metabolism,15,60,0.2996,,
Drug metabolism - other enzymes,28,70,0.2988,,
"Glycine, serine and threonine metabolism",14,70,0.2971,,
NOD-like receptor signaling pathway,49,51.58,0.2945,,
Triacylglycerol biosynthesis,9,100,0.3262,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.3511,,
TREX complex,8,100,0.3658,,
Carbon metabolism,46,67.65,0.3668,,
IL-17 signaling pathway,21,52.5,0.368,,
Metabolic pathways,527,91.02,0.3906,,
Glyoxylate and dicarboxylate metabolism,12,60,0.3936,,
Vitamin B6 metabolism,5,100,0.4003,,
African trypanosomiasis,5,35.71,0.4355,,
"Proteasome, 20S core particle",9,100,0.4534,,
Cytochrome bc1 complex,7,100,0.4503,,
Amyotrophic lateral sclerosis,153,79.27,0.4469,,
Oocyte meiosis,64,82.05,0.4427,,
Retinol metabolism,6,60,0.4525,,
Fructose and mannose metabolism,18,100,0.4727,,
Huntington's disease,74,68.52,0.4703,,
Viral life cycle - HIV-1,26,76.47,0.4869,,
Antigen processing and presentation,16,66.67,0.4917,,
Th17 cell differentiation,33,67.35,0.5005,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.5039,,
Thyroid cancer,11,52.38,0.4989,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.5047,,
Nucleotide metabolism,40,85.11,0.5012,,
Prion diseases,10,47.62,0.5228,,
Holo-TFIIH complex,10,100,0.5228,,
Immunoproteasome,14,100,0.5264,,
Chemical carcinogenesis - receptor activation,65,63.73,0.5564,,
Inositol phosphate metabolism,22,47.83,0.6267,,
Prostate cancer,55,91.67,0.6213,,
