pathway,nums,percent,pvalue,,
Spliceosome,98,96.08,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,52,92.86,0,,
Nuclear pore complex,25,83.33,0,,
Mismatch repair,22,100,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
mRNA surveillance pathway,60,89.55,0,,
Homologous recombination,29,93.55,0,,
Polycomb repressive complex,60,95.24,0,,
RNA polymerase,18,81.82,0,,
Ribosome,86,86,0,,
"Ribosome, eukaryotes",63,95.45,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
RNA degradation,38,82.61,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Coronavirus disease - COVID-19,99,84.62,0,,
Nucleocytoplasmic transport,79,95.18,0,,
RNA transport,111,96.52,0.0002,,
Cell cycle,128,98.46,0.0002,,
"Spliceosome, U1-snRNP",9,100,0.0005,,
Nucleotide excision repair,36,85.71,0.0012,,
Exon junction complex (EJC),16,100,0.0015,,
Fanconi anemia pathway,28,87.5,0.0023,,
Sm core complex,7,100,0.0031,,
MCM complex,6,100,0.0041,,
Herpes simplex infection,87,92.55,0.0041,,
RF-C complex,5,100,0.0055,,
"RNA polymerase I, eukaryotes",7,100,0.0056,,
FA core complex,6,100,0.0069,,
"RNA polymerase II, eukaryotes",6,100,0.0102,,
Cell cycle - G2/M transition,7,100,0.01,,
"RNA polymerase III, eukaryotes",10,90.91,0.0151,,
DNA damage-induced cell cycle checkpoints,7,100,0.016,,
Glycolysis / Gluconeogenesis,13,41.94,0.016,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0205,,
"Exosome, eukaryotes",6,100,0.0261,,
Non-homologous end-joining,6,100,0.0398,,
Folate biosynthesis,5,45.45,0.0498,,
Metabolism of xenobiotics by cytochrome P450,10,38.46,0.0934,,
Basal transcription factors,31,79.49,0.0934,,
Shelterin complex,5,100,0.1019,,
Chemical carcinogenesis - DNA adducts,7,35,0.1164,,
Systemic lupus erythematosus,8,66.67,0.1443,,
Oocyte meiosis,63,80.77,0.1804,,
African trypanosomiasis,8,57.14,0.2083,,
Cytosolic DNA-sensing pathway,27,84.38,0.2238,,
Methionine salvage pathway,4,80,0.2213,,
Viral life cycle - HIV-1,26,76.47,0.2186,,
Drug metabolism - cytochrome P450,8,34.78,0.2373,,
Methionine degradation,4,66.67,0.2515,,
Origin recognition complex,6,100,0.2542,,
Inositol phosphate metabolism,22,47.83,0.269,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.2684,,
Progesterone-mediated oocyte maturation,54,80.6,0.269,,
Arginine and proline metabolism,11,40.74,0.2783,,
TREX complex,8,100,0.3046,,
Tyrosine metabolism,17,100,0.3245,,
Purine metabolism,91,94.79,0.3246,,
Phosphatidylinositol signaling system,26,45.61,0.3206,,
Sulfur metabolism,3,33.33,0.3324,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.3361,,
Phenylalanine metabolism,10,100,0.3314,,
One carbon pool by folate,11,84.62,0.3314,,
Antifolate resistance,12,80,0.3275,,
beta-Alanine metabolism,5,26.32,0.335,,
Nicotine addiction,3,60,0.3525,,
Thyroid cancer,11,52.38,0.3816,,
Primary immunodeficiency,5,71.43,0.3779,,
Glycerolipid metabolism,15,60,0.3764,,
Fructose and mannose metabolism,18,100,0.3852,,
Platinum drug resistance,41,70.69,0.3919,,
Chemical carcinogenesis - receptor activation,67,65.69,0.3915,,
Transcriptional misregulation in cancer,87,94.57,0.4355,,
Pyrimidine metabolism,65,91.55,0.4314,,
Notch signaling,3,37.5,0.4396,,
Triacylglycerol biosynthesis,9,100,0.505,,
Nitrogen metabolism,5,83.33,0.5087,,
Chemical carcinogenesis - reactive oxygen species,47,38.52,0.6168,,
NOD-like receptor signaling pathway,51,53.68,0.6944,,
Retinol metabolism,6,60,0.7038,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.704,,
Bladder cancer,16,66.67,0.7149,,
Holo-TFIIH complex,10,100,0.7162,,
Glutathione metabolism,28,70,0.7425,,
Prion diseases,10,47.62,0.7456,,
BER complex,8,100,0.7453,,
Citrate cycle (TCA cycle),21,100,0.7615,,
Cysteine and methionine metabolism,23,82.14,0.7857,,
RIG-I-like receptor signaling pathway,20,64.52,0.8064,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.8483,,
"C1-unit interconversion, eukaryotes",6,100,0.8628,,
Endometrial cancer,22,64.71,0.9109,,
"O-glycan biosynthesis, mucin type core",4,40,0.9197,,
Drug metabolism - other enzymes,31,77.5,0.9145,,
Selenocompound metabolism,11,100,0.9095,,
Activin signaling,6,100,0.9089,,
Mucin type O-glycan biosynthesis,4,33.33,0.9009,,
Staphylococcus aureus infection,11,78.57,0.9266,,
Carbon metabolism,37,54.41,0.9197,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.9215,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.9173,,
Breast cancer,56,77.78,0.9128,,
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.9347,,
Legionellosis,17,70.83,0.9293,,
IL-17 signaling pathway,25,62.5,0.9539,,
