pathway,nums,percent,pvalue,,
Spliceosome,98,96.08,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,52,92.86,0,,
Ribosome,88,88,0,,
"Ribosome, eukaryotes",63,95.45,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
RNA polymerase,18,81.82,0,,
Mismatch repair,22,100,0,,
RNA transport,111,96.52,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Nuclear pore complex,25,83.33,0,,
Polycomb repressive complex,61,96.83,0,,
mRNA surveillance pathway,61,91.04,0,,
Coronavirus disease - COVID-19,100,85.47,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
Homologous recombination,29,93.55,0,,
Nucleocytoplasmic transport,79,95.18,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
Fanconi anemia pathway,28,87.5,0.0001,,
Cell cycle,129,99.23,0.0001,,
RNA degradation,39,84.78,0.0001,,
"RNA polymerase II, eukaryotes",6,100,0.0002,,
"Spliceosome, U1-snRNP",8,88.89,0.0003,,
Nucleotide excision repair,37,88.1,0.0005,,
"RNA polymerase I, eukaryotes",7,100,0.0007,,
Herpes simplex infection,88,93.62,0.0008,,
Cytochrome bc1 complex,7,100,0.0009,,
Sm core complex,7,100,0.001,,
MCM complex,6,100,0.0011,,
"RNA polymerase III, eukaryotes",10,90.91,0.0015,,
Basal transcription factors,35,89.74,0.0026,,
Proteasome,21,70,0.0049,,
Exon junction complex (EJC),16,100,0.0048,,
RF-C complex,5,100,0.0068,,
Pyrimidine metabolism,66,92.96,0.0135,,
"Exosome, eukaryotes",6,100,0.0139,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0151,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.0189,,
FA core complex,6,100,0.0195,,
DNA damage-induced cell cycle checkpoints,7,100,0.0194,,
Cell cycle - G2/M transition,7,100,0.0209,,
THC complex,5,100,0.0284,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.0304,,
Systemic lupus erythematosus,8,66.67,0.0365,,
Amyotrophic lateral sclerosis,155,80.31,0.0423,,
Purine metabolism,91,94.79,0.0507,,
Non-homologous end-joining,6,100,0.0575,,
Huntington's disease,72,66.67,0.0673,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0668,,
Oocyte meiosis,64,82.05,0.0715,,
Glycolysis / Gluconeogenesis,15,48.39,0.086,,
"Proteasome, 19S regulatory particle (PA700)",6,50,0.09,,
"Proteasome, 20S core particle",9,100,0.1077,,
Parkinson's disease,32,42.67,0.1101,,
Cytosolic DNA-sensing pathway,27,84.38,0.1108,,
Nitrogen metabolism,5,83.33,0.1384,,
Shelterin complex,5,100,0.1381,,
One carbon pool by folate,11,84.62,0.1443,,
2-Oxocarboxylic acid metabolism,20,100,0.142,,
"Alanine, aspartate and glutamate metabolism",11,47.83,0.1402,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1409,,
Sulfur metabolism,3,33.33,0.1635,,
Methionine salvage pathway,4,80,0.1815,,
Arginine and proline metabolism,13,48.15,0.1797,,
"F-type ATPase, eukaryotes",2,33.33,0.1936,,
Staphylococcus aureus infection,12,85.71,0.2152,,
Antifolate resistance,12,80,0.2128,,
TREX complex,8,100,0.2451,,
Thyroid cancer,12,57.14,0.242,,
Phenylalanine metabolism,10,100,0.2603,,
Viral life cycle - HIV-1,26,76.47,0.2638,,
beta-Alanine metabolism,6,31.58,0.2853,,
Drug metabolism - cytochrome P450,8,34.78,0.2857,,
Progesterone-mediated oocyte maturation,55,82.09,0.2906,,
Citrate cycle (TCA cycle),21,100,0.2996,,
Immunoproteasome,14,100,0.3098,,
Tyrosine metabolism,17,100,0.3183,,
Transcriptional misregulation in cancer,86,93.48,0.3276,,
Chemical carcinogenesis - reactive oxygen species,57,46.72,0.3285,,
Glyoxylate and dicarboxylate metabolism,12,60,0.3272,,
Cysteine and methionine metabolism,23,82.14,0.3294,,
Methionine degradation,4,66.67,0.3384,,
Holo-TFIIH complex,10,100,0.3608,,
Origin recognition complex,6,100,0.3641,,
Glycerolipid metabolism,15,60,0.3711,,
eIF4F complex,7,100,0.3689,,
Huntington disease,120,74.53,0.3728,,
NOD-like receptor signaling pathway,52,54.74,0.3721,,
Triacylglycerol biosynthesis,9,100,0.3838,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.3892,,
IL-17 signaling pathway,27,67.5,0.3942,,
Chemical carcinogenesis - receptor activation,67,65.69,0.4018,,
Bladder cancer,16,66.67,0.4211,,
Platinum drug resistance,41,70.69,0.4211,,
Parkinson disease,84,59.15,0.4313,,
Retinol metabolism,6,60,0.4286,,
Survival motor neuron (SMN) complex,8,100,0.4637,,
Prostate cancer,55,91.67,0.4921,,
Primary immunodeficiency,5,71.43,0.4887,,
Inositol phosphate metabolism,22,47.83,0.5127,,
Prion diseases,10,47.62,0.5455,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.5403,,
Endometrial cancer,23,67.65,0.5674,,
Notch signaling pathway,19,57.58,0.5806,,
BER complex,8,100,0.5791,,
Lipoic acid metabolism,11,100,0.5827,,
