pathway,nums,percent,pvalue,,
Spliceosome,98,96.08,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,51,91.07,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
Mismatch repair,22,100,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Base excision repair,30,90.91,0,,
Nuclear pore complex,26,86.67,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
RNA polymerase,17,77.27,0,,
Homologous recombination,30,96.77,0,,
mRNA surveillance pathway,61,91.04,0,,
BRCA1-associated genome surveillance complex (BASC),14,93.33,0,,
Fanconi anemia pathway,29,90.62,0.0001,,
Nucleocytoplasmic transport,79,95.18,0.0001,,
RNA degradation,38,82.61,0.0001,,
RNA transport,111,96.52,0.0003,,
Polycomb repressive complex,61,96.83,0.0004,,
Pyrimidine metabolism,65,91.55,0.0005,,
"RNA polymerase II, eukaryotes",6,100,0.0006,,
"Spliceosome, U1-snRNP",8,88.89,0.0007,,
Sm core complex,7,100,0.001,,
MCM complex,6,100,0.0017,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.0047,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.0052,,
Nucleotide excision repair,38,90.48,0.0054,,
"RNA polymerase I, eukaryotes",7,100,0.0068,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0096,,
"RNA polymerase III, eukaryotes",10,90.91,0.01,,
Cell cycle - G2/M transition,7,100,0.0105,,
FA core complex,6,100,0.0111,,
Purine metabolism,89,92.71,0.0132,,
Cell cycle,128,98.46,0.0138,,
RF-C complex,5,100,0.0137,,
Exon junction complex (EJC),13,81.25,0.0141,,
"Exosome, eukaryotes",6,100,0.015,,
DNA damage-induced cell cycle checkpoints,7,100,0.0146,,
Systemic lupus erythematosus,8,66.67,0.0174,,
Cytochrome bc1 complex,7,100,0.017,,
Basal transcription factors,36,92.31,0.0175,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.0254,,
Non-homologous end-joining,6,100,0.0361,,
2-Oxocarboxylic acid metabolism,20,100,0.0423,,
Herpes simplex infection,88,93.62,0.0512,,
Origin recognition complex,6,100,0.0603,,
Staphylococcus aureus infection,12,85.71,0.0606,,
One carbon pool by folate,11,84.62,0.0995,,
Shelterin complex,5,100,0.123,,
Nicotine addiction,3,60,0.1245,,
Fructose and mannose metabolism,3,16.67,0.1431,,
Lipoic acid metabolism,11,100,0.1538,,
Glyoxylate and dicarboxylate metabolism,12,60,0.1807,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",5,45.45,0.1807,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.1851,,
Arginine and proline metabolism,11,40.74,0.2211,,
Tyrosine metabolism,17,100,0.2184,,
"F-type ATPase, eukaryotes",2,33.33,0.2414,,
Phenylalanine metabolism,10,100,0.2526,,
Triacylglycerol biosynthesis,9,100,0.2963,,
Biosynthesis of amino acids,29,69.05,0.3177,,
Proteasome,20,66.67,0.3129,,
Nitrogen metabolism,5,83.33,0.3147,,
Methionine degradation,4,66.67,0.3112,,
Antifolate resistance,12,80,0.3097,,
Cysteine and methionine metabolism,22,78.57,0.3108,,
Progesterone-mediated oocyte maturation,55,82.09,0.3557,,
Viral life cycle - HIV-1,26,76.47,0.3561,,
TREX complex,8,100,0.3513,,
Ribosome,87,87,0.3497,,
Drug metabolism - other enzymes,30,75,0.3964,,
Cytosolic DNA-sensing pathway,27,84.38,0.3924,,
Citrate cycle (TCA cycle),21,100,0.4146,,
Drug metabolism - cytochrome P450,7,30.43,0.4128,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.4269,,
Glycerolipid metabolism,15,60,0.4307,,
"C1-unit interconversion, eukaryotes",6,100,0.4337,,
Glycolysis / Gluconeogenesis,16,51.61,0.4335,,
"Ribosome, eukaryotes",63,95.45,0.4442,,
Thyroid cancer,11,52.38,0.4745,,
Carbon metabolism,46,67.65,0.4698,,
African trypanosomiasis,5,35.71,0.4718,,
Retinol metabolism,6,60,0.4764,,
Huntington's disease,74,68.52,0.4963,,
Primary immunodeficiency,5,71.43,0.5052,,
Nucleotide metabolism,40,85.11,0.5508,,
Oocyte meiosis,63,80.77,0.5584,,
Amyotrophic lateral sclerosis,152,78.76,0.5608,,
NOD-like receptor signaling pathway,48,50.53,0.5933,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.5904,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.6167,,
BER complex,8,100,0.6253,,
Coronavirus disease - COVID-19,99,84.62,0.6441,,
Transcriptional misregulation in cancer,86,93.48,0.641,,
Chemical carcinogenesis - receptor activation,66,64.71,0.658,,
Chemical carcinogenesis - reactive oxygen species,56,45.9,0.6782,,
Inositol phosphate metabolism,22,47.83,0.6726,,
Methionine salvage pathway,5,100,0.6868,,
"Proteasome, 19S regulatory particle (PA700)",6,50,0.6938,,
"Glycine, serine and threonine metabolism",15,75,0.7231,,
Signaling pathways regulating pluripotency of stem cells,61,77.22,0.7517,,
Holo-TFIIH complex,10,100,0.7459,,
Metabolic pathways,527,91.02,0.7421,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,37.5,0.7451,,
