pathway,nums,percent,pvalue,,
Spliceosome,96,94.12,0,,
Ribosome biogenesis in eukaryotes,50,89.29,0,,
Nucleocytoplasmic transport,77,92.77,0,,
Nuclear pore complex,26,86.67,0,,
DNA replication,33,100,0,,
Mismatch repair,22,100,0,,
Homologous recombination,29,93.55,0,,
Base excision repair,30,90.91,0,,
Fanconi anemia pathway,27,84.38,0,,
mRNA surveillance pathway,58,86.57,0,,
Polycomb repressive complex,61,96.83,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
"Spliceosome, U2-snRNP",17,89.47,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",17,80.95,0,,
RNA degradation,35,76.09,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
Nucleotide excision repair,36,85.71,0.0001,,
MCM complex,6,100,0.0006,,
RNA polymerase,18,81.82,0.0008,,
Proteasome,18,60,0.0011,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.002,,
Origin recognition complex,6,100,0.0019,,
"Alanine, aspartate and glutamate metabolism",9,39.13,0.0033,,
Herpes simplex infection,85,90.43,0.0039,,
"Spliceosome, U1-snRNP",8,88.89,0.0043,,
FA core complex,6,100,0.0046,,
Cell cycle - G2/M transition,7,100,0.006,,
RF-C complex,5,100,0.0087,,
Basal transcription factors,28,71.79,0.0089,,
Exon junction complex (EJC),12,75,0.0091,,
Sm core complex,7,100,0.0116,,
Cell cycle,127,97.69,0.0165,,
Systemic lupus erythematosus,6,50,0.0171,,
"RNA polymerase II, eukaryotes",6,100,0.0176,,
Non-homologous end-joining,6,100,0.0181,,
DNA damage-induced cell cycle checkpoints,7,100,0.019,,
"RNA polymerase I, eukaryotes",7,100,0.0233,,
Immunoproteasome,14,100,0.0275,,
"Exosome, eukaryotes",6,100,0.0364,,
RNA transport,111,96.52,0.0389,,
APC/C complex,4,33.33,0.0426,,
Aminoacyl-tRNA biosynthesis,20,68.97,0.0485,,
Wnt signaling,3,23.08,0.0488,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0527,,
One carbon pool by folate,9,69.23,0.0566,,
Glycerolipid metabolism,4,16,0.062,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",17,68,0.0615,,
"Proteasome, 19S regulatory particle (PA700)",6,50,0.0752,,
Methionine degradation,4,66.67,0.0756,,
Primary immunodeficiency,5,71.43,0.0838,,
Shelterin complex,5,100,0.1099,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",5,45.45,0.1144,,
Nitrogen metabolism,6,100,0.1368,,
"RNA polymerase III, eukaryotes",10,90.91,0.1627,,
African trypanosomiasis,2,14.29,0.176,,
"F-type ATPase, eukaryotes",2,33.33,0.1785,,
Glycolysis / Gluconeogenesis,13,41.94,0.1854,,
Pyrimidine metabolism,64,90.14,0.1875,,
Glycerophospholipid metabolism,5,10.64,0.1844,,
Viral life cycle - HIV-1,22,64.71,0.2239,,
Antifolate resistance,10,66.67,0.2208,,
Cytosolic DNA-sensing pathway,21,65.62,0.2424,,
Fructose and mannose metabolism,18,100,0.285,,
TREX complex,8,100,0.2923,,
Arginine biosynthesis,9,100,0.2936,,
Pentose phosphate pathway,13,100,0.2906,,
Longevity regulating pathway - multiple species,9,23.08,0.3419,,
Biosynthesis of amino acids,25,59.52,0.3762,,
Phenylalanine metabolism,10,100,0.3955,,
Progesterone-mediated oocyte maturation,52,77.61,0.4647,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,37.5,0.4737,,
Vitamin B6 metabolism,5,100,0.4931,,
"C1-unit interconversion, eukaryotes",5,83.33,0.497,,
Dorso-ventral axis formation,5,27.78,0.5997,,
Oocyte meiosis,60,76.92,0.6024,,
Mineral absorption,6,42.86,0.5966,,
Purine metabolism,91,94.79,0.5892,,
Amyotrophic lateral sclerosis,141,73.06,0.6605,,
Lipoic acid metabolism,11,100,0.6666,,
BER complex,8,100,0.6849,,
Ubiquitin mediated proteolysis,66,75,0.682,,
Cell adhesion molecules (CAMs),12,29.27,0.7266,,
Neutrophil extracellular trap formation,31,54.39,0.7188,,
Staphylococcus aureus infection,8,57.14,0.7237,,
Cell adhesion molecules,13,29.55,0.7177,,
"Proteasome, 20S core particle",9,100,0.7135,,
Notch signaling pathway,17,51.52,0.7286,,
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.7234,,
Tyrosine metabolism,17,100,0.8143,,
Survival motor neuron (SMN) complex,7,87.5,0.8162,,
Cysteine and methionine metabolism,22,78.57,0.8256,,
Glutamatergic synapse,8,16.67,0.8225,,
Glyoxylate and dicarboxylate metabolism,9,45,0.8185,,
FoxO signaling pathway,41,53.95,0.8269,,
Drug metabolism - other enzymes,24,60,0.8362,,
Endocytosis,16,10.32,0.8342,,
Transcriptional misregulation in cancer,73,79.35,0.8468,,
"Glycine, serine and threonine metabolism",13,65,0.8651,,
Alcoholic liver disease,14,19.72,0.9075,,
Thyroid hormone signaling pathway,33,45.21,0.9034,,
Nucleotide metabolism,38,80.85,0.9044,,
Arginine and proline metabolism,6,22.22,0.902,,
Legionellosis,9,37.5,0.8959,,
Inositol phosphate metabolism,19,41.3,0.9068,,
RIG-I-like receptor signaling pathway,9,29.03,0.9028,,
Cholesterol metabolism,5,26.32,0.9072,,
Hippo signaling pathway,28,32.56,0.9079,,
Porphyrin and chlorophyll metabolism,12,100,0.9185,,
Thyroid cancer,8,38.1,0.9396,,
Retinol metabolism,10,100,0.9388,,
NOD-like receptor signaling pathway,17,17.89,0.9401,,
Choline metabolism in cancer,6,10.34,0.9603,,
Mitophagy - animal,15,34.88,0.9656,,
Endometrial cancer,8,23.53,0.9634,,
NF-kappa B signaling pathway,15,28.3,0.9612,,
Central carbon metabolism in cancer,20,47.62,0.9565,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,0.9833,,
Riboflavin metabolism,6,100,0.9868,,
Longevity regulating pathway,13,23.64,0.985,,
ATP-dependent chromatin remodeling,60,86.96,0.979,,
Carbon metabolism,38,55.88,0.9816,,
Glutathione metabolism,21,52.5,0.9842,,
Spinocerebellar ataxia,54,66.67,0.9785,,
eIF4F complex,7,100,0.9888,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.9907,,
Colorectal cancer,28,50,0.9849,,
Glucagon signaling pathway,29,56.86,0.9784,,
N-glycan precursor biosynthesis,4,57.14,0.9715,,
Pyruvate metabolism,11,37.93,0.9674,,
"Glycolysis, core module involving three-carbon compounds",2,33.33,0.9731,,
Propanoate metabolism,11,45.83,0.9717,,
Chemical carcinogenesis - receptor activation,60,58.82,0.9775,,
IL-17 signaling pathway,11,27.5,0.977,,
Maturity onset diabetes of the young,5,100,0.9817,,
Sulfur metabolism,3,33.33,0.9799,,
Various types of N-glycan biosynthesis,8,40,0.995,,
Leukocyte transendothelial migration,1,1.64,NA,,
Vitamin digestion and absorption,1,10,NA,,
