pathway,nums,percent,pvalue,,
Spliceosome,97,95.1,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,50,89.29,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
Base excision repair,30,90.91,0,,
Mismatch repair,22,100,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
"Spliceosome, 35S U5-snRNP",20,76.92,0,,
RNA polymerase,17,77.27,0,,
Nuclear pore complex,26,86.67,0,,
Homologous recombination,29,93.55,0,,
mRNA surveillance pathway,59,88.06,0,,
Fanconi anemia pathway,27,84.38,0,,
BRCA1-associated genome surveillance complex (BASC),14,93.33,0,,
Polycomb repressive complex,61,96.83,0.0001,,
RNA degradation,33,71.74,0.0001,,
Nucleocytoplasmic transport,79,95.18,0.0001,,
Pyrimidine metabolism,63,88.73,0.0002,,
RNA transport,110,95.65,0.0002,,
"Spliceosome, U1-snRNP",8,88.89,0.0002,,
"RNA polymerase II, eukaryotes",6,100,0.0004,,
Sm core complex,7,100,0.0015,,
MCM complex,6,100,0.0016,,
Aminoacyl-tRNA biosynthesis,21,72.41,0.0032,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.0044,,
"RNA polymerase I, eukaryotes",7,100,0.005,,
Nucleotide excision repair,36,85.71,0.0053,,
"RNA polymerase III, eukaryotes",10,90.91,0.0066,,
Cell cycle - G2/M transition,7,100,0.0082,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0091,,
RF-C complex,5,100,0.0097,,
Cell cycle,128,98.46,0.0095,,
FA core complex,6,100,0.0119,,
"Exosome, eukaryotes",6,100,0.0118,,
Purine metabolism,89,92.71,0.0126,,
Cytochrome bc1 complex,7,100,0.0152,,
Basal transcription factors,26,66.67,0.0154,,
DNA damage-induced cell cycle checkpoints,7,100,0.0183,,
Exon junction complex (EJC),12,75,0.0241,,
Non-homologous end-joining,6,100,0.0319,,
Cytosolic DNA-sensing pathway,21,65.62,0.0485,,
2-Oxocarboxylic acid metabolism,20,100,0.0585,,
Herpes simplex infection,85,90.43,0.0587,,
APC/C complex,4,33.33,0.0633,,
Systemic lupus erythematosus,7,58.33,0.0624,,
Bacterial invasion of epithelial cells,5,10.2,0.0624,,
Origin recognition complex,6,100,0.064,,
"Alanine, aspartate and glutamate metabolism",10,43.48,0.0758,,
Staphylococcus aureus infection,10,71.43,0.0988,,
One carbon pool by folate,9,69.23,0.1036,,
African trypanosomiasis,3,21.43,0.1222,,
Lipoic acid metabolism,11,100,0.1307,,
Proteasome,18,60,0.1295,,
Shelterin complex,5,100,0.1321,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",5,45.45,0.1585,,
Glycerolipid metabolism,5,20,0.163,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.1738,,
Tyrosine metabolism,17,100,0.1928,,
Glycerophospholipid metabolism,7,14.89,0.1912,,
Cholesterol metabolism,4,21.05,0.2339,,
"F-type ATPase, eukaryotes",2,33.33,0.2362,,
Phenylalanine metabolism,10,100,0.2424,,
Methionine degradation,4,66.67,0.2478,,
Triacylglycerol biosynthesis,9,100,0.2584,,
Cysteine and methionine metabolism,22,78.57,0.2974,,
Viral life cycle - HIV-1,22,64.71,0.302,,
Glyoxylate and dicarboxylate metabolism,10,50,0.331,,
Nitrogen metabolism,5,83.33,0.3308,,
Wnt signaling,6,46.15,0.332,,
Progesterone-mediated oocyte maturation,53,79.1,0.3434,,
Antifolate resistance,10,66.67,0.3467,,
Drug metabolism - other enzymes,24,60,0.3423,,
NOD-like receptor signaling pathway,20,21.05,0.338,,
Ribosome,86,86,0.335,,
TREX complex,8,100,0.331,,
Biosynthesis of amino acids,26,61.9,0.3425,,
Arginine and proline metabolism,6,22.22,0.3474,,
Longevity regulating pathway - multiple species,9,23.08,0.3774,,
Citrate cycle (TCA cycle),21,100,0.3824,,
Thyroid cancer,10,47.62,0.4027,,
"Ribosome, eukaryotes",61,92.42,0.4109,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.4329,,
Amyotrophic lateral sclerosis,139,72.02,0.4563,,
Nucleotide metabolism,38,80.85,0.4553,,
Huntington's disease,65,60.19,0.4722,,
"C1-unit interconversion, eukaryotes",5,83.33,0.4741,,
Coronavirus disease - COVID-19,89,76.07,0.4755,,
Primary immunodeficiency,5,71.43,0.4993,,
Oocyte meiosis,61,78.21,0.4972,,
Cell adhesion molecules,16,36.36,0.5105,,
Cell adhesion molecules (CAMs),15,36.59,0.5444,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.5685,,
Fructose and mannose metabolism,18,100,0.5642,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.6202,,
Chemical carcinogenesis - receptor activation,62,60.78,0.634,,
BER complex,8,100,0.6389,,
Methionine salvage pathway,5,100,0.683,,
Thyroid hormone signaling pathway,32,43.84,0.6814,,
Inositol phosphate metabolism,21,45.65,0.675,,
"Proteasome, 19S regulatory particle (PA700)",6,50,0.6884,,
"Glycine, serine and threonine metabolism",13,65,0.6851,,
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.6856,,
IL-17 signaling pathway,12,30,0.7067,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.7318,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,37.5,0.7396,,
Metabolic pathways,517,89.29,0.7342,,
Carbon metabolism,39,57.35,0.753,,
"O-glycan biosynthesis, mucin type core",4,40,0.7669,,
Mucin type O-glycan biosynthesis,4,33.33,0.7819,,
Notch signaling pathway,17,51.52,0.8086,,
beta-Alanine metabolism,19,100,0.8116,,
Transcriptional misregulation in cancer,77,83.7,0.8093,,
Neutrophil extracellular trap formation,31,54.39,0.904,,
Bladder cancer,16,66.67,0.8985,,
Activin signaling,6,100,0.8969,,
Glutathione metabolism,23,57.5,0.8919,,
Endometrial cancer,19,55.88,0.8989,,
Survival motor neuron (SMN) complex,7,87.5,0.9276,,
Fat digestion and absorption,12,100,0.9565,,
Huntington disease,110,68.32,0.9554,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,0.9662,,
Selenocompound metabolism,11,100,0.9622,,
Longevity regulating pathway,13,23.64,0.9612,,
Central carbon metabolism in cancer,20,47.62,0.99,,
Colorectal cancer,29,51.79,0.9963,,
Arachidonic acid metabolism,7,30.43,1,,
Hepatitis C,64,78.05,1,,
"Proteasome, 20S core particle",9,100,1,,
Acute myeloid leukemia,25,62.5,1,,
Immunoproteasome,14,100,1,,
NF-kappa B signaling pathway,16,30.19,1,,
FoxO signaling pathway,41,53.95,1,,
Hippo signaling pathway,44,51.16,1,,
Breast cancer,53,73.61,1,,
Glycolysis / Gluconeogenesis,13,41.94,1,,
Basal cell carcinoma,14,58.33,1,,
Antigen processing and presentation,11,45.83,1,,
Necroptosis,31,40.79,1,,
Prostate cancer,52,86.67,1,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,1,,
Pantothenate and CoA biosynthesis,11,100,1,,
Parkinson's disease,21,28,1,,
Histidine metabolism,11,100,1,,
Aldosterone-regulated sodium reabsorption,7,35,1,,
Sphingolipid signaling pathway,10,12.66,1,,
ErbB signaling pathway,21,41.18,1,,
Folate biosynthesis,11,100,1,,
Biosynthesis of cofactors,42,58.33,1,,
Arginine biosynthesis,9,100,1,,
N-glycan precursor biosynthesis,4,57.14,1,,
"Glycolysis, core module involving three-carbon compounds",2,33.33,1,,
Spinocerebellar ataxia,48,59.26,1,,
Mitophagy - animal,15,34.88,1,,
RIG-I-like receptor signaling pathway,9,29.03,1,,
Synaptic vesicle cycle,2,7.69,1,,
Estrogen signaling pathway,36,56.25,1,,
Gastric cancer,55,76.39,1,,
Thiamine metabolism,7,100,1,,
Leishmaniasis,32,100,1,,
Fluid shear stress and atherosclerosis,21,25.3,1,,
Nicotine addiction,5,100,1,,
Hippo signaling,12,100,1,,
Choline metabolism in cancer,7,12.07,1,,
Cortisol synthesis and secretion,6,21.43,1,,
JAK-STAT signaling pathway,27,45,1,,
Jak-STAT signaling pathway,27,47.37,1,,
Neuroactive ligand-receptor interaction,48,100,1,,
Chronic myeloid leukemia,41,75.93,1,,
Lipid and atherosclerosis,46,46.46,1,,
Hippo signaling pathway -multiple species,17,100,1,,
Hippo signaling pathway - multiple species,17,100,1,,
Protein processing in endoplasmic reticulum,14,15.56,0.9966,,
Th17 cell differentiation,20,40.82,0.9909,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",1,16.67,NA,,
Vitamin digestion and absorption,1,10,NA,,
