pathway,nums,percent,pvalue,,
Spliceosome,97,95.1,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,49,87.5,0,,
Ribosome,86,86,0,,
RNA polymerase,17,77.27,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
Polycomb repressive complex,61,96.83,0,,
Base excision repair,30,90.91,0,,
"Ribosome, eukaryotes",63,95.45,0,,
Mismatch repair,22,100,0,,
Nuclear pore complex,25,83.33,0,,
RNA transport,109,94.78,0,,
Coronavirus disease - COVID-19,91,77.78,0,,
Homologous recombination,29,93.55,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
mRNA surveillance pathway,59,88.06,0,,
Nucleocytoplasmic transport,79,95.18,0,,
BRCA1-associated genome surveillance complex (BASC),14,93.33,0,,
RNA degradation,32,69.57,0.0001,,
Cell cycle,128,98.46,0.0001,,
Fanconi anemia pathway,27,84.38,0.0001,,
Nucleotide excision repair,35,83.33,0.0002,,
"RNA polymerase II, eukaryotes",6,100,0.0003,,
"Spliceosome, U1-snRNP",8,88.89,0.0005,,
Sm core complex,7,100,0.0005,,
"RNA polymerase I, eukaryotes",7,100,0.0005,,
Herpes simplex infection,85,90.43,0.0006,,
Proteasome,17,56.67,0.0013,,
"RNA polymerase III, eukaryotes",10,90.91,0.0013,,
MCM complex,6,100,0.0013,,
Cytochrome bc1 complex,7,100,0.0017,,
Basal transcription factors,26,66.67,0.0025,,
Amyotrophic lateral sclerosis,148,76.68,0.0042,,
THC complex,5,100,0.0105,,
"Exosome, eukaryotes",6,100,0.0111,,
RF-C complex,5,100,0.0125,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0134,,
Adherens junction,14,21.54,0.0162,,
Pyrimidine metabolism,63,88.73,0.0163,,
Exon junction complex (EJC),12,75,0.016,,
DNA damage-induced cell cycle checkpoints,7,100,0.0166,,
Aminoacyl-tRNA biosynthesis,21,72.41,0.0163,,
Cytosolic DNA-sensing pathway,20,62.5,0.0184,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.0188,,
Cell cycle - G2/M transition,7,100,0.0235,,
FA core complex,6,100,0.0237,,
APC/C complex,4,33.33,0.0254,,
Non-homologous end-joining,6,100,0.0272,,
Huntington's disease,67,62.04,0.0294,,
Purine metabolism,89,92.71,0.0401,,
Systemic lupus erythematosus,7,58.33,0.0397,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0566,,
Oocyte meiosis,62,79.49,0.0636,,
One carbon pool by folate,9,69.23,0.0828,,
Parkinson's disease,30,40,0.0827,,
"Proteasome, 19S regulatory particle (PA700)",6,50,0.0869,,
Arrhythmogenic right ventricular cardiomyopathy,5,12.82,0.0857,,
Wnt signaling,5,38.46,0.0846,,
"Proteasome, 20S core particle",9,100,0.0856,,
"Alanine, aspartate and glutamate metabolism",10,43.48,0.0983,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),5,13.16,0.0971,,
Shelterin complex,5,100,0.1058,,
Endometrial cancer,9,26.47,0.1374,,
2-Oxocarboxylic acid metabolism,20,100,0.1422,,
Cholesterol metabolism,4,21.05,0.1402,,
Sulfur metabolism,3,33.33,0.1459,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1577,,
Pyruvate metabolism,29,100,0.1685,,
Antifolate resistance,10,66.67,0.1703,,
Thyroid cancer,8,38.1,0.1714,,
Nitrogen metabolism,6,100,0.1734,,
Chemical carcinogenesis - reactive oxygen species,35,28.69,0.2069,,
African trypanosomiasis,2,14.29,0.2162,,
Viral life cycle - HIV-1,22,64.71,0.2206,,
"F-type ATPase, eukaryotes",2,33.33,0.22,,
TREX complex,8,100,0.2252,,
Glyoxylate and dicarboxylate metabolism,11,55,0.2272,,
Glycolysis / Gluconeogenesis,31,100,0.2535,,
Progesterone-mediated oocyte maturation,53,79.1,0.2568,,
Phenylalanine metabolism,10,100,0.2666,,
Central carbon metabolism in cancer,7,16.67,0.2791,,
Tyrosine metabolism,17,100,0.3078,,
Origin recognition complex,6,100,0.3245,,
Citrate cycle (TCA cycle),21,100,0.3239,,
Glucagon signaling pathway,13,25.49,0.3229,,
Methionine degradation,4,66.67,0.3276,,
Cortisol synthesis and secretion,7,25,0.3254,,
Cysteine and methionine metabolism,18,64.29,0.3221,,
Huntington disease,110,68.32,0.3281,,
Immunoproteasome,14,100,0.3325,,
NOD-like receptor signaling pathway,22,23.16,0.3411,,
Transcriptional misregulation in cancer,73,79.35,0.3434,,
Diabetic cardiomyopathy,49,43.75,0.3417,,
eIF4F complex,7,100,0.3558,,
Longevity regulating pathway - multiple species,9,23.08,0.3702,,
Triacylglycerol biosynthesis,9,100,0.3724,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.3881,,
Bladder cancer,16,66.67,0.4129,,
Arginine and proline metabolism,6,22.22,0.4184,,
Chemical carcinogenesis - receptor activation,62,60.78,0.4144,,
Parkinson disease,79,55.63,0.4313,,
NF-kappa B signaling pathway,15,28.3,0.4453,,
Primary immunodeficiency,5,71.43,0.492,,
Hippo signaling pathway,32,37.21,0.4981,,
"C1-unit interconversion, eukaryotes",5,83.33,0.4979,,
Inositol phosphate metabolism,21,45.65,0.495,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.5086,,
BER complex,8,100,0.5239,,
Lipoic acid metabolism,11,100,0.5412,,
Oxidative phosphorylation,28,40.58,0.5375,,
Tight junction,21,21.65,0.5355,,
Thyroid hormone signaling pathway,32,43.84,0.545,,
Drug metabolism - other enzymes,24,60,0.5489,,
Survival motor neuron (SMN) complex,7,87.5,0.5537,,
Breast cancer,53,73.61,0.5569,,
Notch signaling pathway,17,51.52,0.5723,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.5872,,
Signaling pathways regulating pluripotency of stem cells,58,73.42,0.596,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.6004,,
Selenocompound metabolism,11,100,0.5996,,
Amyotrophic lateral sclerosis (ALS),17,54.84,0.6116,,
Glutathione metabolism,21,52.5,0.6586,,
Staphylococcus aureus infection,8,57.14,0.6927,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.704,,
Metabolic pathways,512,88.43,0.7012,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.7086,,
Methionine salvage pathway,5,100,0.7054,,
IL-17 signaling pathway,12,30,0.7097,,
Carbon metabolism,38,55.88,0.7189,,
Nucleotide metabolism,38,80.85,0.7157,,
beta-Alanine metabolism,19,100,0.7413,,
Mitophagy - animal,17,39.53,0.7457,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.7579,,
Activin signaling,6,100,0.7541,,
Phosphatidylinositol signaling system,25,43.86,0.7486,,
Thermogenesis,73,62.39,0.7674,,
"Glycine, serine and threonine metabolism",13,65,0.773,,
Platinum drug resistance,31,53.45,0.7833,,
Cell adhesion molecules,15,34.09,0.7796,,
Neutrophil extracellular trap formation,31,54.39,0.78,,
Cell adhesion molecules (CAMs),14,34.15,0.7759,,
Colorectal cancer,29,51.79,0.7757,,
FoxO signaling pathway,42,55.26,0.787,,
Biosynthesis of amino acids,25,59.52,0.7886,,
Hepatocellular carcinoma,75,74.26,0.7987,,
Hepatitis C,65,79.27,0.7966,,
Basal cell carcinoma,13,54.17,0.7986,,
Spinocerebellar ataxia,46,56.79,0.804,,
Gastric cancer,54,75,0.8223,,
HTLV-I infection,133,88.67,0.8239,,
Prostate cancer,51,85,0.8319,,
Sphingolipid signaling pathway,10,12.66,0.8373,,
Cell cycle - G1/S transition,11,91.67,0.8633,,
Phagosome,12,21.43,0.8714,,
Fructose and mannose metabolism,18,100,0.9117,,
RIG-I-like receptor signaling pathway,31,100,0.9243,,
Chronic myeloid leukemia,41,75.93,0.9273,,
Peroxisome,8,20,0.9583,,
Amphetamine addiction,18,50,0.9527,,
Acute myeloid leukemia,40,100,0.9564,,
Folate biosynthesis,11,100,0.9575,,
Arachidonic acid metabolism,7,30.43,0.9542,,
Antigen processing and presentation,15,62.5,0.9512,,
AMPK signaling pathway,17,25.37,0.9498,,
Insulin signaling pathway,12,16.67,0.9582,,
Herpes simplex virus 1 infection,127,84.11,0.9641,,
ATP-dependent chromatin remodeling,61,88.41,0.9667,,
Histidine metabolism,11,100,0.9774,,
Cytochrome c oxidase,14,100,0.9753,,
Necroptosis,31,40.79,0.9725,,
Alcoholic liver disease,15,21.13,0.9691,,
Arginine biosynthesis,9,100,0.9755,,
Ubiquitin mediated proteolysis,69,78.41,0.9783,,
Fat digestion and absorption,12,100,0.9729,,
Fluid shear stress and atherosclerosis,22,26.51,0.9681,,
Glycerolipid metabolism,25,100,0.9676,,
N-glycan precursor biosynthesis,4,57.14,0.9644,,
ErbB signaling pathway,21,41.18,0.9737,,
Synaptic vesicle cycle,2,7.69,0.9732,,
Retinol metabolism,2,20,0.9703,,
Propanoate metabolism,24,100,0.973,,
Choline metabolism in cancer,6,10.34,0.9725,,
Thiamine metabolism,7,100,0.9784,,
Leishmaniasis,32,100,0.9737,,
Estrogen signaling pathway,38,59.38,0.9751,,
Lipid and atherosclerosis,47,47.47,0.9791,,
Hippo signaling,12,100,1,,
JAK-STAT signaling pathway,28,46.67,1,,
Jak-STAT signaling pathway,28,49.12,0.9984,,
Th17 cell differentiation,21,42.86,0.9964,,
Vitamin digestion and absorption,1,10,NA,,
