pathway,nums,percent,pvalue,,
Ribosome,85,85,0,,
"Ribosome, eukaryotes",59,89.39,0,,
Spliceosome,95,93.14,0,,
Coronavirus disease - COVID-19,86,73.5,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,48,85.71,0,,
Nuclear pore complex,23,76.67,0,,
Base excision repair,29,87.88,0,,
Mismatch repair,22,100,0,,
Cell cycle,124,95.38,0,,
RNA polymerase,14,63.64,0,,
mRNA surveillance pathway,57,85.07,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",18,85.71,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Homologous recombination,28,90.32,0,,
"Spliceosome, 35S U5-snRNP",22,84.62,0,,
RNA transport,109,94.78,0,,
RNA degradation,25,54.35,0,,
BRCA1-associated genome surveillance complex (BASC),14,93.33,0,,
Polycomb repressive complex,60,95.24,0,,
Herpes simplex infection,77,81.91,0,,
Nucleotide excision repair,34,80.95,0,,
Nucleocytoplasmic transport,76,91.57,0,,
"RNA polymerase II, eukaryotes",6,100,0.0002,,
"Spliceosome, U1-snRNP",8,88.89,0.0003,,
Sm core complex,7,100,0.0011,,
"RNA polymerase I, eukaryotes",7,100,0.0038,,
MCM complex,6,100,0.0041,,
Mitophagy - animal,12,27.91,0.0041,,
Fanconi anemia pathway,26,81.25,0.0071,,
Exon junction complex (EJC),12,75,0.0077,,
RF-C complex,5,100,0.0076,,
Basal transcription factors,24,61.54,0.0095,,
Cytosolic DNA-sensing pathway,10,31.25,0.0117,,
Oocyte meiosis,60,76.92,0.0122,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0127,,
Pyrimidine metabolism,63,88.73,0.0142,,
Amyotrophic lateral sclerosis,139,72.02,0.0192,,
"RNA polymerase III, eukaryotes",11,100,0.0193,,
FA core complex,6,100,0.0206,,
Antifolate resistance,10,66.67,0.022,,
Cell cycle - G2/M transition,7,100,0.0241,,
DNA damage-induced cell cycle checkpoints,7,100,0.0267,,
Non-homologous end-joining,6,100,0.0328,,
"Exosome, eukaryotes",6,100,0.0347,,
Systemic lupus erythematosus,6,50,0.0516,,
"Alanine, aspartate and glutamate metabolism",9,39.13,0.0599,,
Longevity regulating pathway,12,21.82,0.0618,,
Colorectal cancer,14,25,0.0681,,
Glycolysis / Gluconeogenesis,31,100,0.071,,
Adherens junction,8,12.31,0.079,,
Hippo signaling pathway,12,13.95,0.0823,,
One carbon pool by folate,10,76.92,0.0898,,
Purine metabolism,84,87.5,0.0922,,
Nitrogen metabolism,6,100,0.0973,,
Hepatitis C,36,43.9,0.0982,,
Shelterin complex,5,100,0.1037,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.1023,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.1018,,
Endometrial cancer,7,20.59,0.1131,,
Citrate cycle (TCA cycle),21,100,0.1162,,
Pyruvate metabolism,29,100,0.1163,,
Parkinson's disease,21,28,0.1281,,
Chemical carcinogenesis - reactive oxygen species,18,14.75,0.132,,
Methionine salvage pathway,3,60,0.1446,,
Amyotrophic lateral sclerosis (ALS),9,29.03,0.1456,,
Aminoacyl-tRNA biosynthesis,19,65.52,0.1496,,
Parkinson disease,62,43.66,0.1479,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",16,64,0.1513,,
Viral life cycle - HIV-1,21,61.76,0.1585,,
Huntington's disease,59,54.63,0.1593,,
Progesterone-mediated oocyte maturation,53,79.1,0.1657,,
Arginine and proline metabolism,9,33.33,0.1656,,
Thyroid cancer,6,28.57,0.1682,,
Breast cancer,31,43.06,0.17,,
African trypanosomiasis,2,14.29,0.1939,,
Drug metabolism - cytochrome P450,23,100,0.2035,,
Proteasome,17,56.67,0.2177,,
Cytochrome bc1 complex,7,100,0.2363,,
TREX complex,8,100,0.2371,,
Tyrosine metabolism,17,100,0.2348,,
Transcriptional misregulation in cancer,70,76.09,0.2635,,
