pathway,nums,percent,pvalue,,
Spliceosome,97,95.1,0,,
DNA replication,33,100,0,,
Ribosome,86,86,0,,
"Ribosome, eukaryotes",63,95.45,0,,
Ribosome biogenesis in eukaryotes,49,87.5,0,,
Coronavirus disease - COVID-19,91,77.78,0,,
Mismatch repair,22,100,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",17,80.95,0,,
Fanconi anemia pathway,27,84.38,0,,
Homologous recombination,29,93.55,0,,
Nuclear pore complex,26,86.67,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
mRNA surveillance pathway,59,88.06,0,,
"Spliceosome, 35S U5-snRNP",20,76.92,0,,
BRCA1-associated genome surveillance complex (BASC),14,93.33,0,,
RNA polymerase,17,77.27,0,,
Nucleocytoplasmic transport,79,95.18,0,,
RNA transport,109,94.78,0.0001,,
Pyrimidine metabolism,63,88.73,0.0002,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",17,68,0.0002,,
Aminoacyl-tRNA biosynthesis,20,68.97,0.0003,,
RNA degradation,32,69.57,0.0003,,
Origin recognition complex,6,100,0.0006,,
"Spliceosome, U1-snRNP",8,88.89,0.0007,,
MCM complex,6,100,0.0023,,
Sm core complex,7,100,0.0024,,
Basal transcription factors,28,71.79,0.0027,,
Nucleotide excision repair,36,85.71,0.0057,,
Polycomb repressive complex,61,96.83,0.0059,,
Cell cycle - G2/M transition,7,100,0.0068,,
Exon junction complex (EJC),12,75,0.0088,,
"RNA polymerase II, eukaryotes",6,100,0.0102,,
Cell cycle,128,98.46,0.0115,,
Proteasome,18,60,0.0127,,
FA core complex,6,100,0.014,,
"RNA polymerase III, eukaryotes",10,90.91,0.0149,,
DNA damage-induced cell cycle checkpoints,7,100,0.0152,,
RF-C complex,5,100,0.0159,,
Purine metabolism,89,92.71,0.0162,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0179,,
"RNA polymerase I, eukaryotes",7,100,0.0273,,
"Exosome, eukaryotes",6,100,0.0433,,
"Alanine, aspartate and glutamate metabolism",10,43.48,0.044,,
Biosynthesis of amino acids,26,61.9,0.0529,,
Non-homologous end-joining,6,100,0.0616,,
One carbon pool by folate,10,76.92,0.074,,
Methionine salvage pathway,3,60,0.0728,,
Systemic lupus erythematosus,7,58.33,0.0817,,
Cytosolic DNA-sensing pathway,20,62.5,0.0883,,
Herpes simplex infection,85,90.43,0.0994,,
Cysteine and methionine metabolism,23,82.14,0.0991,,
Arginine and proline metabolism,9,33.33,0.114,,
Shelterin complex,5,100,0.14,,
Cholesterol metabolism,4,21.05,0.1695,,
Lipoic acid metabolism,11,100,0.1684,,
Tyrosine metabolism,17,100,0.2122,,
Methionine degradation,4,66.67,0.2172,,
African trypanosomiasis,2,14.29,0.221,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",5,45.45,0.2181,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.2249,,
"F-type ATPase, eukaryotes",2,33.33,0.2264,,
Progesterone-mediated oocyte maturation,53,79.1,0.2457,,
Primary immunodeficiency,5,71.43,0.2567,,
2-Oxocarboxylic acid metabolism,20,100,0.2545,,
Drug metabolism - other enzymes,25,62.5,0.2609,,
Phenylalanine metabolism,10,100,0.2597,,
Triacylglycerol biosynthesis,9,100,0.2564,,
Nitrogen metabolism,6,100,0.286,,
Antifolate resistance,11,73.33,0.2959,,
"C1-unit interconversion, eukaryotes",5,83.33,0.324,,
beta-Alanine metabolism,3,15.79,0.3205,,
Longevity regulating pathway - multiple species,9,23.08,0.3165,,
Wnt signaling,6,46.15,0.3229,,
NOD-like receptor signaling pathway,19,20,0.3284,,
TREX complex,8,100,0.3454,,
"Glycine, serine and threonine metabolism",13,65,0.371,,
Glycolysis / Gluconeogenesis,13,41.94,0.3905,,
Amyotrophic lateral sclerosis,139,72.02,0.3891,,
Vitamin B6 metabolism,5,100,0.406,,
Oocyte meiosis,61,78.21,0.4207,,
Staphylococcus aureus infection,8,57.14,0.4195,,
Cytochrome bc1 complex,7,100,0.4405,,
Fructose and mannose metabolism,18,100,0.4432,,
Viral life cycle - HIV-1,22,64.71,0.4548,,
Nucleotide metabolism,38,80.85,0.4496,,
"Proteasome, 20S core particle",9,100,0.4594,,
Thyroid cancer,9,42.86,0.4626,,
Metabolic pathways,515,88.95,0.4605,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.494,,
Glycerolipid metabolism,13,52,0.4955,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.5016,,
Notch signaling pathway,17,51.52,0.5232,,
Immunoproteasome,14,100,0.5225,,
Huntington's disease,67,62.04,0.5292,,
"Proteasome, 19S regulatory particle (PA700)",6,50,0.5456,,
Chemical carcinogenesis - receptor activation,63,61.76,0.5559,,
Inositol phosphate metabolism,19,41.3,0.5957,,
Cell adhesion molecules (CAMs),14,34.15,0.599,,
"Gluconeogenesis, oxaloacetate => fructose-6P",3,37.5,0.5969,,
Th17 cell differentiation,49,100,0.6159,,
Thyroid hormone signaling pathway,32,43.84,0.6133,,
BER complex,8,100,0.6442,,
Glutathione metabolism,24,60,0.6387,,
Cell adhesion molecules,15,34.09,0.6375,,
Glyoxylate and dicarboxylate metabolism,10,50,0.6366,,
Drug metabolism - cytochrome P450,23,100,0.6694,,
Arginine biosynthesis,9,100,0.6957,,
Signaling pathways regulating pluripotency of stem cells,59,74.68,0.7006,,
Transcriptional misregulation in cancer,77,83.7,0.7431,,
Carbon metabolism,39,57.35,0.7779,,
Histidine metabolism,11,100,0.7825,,
Pentose phosphate pathway,13,100,0.8186,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.8525,,
Citrate cycle (TCA cycle),21,100,0.8521,,
Pantothenate and CoA biosynthesis,11,100,0.845,,
IL-17 signaling pathway,12,30,0.8386,,
Neutrophil extracellular trap formation,31,54.39,0.8588,,
Chemical carcinogenesis - reactive oxygen species,35,28.69,0.8529,,
Selenocompound metabolism,11,100,0.9443,,
Metabolism of xenobiotics by cytochrome P450,26,100,0.9757,,
Central carbon metabolism in cancer,20,47.62,0.9732,,
Huntington disease,113,70.19,0.9668,,
Colorectal cancer,29,51.79,0.9622,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.9628,,
Endometrial cancer,18,52.94,0.9619,,
FoxO signaling pathway,41,53.95,0.9625,,
Arachidonic acid metabolism,6,26.09,0.9619,,
Acute myeloid leukemia,23,57.5,0.9549,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9583,,
Folate biosynthesis,11,100,0.9632,,
Longevity regulating pathway,13,23.64,0.9725,,
Hippo signaling pathway,44,51.16,0.991,,
APC/C complex,12,100,0.9925,,
Biosynthesis of cofactors,42,58.33,0.9877,,
Necroptosis,29,38.16,0.9839,,
Parkinson's disease,23,30.67,0.9789,,
Antigen processing and presentation,11,45.83,0.9904,,
Holo-TFIIH complex,3,30,0.9893,,
Bladder cancer,16,66.67,1,,
NF-kappa B signaling pathway,16,30.19,0.9982,,
Ubiquitin mediated proteolysis,68,77.27,0.9998,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,1,,
Survival motor neuron (SMN) complex,7,87.5,1,,
Oxidative phosphorylation,19,27.54,0.996,,
ErbB signaling pathway,20,39.22,1,,
Fat digestion and absorption,12,100,1,,
Hepatitis C,63,76.83,1,,
"Glycolysis, core module involving three-carbon compounds",2,33.33,1,,
Basal cell carcinoma,12,50,0.9982,,
Riboflavin metabolism,6,100,0.9958,,
Prostate cancer,52,86.67,1,,
Thiamine metabolism,7,100,1,,
Chemical carcinogenesis - DNA adducts,20,100,0.9954,,
Breast cancer,53,73.61,0.9915,,
N-glycan precursor biosynthesis,4,57.14,0.9996,,
Fluid shear stress and atherosclerosis,22,26.51,0.9983,,
Gastric cancer,54,75,0.9981,,
Synaptic vesicle cycle,3,11.54,0.9969,,
Jak-STAT signaling pathway,25,43.86,0.996,,
JAK-STAT signaling pathway,25,41.67,0.9922,,
Neuroactive ligand-receptor interaction,48,100,0.9893,,
Lipid and atherosclerosis,46,46.46,0.9905,,
