pathway,tf,percent,,,
"Ribosome, eukaryotes",69,100,0,,
Cytokine-cytokine receptor interaction,159,96.95,0,,
Coronavirus disease - COVID-19,157,98.74,0,,
Chemokine signaling pathway,133,99.25,0,,
Lipid and atherosclerosis,138,97.18,0,,
Tuberculosis,116,97.48,0,,
IL-17 signaling pathway,58,98.31,0,,
TNF signaling pathway,80,98.77,0,,
NF-kappa B signaling pathway,75,100,0,,
Pathways in cancer,377,98.43,0,,
Salmonella infection,180,99.45,0,,
Viral protein interaction with cytokine and cytokine receptor,48,97.96,0,,
Osteoclast differentiation,93,96.88,0,,
Toll-like receptor signaling pathway,65,98.48,0,,
Yersinia infection,106,99.07,0,,
Kaposi sarcoma-associated herpesvirus infection,132,97.78,0,,
JAK-STAT signaling pathway,95,95.96,0,,
Leukocyte transendothelial migration,86,100,0.0001,,
MAPK signaling pathway,178,97.8,0.0001,,
C-type lectin receptor signaling pathway,79,98.75,0.0001,,
Staphylococcus aureus infection,47,95.92,0.0001,,
Chagas disease (American trypanosomiasis),78,98.73,0.0001,,
Jak-STAT signaling pathway,90,96.77,0.0001,,
mmuK signaling pathway,208,97.65,0.0001,,
Chagas disease,77,98.72,0.0001,,
Ribosome biogenesis in eukaryotes,58,96.67,0.0001,,
Measles,93,100,0.0001,,
Hippo signaling pathway,106,98.15,0.0001,,
Hippo signaling pathway -multiple species,15,75,0.0001,,
Hippo signaling pathway - multiple species,15,75,0.0001,,
Alcoholic liver disease,95,98.96,0.0002,,
Neutrophil extracellular trap formation,87,96.67,0.0002,,
Fc gamma R-mediated phagocytosis,76,100,0.0002,,
Transcriptional misregulation in cancer,125,99.21,0.0002,,
Leishmaniasis,56,98.25,0.0003,,
Human cytomegalovirus infection,168,99.41,0.0004,,
Apoptosis,96,100,0.0004,,
Epstein-Barr virus infection,143,99.31,0.0004,,
Hepatitis B,123,99.19,0.0005,,
Legionellosis,39,92.86,0.0005,,
HTLV-I infection,197,98.01,0.0006,,
NOD-like receptor signaling pathway,120,100,0.0006,,
PI3K-Akt signaling pathway,242,97.98,0.0009,,
Phagosome,96,98.97,0.0011,,
Amoebiasis,71,97.26,0.0012,,
Malaria,29,93.55,0.0018,,
Pertussis,51,100,0.0018,,
