pathway,tf,percent,,,
Apoptosis,89,92.71,0,,
Autophagy - animal,79,72.48,0,,
Axon guidance,133,92.36,0,,
B cell receptor signaling pathway,54,88.52,0,,
Basal transcription factors,34,89.47,0,,
Cell adhesion molecules (CAMs),91,97.85,0,,
Cell cycle,127,95.49,0,,
Chagas disease (American trypanosomiasis),69,87.34,0,,
Chemokine signaling pathway,130,97.01,0,,
Cytokine-cytokine receptor interaction,157,95.73,0,,
Cytosolic DNA-sensing pathway,41,97.62,0,,
DNA replication,32,96.97,0,,
Endocytosis,173,91.53,0,,
Estrogen signaling pathway,79,86.81,0,,
Fc gamma R-mediated phagocytosis,74,97.37,0,,
Focal adhesion,155,99.36,0,,
Herpes simplex infection,127,97.69,0,,
Hippo signaling pathway,100,92.59,0,,
HTLV-I infection,185,92.04,0,,
IL-17 signaling pathway,52,88.14,0,,
Inflammatory bowel disease (IBD),38,95,0,,
Jak-STAT signaling pathway,84,90.32,0,,
Leukocyte transendothelial migration,85,98.84,0,,
Lysosome,71,93.42,0,,
MAPK signaling pathway,173,95.05,0,,
Metabolic pathways,768,95.88,0,,
mRNA surveillance pathway,64,87.67,0,,
mTOR signaling pathway,79,79,0,,
Natural killer cell mediated cytotoxicity,62,84.93,0,,
Neurotrophin signaling pathway,85,93.41,0,,
NF-kappa B signaling pathway,71,94.67,0,,
NOD-like receptor signaling pathway,120,100,0,,
Nuclear pore complex,27,84.38,0,,
Nucleotide excision repair,41,91.11,0,,
Oocyte meiosis,73,76.84,0,,
Osteoclast differentiation,83,86.46,0,,
Phagosome,93,95.88,0,,
Phospholipase D signaling pathway,98,90.74,0,,
PI3K-Akt signaling pathway,242,97.98,0,,
Protein processing in endoplasmic reticulum,91,91,0,,
Pyrimidine metabolism,79,96.34,0,,
Rap1 signaling pathway,156,95.71,0,,
Ras signaling pathway,154,94.48,0,,
Regulation of actin cytoskeleton,166,96.51,0,,
Ribosome,89,86.41,0,,
Ribosome biogenesis in eukaryotes,56,93.33,0,,
"Ribosome, eukaryotes",65,94.2,0,,
RNA transport,112,89.6,0,,
Sphingolipid signaling pathway,87,93.55,0,,
Spliceosome,98,95.15,0,,
T cell receptor signaling pathway,79,81.44,0,,
TGF-beta signaling pathway,76,89.41,0,,
Th1 and Th2 cell differentiation,56,86.15,0,,
Th17 cell differentiation,77,92.77,0,,
Tight junction,112,89.6,0,,
TNF signaling pathway,71,87.65,0,,
Toll-like receptor signaling pathway,60,90.91,0,,
Ubiquitin mediated proteolysis,79,84.04,0,,
Wnt signaling pathway,102,91.07,0,,
Nucleocytoplasmic transport,79,88.76,0,,
ATP-dependent chromatin remodeling,54,75,0,,
Polycomb repressive complex,52,76.47,0,,
mmuK signaling pathway,202,94.84,0,,
JAK-STAT signaling pathway,89,89.9,0,,
Cell adhesion molecules,100,97.09,0,,
Efferocytosis,93,86.11,0,,
Necroptosis,79,85.87,0,,
Cellular senescence,112,89.6,0,,
Neutrophil extracellular trap formation,82,91.11,0,,
C-type lectin receptor signaling pathway,71,88.75,0,,
Relaxin signaling pathway,92,92.93,0,,
"Growth hormone synthesis, secretion and action",69,76.67,0,,
Pathways in cancer,371,96.87,0,,
Transcriptional misregulation in cancer,115,91.27,0,,
MicroRNAs in cancer,119,93.7,0,,
Proteoglycans in cancer,144,95.36,0,,
