pathway,tf,percent,,,
PI3K-Akt signaling pathway,242,97.98,0,,
Focal adhesion,155,99.36,0,,
Pathways in cancer,361,94.26,0,,
Protein digestion and absorption,64,90.14,0,,
Ras signaling pathway,138,84.66,0,,
Human papillomavirus infection,222,98.23,0,,
ECM-receptor interaction,60,98.36,0,,
Chemokine signaling pathway,117,87.31,0,,
mmuK signaling pathway,182,85.45,0,,
Endocytosis,173,91.53,0,,
Vascular smooth muscle contraction,63,65.62,0,,
cAMP signaling pathway,123,84.25,0,,
Regulation of actin cytoskeleton,158,91.86,0,,
Tuberculosis,101,84.87,0,,
Rap1 signaling pathway,143,87.73,0,,
Human cytomegalovirus infection,132,78.11,0,,
Cell adhesion molecules (CAMs),78,83.87,0,,
Toxoplasmosis,69,78.41,0,,
Platelet activation,70,74.47,0,,
Relaxin signaling pathway,92,92.93,0,,
Cell adhesion molecules,83,80.58,0,,
Yersinia infection,93,86.92,0,,
Apelin signaling pathway,93,83.78,0,,
MAPK signaling pathway,162,89.01,0,,
Intestinal immune network for IgA production,24,70.59,0,,
Lysosome,56,73.68,0.0001,,
Phagosome,86,88.66,0.0001,,
Osteoclast differentiation,76,79.17,0.0002,,
Amoebiasis,50,68.49,0.0003,,
Leukocyte transendothelial migration,79,91.86,0.0003,,
Lipid and atherosclerosis,116,81.69,0.0003,,
Human T-cell leukemia virus 1 infection,155,84.24,0.0003,,
AGE-RAGE signaling pathway in diabetic complications,76,93.83,0.0003,,
Hematopoietic cell lineage,47,71.21,0.0004,,
Neurotrophin signaling pathway,76,83.52,0.0004,,
Efferocytosis,75,69.44,0.0004,,
TNF signaling pathway,66,81.48,0.0007,,
HTLV-I infection,171,85.07,0.0007,,
Th1 and Th2 cell differentiation,47,72.31,0.0007,,
Bile secretion,14,24.14,0.0008,,
T cell receptor signaling pathway,76,78.35,0.001,,
Cell cycle,115,86.47,0.0012,,
Nuclear pore complex,27,84.38,0.0013,,
Salmonella infection,171,94.48,0.0013,,
Th17 cell differentiation,63,75.9,0.0014,,
Hippo signaling pathway,84,77.78,0.0016,,
Renin secretion,16,34.04,0.0016,,
Sphingolipid signaling pathway,73,78.49,0.0018,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),34,57.63,0.0018,,
Calcium signaling pathway,114,68.67,0.0019,,
IL-17 signaling pathway,52,88.14,0.002,,
Arrhythmogenic right ventricular cardiomyopathy,35,57.38,0.0021,,
Tight junction,111,88.8,0.002,,
Cushing syndrome,74,66.67,0.0022,,
Sphingolipid metabolism,10,37.04,0.0022,,
Inflammatory bowel disease,39,92.86,0.0022,,
Chagas disease,65,83.33,0.0027,,
Chagas disease (American trypanosomiasis),66,83.54,0.0028,,
GnRH signaling pathway,56,82.35,0.0044,,
Leishmaniasis,50,87.72,0.0047,,
C-type lectin receptor signaling pathway,62,77.5,0.0048,,
Rheumatoid arthritis,47,83.93,0.0052,,
Inflammatory bowel disease (IBD),38,95,0.0061,,
Axon guidance,120,83.33,0.0061,,
Hedgehog signaling pathway,22,57.89,0.0067,,
Proteoglycans in cancer,133,88.08,0.0069,,
Legionellosis,33,78.57,0.0074,,
Bacterial invasion of epithelial cells,42,76.36,0.0074,,
Gastric acid secretion,24,39.34,0.0076,,
NF-kappa B signaling pathway,57,76,0.0085,,
"Parathyroid hormone synthesis, secretion and action",55,73.33,0.0097,,
Fc gamma R-mediated phagocytosis,69,90.79,0.0099,,
Other glycan degradation,4,50,0.0113,,
Dilated cardiomyopathy,57,74.03,0.0118,,
Melanogenesis,46,60.53,0.0117,,
B cell receptor signaling pathway,52,85.25,0.0125,,
Serotonergic synapse,21,27.63,0.0127,,
Adipocytokine signaling pathway,39,69.64,0.0138,,
Hypertrophic cardiomyopathy,56,77.78,0.0142,,
Prostate cancer,52,70.27,0.0145,,
cAMP signaling,7,50,0.015,,
cGMP-PKG signaling pathway,94,72.31,0.0165,,
Cortisol synthesis and secretion,24,48,0.0188,,
Gap junction,48,75,0.0188,,
"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",4,80,0.0222,,
Small cell lung cancer,59,83.1,0.0239,,
Glutamatergic synapse,31,39.74,0.0242,,
Hypertrophic cardiomyopathy (HCM),52,76.47,0.0248,,
"Growth hormone synthesis, secretion and action",56,62.22,0.0248,,
Long-term depression,12,30,0.0248,,
Circadian entrainment,36,52.17,0.0258,,
Toll-like receptor signaling,11,91.67,0.0274,,
Dopaminergic synapse,58,58,0.0282,,
Pancreatic secretion,26,37.68,0.0303,,
Estrogen signaling pathway,74,81.32,0.0323,,
Alcoholism,35,43.75,0.032,,
Kaposi sarcoma-associated herpesvirus infection,106,78.52,0.0351,,
Oocyte meiosis,66,69.47,0.037,,
Aldosterone synthesis and secretion,42,56.76,0.0367,,
Thyroid hormone synthesis,36,65.45,0.039,,
Adherens junction,60,80,0.0398,,
Adrenergic signaling in cardiomyocytes,82,66.13,0.0407,,
Viral carcinogenesis,130,92.2,0.0422,,
Ubiquitin mediated proteolysis,72,76.6,0.0421,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,55,72.37,0.049,,
Toll-like receptor signaling pathway,56,84.85,0.0496,,
Vasopressin-regulated water reabsorption,21,67.74,0.0568,,
Viral protein interaction with cytokine and cytokine receptor,38,77.55,0.0568,,
Renal cell carcinoma,42,85.71,0.0571,,
Inositol phosphate metabolism,38,74.51,0.0637,,
Pertussis,40,78.43,0.0646,,
Diabetic cardiomyopathy,129,88.97,0.0648,,
Pentose phosphate pathway (Pentose phosphate cycle),5,62.5,0.0797,,
Progesterone-mediated oocyte maturation,56,70,0.0859,,
Breast cancer,69,70.41,0.0853,,
Measles,80,86.02,0.0997,,
Protein processing in endoplasmic reticulum,63,63,0.1106,,
Amphetamine addiction,24,42.86,0.112,,
"Alanine, aspartate and glutamate metabolism",15,45.45,0.1111,,
Herpes simplex virus 1 infection,216,85.04,0.1143,,
Viral myocarditis,33,67.35,0.1149,,
