pathway,tf,percent,,,
Apoptosis,89,92.71,0,,
Autophagy - animal,79,72.48,0,,
Cell cycle,127,95.49,0,,
Chemokine signaling pathway,130,97.01,0,,
Cytokine-cytokine receptor interaction,157,95.73,0,,
Endocytosis,173,91.53,0,,
Fc gamma R-mediated phagocytosis,74,97.37,0,,
Herpes simplex infection,127,97.69,0,,
HTLV-I infection,185,92.04,0,,
Leukocyte transendothelial migration,85,98.84,0,,
MAPK signaling pathway,171,93.96,0,,
mRNA surveillance pathway,64,87.67,0,,
Natural killer cell mediated cytotoxicity,62,84.93,0,,
Neurotrophin signaling pathway,85,93.41,0,,
NOD-like receptor signaling pathway,120,100,0,,
Nuclear pore complex,27,84.38,0,,
Osteoclast differentiation,83,86.46,0,,
Phagosome,93,95.88,0,,
PI3K-Akt signaling pathway,242,97.98,0,,
Protein processing in endoplasmic reticulum,91,91,0,,
Rap1 signaling pathway,156,95.71,0,,
Ras signaling pathway,154,94.48,0,,
Regulation of actin cytoskeleton,166,96.51,0,,
Ribosome,89,86.41,0,,
Ribosome biogenesis in eukaryotes,56,93.33,0,,
"Ribosome, eukaryotes",65,94.2,0,,
RNA transport,112,89.6,0,,
Sphingolipid signaling pathway,87,93.55,0,,
Spliceosome,98,95.15,0,,
T cell receptor signaling pathway,79,81.44,0,,
Ubiquitin mediated proteolysis,79,84.04,0,,
Nucleocytoplasmic transport,79,88.76,0,,
ATP-dependent chromatin remodeling,56,77.78,0,,
mmuK signaling pathway,200,93.9,0,,
Cellular senescence,112,89.6,0,,
C-type lectin receptor signaling pathway,71,88.75,0,,
Relaxin signaling pathway,91,91.92,0,,
Pathways in cancer,372,97.13,0,,
Transcriptional misregulation in cancer,116,92.06,0,,
MicroRNAs in cancer,119,93.7,0,,
Proteoglycans in cancer,142,94.04,0,,
Viral carcinogenesis,139,98.58,0,,
Pancreatic cancer,59,98.33,0,,
Chronic myeloid leukemia,49,84.48,0,,
Prostate cancer,65,87.84,0,,
Human T-cell leukemia virus 1 infection,169,91.85,0,,
Human immunodeficiency virus 1 infection,151,97.42,0,,
Hepatitis B,123,99.19,0,,
Hepatitis C,103,95.37,0,,
Coronavirus disease - COVID-19,156,98.11,0,,
Influenza A,97,91.51,0,,
Measles,91,97.85,0,,
Herpes simplex virus 1 infection,246,96.85,0,,
Human cytomegalovirus infection,168,99.41,0,,
Kaposi sarcoma-associated herpesvirus infection,124,91.85,0,,
Epstein-Barr virus infection,143,99.31,0,,
Human papillomavirus infection,222,98.23,0,,
Salmonella infection,177,97.79,0,,
Yersinia infection,97,90.65,0,,
Tuberculosis,114,95.8,0,,
Toxoplasmosis,80,90.91,0,,
Leishmaniasis,52,91.23,0,,
Lipid and atherosclerosis,136,95.77,0,,
Basal transcription factors,33,86.84,0,,
Alcoholism,57,71.25,0,,
B cell receptor signaling pathway,54,88.52,0,,
Focal adhesion,155,99.36,0,,
TNF signaling pathway,71,87.65,0,,
Tight junction,112,89.6,0,,
NF-kappa B signaling pathway,71,94.67,0,,
Platelet activation,78,82.98,0,,
Necroptosis,79,85.87,0,,
Bacterial invasion of epithelial cells,44,80,0,,
Neutrophil extracellular trap formation,82,91.11,0,,
Breast cancer,83,84.69,0,,
Colorectal cancer,54,84.38,0,,
JAK-STAT signaling pathway,89,89.9,0,,
Lysosome,71,93.42,0,,
