pathway,nums,percent,pvalue
JAK-STAT signaling,19,0.15789473684210525,0.037
Steroid hormone biosynthesis,96,0.46875,0.066
Metabolic pathways,1315,0.45171102661596957,0.088
Signaling pathways regulating pluripotency of stem cells,141,0.16312056737588654,0.128
Retinol metabolism,97,0.422680412371134,0.147
Drug metabolism - other enzymes,92,0.5869565217391305,0.159
Drug metabolism - cytochrome P450,72,0.4027777777777778,0.169
Chemical carcinogenesis - DNA adducts,84,0.5119047619047619,0.169
Hypertrophic cardiomyopathy (HCM),84,0.047619047619047616,0.207
Toll-like receptor signaling pathway,104,0.2980769230769231,0.208
Graft-versus-host disease,62,0.04838709677419355,0.208
Metabolism of xenobiotics by cytochrome P450,75,0.4533333333333333,0.211
Salmonella infection,253,0.2766798418972332,0.214
Tryptophan metabolism,54,0.6111111111111112,0.263
Lipid and atherosclerosis,216,0.26851851851851855,0.291
Circadian rhythm,37,0.08108108108108109,0.3
Chemical carcinogenesis - reactive oxygen species,223,0.38565022421524664,0.307
Neurotrophin signaling pathway,121,0.09917355371900827,0.314
NF-kappa B signaling pathway,114,0.23684210526315788,0.314
Hepatitis B,163,0.34355828220858897,0.331
Activin signaling,10,0.8,0.376
Hepatitis C,166,0.3433734939759036,0.38
Non-small cell lung cancer,72,0.1111111111111111,0.388
Bile secretion,100,0.47,0.389
Breast cancer,147,0.05442176870748299,0.392
Oxidative phosphorylation,151,0.16556291390728478,0.393
TGF-beta signaling pathway,112,0.30357142857142855,0.398
Tight junction,179,0.18994413407821228,0.401
RNA degradation,90,0.12222222222222222,0.402
Serotonergic synapse,133,0.3007518796992481,0.404
Influenza A,173,0.3236994219653179,0.407
mmuK signaling pathway,301,0.19269102990033224,0.408
ABC transporters,52,0.46153846153846156,0.422
Non-alcoholic fatty liver disease (NAFLD),151,0.3443708609271523,0.446
Glycolysis / Gluconeogenesis,70,0.2857142857142857,0.448
ECM-receptor interaction,89,0.0449438202247191,0.45
Non-alcoholic fatty liver disease,156,0.3717948717948718,0.453
Chagas disease,103,0.3300970873786408,0.457
Inflammatory bowel disease (IBD),59,0.1864406779661017,0.461
Measles,145,0.25517241379310346,0.461
RNA transport,167,0.17964071856287425,0.467
Alzheimer's disease,175,0.30857142857142855,0.469
Linoleic acid metabolism,50,0.34,0.47
Biosynthesis of cofactors,152,0.506578947368421,0.473
Parkinson's disease,144,0.1875,0.474
Axon guidance,183,0.06557377049180328,0.481
"Glycine, serine and threonine metabolism",40,0.65,0.481
Chronic myeloid leukemia,76,0.11842105263157894,0.491
Efferocytosis,155,0.17419354838709677,0.494
"Glycolysis, core module involving three-carbon compounds",13,0.23076923076923078,0.495
TNF signaling pathway,115,0.2608695652173913,0.498
Prostate cancer,99,0.04040404040404041,0.504
Arrhythmogenic right ventricular cardiomyopathy,77,0.05194805194805195,0.506
Cytochrome c oxidase,25,0.12,0.508
Ribosome biogenesis in eukaryotes,125,0.056,0.508
ATP-dependent chromatin remodeling,136,0.10294117647058823,0.511
Hippo signaling pathway - multiple species,27,0.1111111111111111,0.511
Chagas disease (American trypanosomiasis),101,0.297029702970297,0.513
Hippo signaling pathway -multiple species,26,0.11538461538461539,0.514
Relaxin signaling pathway,129,0.06976744186046512,0.514
