tf,p-value
Taf1,0.0
Klf4,0.0
Gmeb2,0.0
Thap11,0.0
Stat3,0.0
Rest,0.0
Tead2,0.0
Rarg,0.0
Etv6,0.0
Rfx1,0.0
Nr1H3,0.0
Znf490,0.0
Hinfp,0.0
Tal1,0.0
Gtf2F1,0.0
Pbx3,0.0
Yy1,0.0
Stat1,0.0
Nr2F6,0.0
Six2,0.0
Atf1,0.0
Atf4,0.0
Batf,0.0
Thap1,0.0
Ep300,0.0
Foxo4,0.0
Rbbp5,0.0
Relb,0.0
Etv5,0.0
E4F1,0.0
Nrf1,0.0
Creb3L2,0.0
Rela,0.0
Kdm5A,0.0
Nr2C2,0.0
Tead4,0.0
Tp73,0.0
Hivep3,0.0
Tfdp1,0.0
Fosl2,0.0
E2F8,0.0
Foxc1,0.0
Znf616,0.0
Foxo3,0.0
Gabpa,0.0
Elk3,0.0
Etv3,0.0
Elf4,0.0
Maz,0.0
Atf3,0.0
Stat2,0.0
Rfx5,0.0
Sp1,0.0
Cebpg,0.0
Rcor1,0.0
Mzf1,0.0
Elk4,0.0
Polr2A,0.0
Irf2,0.0
Tbp,0.0
Zfp62,0.0
Cebpd,0.0
Taf7,0.0
Hnf4G,0.0
Clock,0.0
Bcl6B,0.0
Mecom,0.0
Znf471,0.0
Fosl1,0.0
Srebf2,0.0
Znf143,0.0
Hlf,0.0
Nfe2L2,0.0
Elf1,0.0
Nfyc,0.0
Elf3,0.0
Ubtf,0.0
Setdb1,0.0001
Znf260,0.0001
Ctcf,0.0001
Cebpb,0.0001
Nfya,0.0001
Foxn3,0.0002
Hoxa5,0.0002
Elk1,0.0002
Hnf1B,0.0002
Hcfc1,0.0004
Xbp1,0.0006
E2F2,0.0006
Thra,0.0007
E2F7,0.0009
Znf580,0.0009
Six5,0.0009
Irf4,0.001
Irf9,0.0013
Vdr,0.0013
Onecut2,0.0016
Znf274,0.0019
Mafg,0.0023
Znf607,0.0032
Foxj3,0.005
Hoxb5,0.0052
Max,0.0054
Etv2,0.0057
Nr6A1,0.0065
Bcl3,0.0073
Smad5,0.0075
Myf6,0.0078
E2F1,0.0088
Nfkb1,0.0092
Ppara,0.0109
Cebpa,0.0119
Klf5,0.0129
Znf787,0.0133
Zscan12,0.0158
Nfil3,0.0175
Stat6,0.0178
Mecp2,0.0179
Ddit3,0.0181
Nr1I2,0.0211
Nr1D2,0.0229
Meis3,0.0238
Rb1,0.0265
Pax8,0.027
Znf35,0.027
Plagl1,0.0288
Zscan2,0.0318
Nr1H4,0.032
Znf791,0.0328
Nfkb2,0.0328
Hoxc13,0.0333
E2F6,0.0374
Tcf7L2,0.0394
Klf1,0.0397
Znf768,0.0445
Gata2,0.0462
Zbtb7B,0.0463
Mybl2,0.0473
Tfap4,0.0485
Crem,0.0486
Prdm16,0.0577
Wrnip1,0.0579
Gsc,0.0604
Cbx7,0.0612
Gata3,0.0659
Foxa1,0.0686
Jund,0.0725
Znf441,0.0734
Jun,0.0746
Gata1,0.0753
Znf740,0.0763
Brf2,0.079
Atf6,0.0798
Hoxc4,0.0807
Nr1I3,0.0826
Nucb1,0.0833
Ikzf2,0.0847
Tlx2,0.0898
Hnf4A,0.0957
Tgif1,0.0998
Pou2F1,0.1014
Arnt,0.1036
Hsf2,0.1036
Mlx,0.1117
Mesp1,0.1128
Tbx21,0.1129
Pitx1,0.1138
Klf16,0.1152
Nkx6-2,0.1167
Znf384,0.1231
Thrb,0.1263
Hoxa13,0.1282
Hoxa10,0.1369
Egr1,0.143
Rara,0.1443
Smarca4,0.1487
Zic2,0.1489
Gbx1,0.1514
Smad7,0.1559
Hnf1A,0.1583
Nfyb,0.1613
Gsx2,0.1639
Nelfe,0.1725
Tead3,0.1761
