tf,p-value
Tfdp1,0.0
Fosl2,0.0
Thap1,0.0
E2F8,0.0
Gmeb2,0.0
Srf,0.0
Cebpd,0.0
Stat5A,0.0
Crem,0.0
Stat3,0.0
Foxo3,0.0
Rarg,0.0
Mecom,0.0
Relb,0.0
Hnf4A,0.0
E2F7,0.0
Nrf1,0.0
Fosl1,0.0
Atf6,0.0
Stat2,0.0
Znf143,0.0
Cebpb,0.0
E2F2,0.0
Nfe2L2,0.0
Nfkb2,0.0
Klf16,0.0
Nr2F6,0.0
Elk4,0.0
Hcfc1,0.0
Creb5,0.0
Sp1,0.0001
Polr2A,0.0001
Irf4,0.0002
Elf4,0.0003
Prdm16,0.0003
Xbp1,0.0004
Znf76,0.0004
Gabpa,0.0005
Tgif1,0.0005
Tbx21,0.0006
Eomes,0.0006
Ubtf,0.0006
Zfp30,0.001
Znf557,0.001
Etv6,0.0012
Jund,0.0014
Thap11,0.0015
Esrra,0.0015
Cebpg,0.0017
Rela,0.0023
Bcl3,0.0025
Etv3,0.0031
Hivep3,0.0037
Zkscan1,0.0037
Junb,0.0037
Batf,0.0041
Tbp,0.0043
Gata6,0.0043
Jun,0.0054
Gata1,0.0056
Hlf,0.0062
Sp2,0.0069
Nr2C2,0.0076
Znf274,0.0087
Tcf7L2,0.0091
Nr6A1,0.0113
Mafg,0.0115
Tgif2,0.0129
Foxp2,0.0139
Znf770,0.017
Nfil3,0.0192
Glis2,0.0219
Mafk,0.023
Creb3,0.0233
Foxq1,0.0258
Yy1,0.0271
Znf471,0.0273
Nfyb,0.0281
Foxo1,0.0291
Rb1,0.0338
Smad5,0.0338
Irf1,0.0363
Klf5,0.0373
Sox6,0.0386
Hoxc10,0.0424
Hinfp,0.0432
Elk1,0.0468
Znf384,0.0554
Ppara,0.0554
Mixl1,0.057
Gtf2F1,0.057
Ddit3,0.0573
Taf1,0.0596
Nhlh1,0.0621
Znf768,0.0707
Elk3,0.0783
Znf791,0.0832
Ets2,0.0884
Kdm5A,0.0894
Foxa1,0.0933
Znf101,0.0977
Otx1,0.1002
Nfyc,0.1008
E4F1,0.1116
Smad9,0.1117
Creb3L2,0.1139
Gtf2Ird1,0.1195
E2F6,0.1203
Thra,0.123
Rxra,0.1232
Znf229,0.1341
Tfap4,0.142
Mybl2,0.1425
Zbtb7A,0.1455
Mlx,0.1537
Rora,0.1616
Rfx5,0.172
Hnf1B,0.1725
Stat1,0.1805
Rara,0.1828
Hic2,0.1829
Maz,0.1903
Klf7,0.1964
Gcm1,0.1965
Taf7,0.1975
Zic2,0.2012
Gata4,0.2181
Stat4,0.2289
Hoxa11,0.232
Mesp1,0.2463
Nfib,0.2516
Spib,0.2775
Nr1H3,0.2905
Hnf1A,0.2908
Hoxa3,0.291
Klf4,0.2924
Znf426,0.2969
Foxd1,0.2974
Hnf4G,0.3082
Tp53,0.3201
Nkx2-1,0.3223
Bcl6B,0.3263
Znf300,0.3282
Rarb,0.3296
Fosb,0.3298
Nucb1,0.3311
Hoxc11,0.3313
Znf136,0.3315
Nr1D2,0.3323
Pax8,0.3324
Znf778,0.3327
Osr2,0.3328
Cers6,0.3333
Lhx2,0.3335
Hoxa13,0.3343
Pparg,0.335
Arnt,0.3372
Rest,0.3377
Nkx6-2,0.3379
Isl2,0.3397
Nfatc3,0.3437
Znf787,0.3443
Atf3,0.3466
Znf23,0.3612
Foxc1,0.3672
Lhx5,0.3748
Irf9,0.3791
Hoxa10,0.3838
Tfap2A,0.3856
Mecp2,0.3872
Tcfl5,0.396
Mef2D,0.4001
Znf718,0.4004
Six5,0.4013
E2F1,0.4216
Tal1,0.4251
Rax2,0.4262
Rbbp5,0.4282
Srebf2,0.4352
Hand1,0.4359
Hoxa4,0.44
Lhx1,0.443
Wrnip1,0.449
Rfx1,0.4553
Pou2F1,0.4564
Prdm13,0.4653
Znf235,0.4662
Hoxa5,0.4754
Dlx2,0.477
Znf607,0.5005
Setdb1,0.5131
Npas2,0.5172
Cbx7,0.5331
Znf625,0.5411
Znf501,0.5434
Onecut2,0.5443
Cdx2,0.5642
Rcor1,0.5779
Clock,0.5869
Nr3C1,0.5927
Hoxb9,0.5931
Znf35,0.5965
Pax5,0.6117
Znf740,0.6238
Tead4,0.6246
Mzf1,0.6269
Etv4,0.6417
Atf4,0.6431
Mxi1,0.6602
Snapc4,0.6603
Rfx2,0.6621
Irf2,0.6628
Atf1,0.6635
Hoxc6,0.6638
Myog,0.6649
Znf358,0.6662
Stat6,0.667
Hdac1,0.6676
Tead2,0.6677
Smad7,0.6677
Sall2,0.6679
Faap24,0.6709
Tlx2,0.6713
Znf260,0.6716
Myf6,0.6716
Hoxc13,0.6721
Hoxc12,0.6724
Cux2,0.6736
Zbtb12,0.6741
Gata3,0.6817
Pbx3,0.7018
Six2,0.703
Klf1,0.7059
Tead1,0.7111
Znf219,0.7327
Nkx2-5,0.754
Zfp62,0.7662
Tcf7,0.7688
Tp73,0.7695
Elf3,0.7949
Cdx1,0.825
Ctcf,0.846
Gbx1,0.8506
Foxn3,0.8694
Smarca4,0.8852
Ep300,0.8959
Foxo4,0.9002
Pbx1,0.9084
Ctbp2,0.9122
Foxj3,0.9375
Gli2,0.9469
Zbtb7B,0.9512
Etv5,0.9524
Pou3F3,0.9672
Hoxc4,0.9674
Gata2,0.9718
Zscan12,0.9926
Klf17,1.0
Vdr,1.0
Tal2,1.0
Prkaa2,1.0
Six3,1.0
Cebpa,1.0
Cux1,1.0
Hes7,1.0
Elf1,1.0
Znf3,1.0
Myod1,1.0
