pathway,nums,percent,pvalue,,
Ribosome,75,75,0,,
"Ribosome, eukaryotes",59,89.39,0,,
Spliceosome,97,95.1,0,,
Coronavirus disease - COVID-19,94,80.34,0,,
DNA replication,33,100,0,,
Base excision repair,27,81.82,0,,
Ribosome biogenesis in eukaryotes,48,85.71,0,,
Nuclear pore complex,22,73.33,0,,
Mismatch repair,22,100,0,,
mRNA surveillance pathway,57,85.07,0,,
RNA degradation,26,56.52,0,,
Nucleocytoplasmic transport,74,89.16,0,,
Homologous recombination,28,90.32,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",17,80.95,0,,
"Spliceosome, U2-snRNP",17,89.47,0,,
Polycomb repressive complex,58,92.06,0,,
Cell cycle,127,97.69,0,,
"Spliceosome, 35S U5-snRNP",23,88.46,0,,
RNA transport,107,93.04,0.0001,,
RNA polymerase,12,54.55,0.0001,,
BRCA1-associated genome surveillance complex (BASC),15,100,0.0001,,
Herpes simplex infection,83,88.3,0.0001,,
Nucleotide excision repair,35,83.33,0.0002,,
"RNA polymerase II, eukaryotes",6,100,0.0003,,
"Spliceosome, U1-snRNP",8,88.89,0.0005,,
Sm core complex,7,100,0.0008,,
MCM complex,6,100,0.0026,,
Fanconi anemia pathway,24,75,0.0036,,
"RNA polymerase I, eukaryotes",7,100,0.0035,,
Exon junction complex (EJC),13,81.25,0.0044,,
RF-C complex,5,100,0.0069,,
Oocyte meiosis,62,79.49,0.0127,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0158,,
FA core complex,6,100,0.0185,,
Cell cycle - G2/M transition,7,100,0.032,,
DNA damage-induced cell cycle checkpoints,7,100,0.0377,,
Pyrimidine metabolism,61,85.92,0.0382,,
"RNA polymerase III, eukaryotes",6,54.55,0.0451,,
"Exosome, eukaryotes",6,100,0.0446,,
Non-homologous end-joining,6,100,0.0453,,
Basal transcription factors,32,82.05,0.0485,,
Antifolate resistance,11,73.33,0.0482,,
Glycolysis / Gluconeogenesis,14,45.16,0.0504,,
Systemic lupus erythematosus,6,50,0.0497,,
Amyotrophic lateral sclerosis,150,77.72,0.0597,,
Nitrogen metabolism,5,83.33,0.0861,,
Shelterin complex,5,100,0.1148,,
Purine metabolism,83,86.46,0.1156,,
One carbon pool by folate,10,76.92,0.1147,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.1129,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.1223,,
Citrate cycle (TCA cycle),21,100,0.1329,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1395,,
BMP signaling,7,63.64,0.188,,
Viral life cycle - HIV-1,23,67.65,0.1897,,
Progesterone-mediated oocyte maturation,55,82.09,0.224,,
Cytochrome bc1 complex,7,100,0.2559,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.2839,,
Tyrosine metabolism,17,100,0.2825,,
Origin recognition complex,6,100,0.2995,,
TREX complex,7,87.5,0.3197,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.3185,,
Transcriptional misregulation in cancer,77,83.7,0.3136,,
Phenylalanine metabolism,10,100,0.359,,
Chemical carcinogenesis - receptor activation,85,83.33,0.3666,,
Thyroid cancer,11,52.38,0.3788,,
Breast cancer,49,68.06,0.3805,,
Cell cycle - G1/S transition,10,83.33,0.4137,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.4239,,
Glyoxylate and dicarboxylate metabolism,20,100,0.4241,,
Bladder cancer,13,54.17,0.43,,
Drug metabolism - other enzymes,26,65,0.4374,,
Legionellosis,12,50,0.4385,,
Proximal tubule bicarbonate reclamation,8,57.14,0.4349,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.4388,,
Chemical carcinogenesis - reactive oxygen species,64,52.46,0.4679,,
Platinum drug resistance,40,68.97,0.4653,,
Glutathione metabolism,24,60,0.4833,,
Arginine and proline metabolism,6,22.22,0.4934,,
Parkinson disease,96,67.61,0.5258,,
Folate biosynthesis,11,100,0.5288,,
"Proteasome, 20S core particle",9,100,0.5449,,
Phosphatidylinositol signaling system,20,35.09,0.5576,,
Triacylglycerol biosynthesis,9,100,0.5855,,
Nucleotide metabolism,32,68.09,0.5819,,
