pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,53,94.64,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",20,95.24,0,,
Mismatch repair,22,100,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Homologous recombination,30,96.77,0,,
mRNA surveillance pathway,62,92.54,0,,
RNA degradation,39,84.78,0,,
Fanconi anemia pathway,28,87.5,0,,
Nucleocytoplasmic transport,81,97.59,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0.0001,,
RNA polymerase,19,86.36,0.0001,,
RNA transport,112,97.39,0.0002,,
Polycomb repressive complex,61,96.83,0.0002,,
Pyrimidine metabolism,63,88.73,0.0003,,
"Spliceosome, U1-snRNP",8,88.89,0.0005,,
"RNA polymerase II, eukaryotes",6,100,0.0006,,
MCM complex,6,100,0.0007,,
Sm core complex,7,100,0.0013,,
Nucleotide excision repair,39,92.86,0.0062,,
"RNA polymerase I, eukaryotes",7,100,0.0066,,
Cell cycle - G2/M transition,7,100,0.0092,,
Exon junction complex (EJC),14,87.5,0.0106,,
"RNA polymerase III, eukaryotes",11,100,0.0124,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0127,,
Cell cycle,128,98.46,0.0123,,
Nuclear pore complex,30,100,0.0122,,
FA core complex,6,100,0.0123,,
DNA damage-induced cell cycle checkpoints,7,100,0.0123,,
Purine metabolism,88,91.67,0.0123,,
"Exosome, eukaryotes",6,100,0.0148,,
RF-C complex,5,100,0.0157,,
Non-homologous end-joining,6,100,0.0257,,
Basal transcription factors,35,89.74,0.0315,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.0372,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",18,72,0.04,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.0411,,
2-Oxocarboxylic acid metabolism,20,100,0.05,,
Staphylococcus aureus infection,11,78.57,0.0599,,
Herpes simplex infection,89,94.68,0.0666,,
Origin recognition complex,6,100,0.0762,,
Systemic lupus erythematosus,8,66.67,0.0798,,
Methionine degradation,6,100,0.0831,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",6,54.55,0.0841,,
Shelterin complex,5,100,0.1204,,
Nicotine addiction,3,60,0.1269,,
One carbon pool by folate,10,76.92,0.1545,,
Lipoic acid metabolism,11,100,0.1676,,
Tyrosine metabolism,17,100,0.1808,,
Glyoxylate and dicarboxylate metabolism,13,65,0.1859,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.2245,,
Cytochrome bc1 complex,5,71.43,0.2239,,
Arginine and proline metabolism,11,40.74,0.2302,,
Triacylglycerol biosynthesis,9,100,0.23,,
"F-type ATPase, eukaryotes",2,33.33,0.232,,
Phenylalanine metabolism,10,100,0.2298,,
Viral life cycle - HIV-1,26,76.47,0.2838,,
Antifolate resistance,12,80,0.3058,,
Biosynthesis of amino acids,28,66.67,0.3017,,
Nitrogen metabolism,5,83.33,0.3046,,
Cysteine and methionine metabolism,22,78.57,0.3138,,
Ribosome,87,87,0.3511,,
TREX complex,8,100,0.3458,,
Drug metabolism - other enzymes,30,75,0.3411,,
Cytosolic DNA-sensing pathway,29,90.62,0.3951,,
Citrate cycle (TCA cycle),21,100,0.3939,,
Prion diseases,10,47.62,0.4139,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.4221,,
Signaling pathways regulating pluripotency of stem cells,68,86.08,0.4341,,
"Ribosome, eukaryotes",62,93.94,0.4555,,
Glycolysis / Gluconeogenesis,15,48.39,0.4512,,
"C1-unit interconversion, eukaryotes",5,83.33,0.4794,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.4834,,
Progesterone-mediated oocyte maturation,57,85.07,0.4947,,
Proteasome,20,66.67,0.4979,,
Chemical carcinogenesis - receptor activation,87,85.29,0.5085,,
Primary immunodeficiency,5,71.43,0.5279,,
Nucleotide metabolism,38,80.85,0.5648,,
Fructose and mannose metabolism,7,38.89,0.5806,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.5998,,
Thyroid cancer,13,61.9,0.612,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.6189,,
BER complex,8,100,0.6156,,
Carbon metabolism,42,61.76,0.6181,,
Transcriptional misregulation in cancer,88,95.65,0.6198,,
Coronavirus disease - COVID-19,102,87.18,0.6422,,
Methionine salvage pathway,5,100,0.669,,
Inositol phosphate metabolism,29,63.04,0.6651,,
Amyotrophic lateral sclerosis,162,83.94,0.6903,,
"Glycine, serine and threonine metabolism",14,70,0.6882,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.7227,,
Holo-TFIIH complex,10,100,0.7225,,
Glycerolipid metabolism,16,64,0.8128,,
Oocyte meiosis,68,87.18,0.872,,
beta-Alanine metabolism,19,100,0.8714,,
Glutathione metabolism,28,70,0.8827,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.9224,,
Activin signaling,6,100,0.9634,,
Bladder cancer,17,70.83,0.9685,,
Endometrial cancer,23,67.65,0.9615,,
Survival motor neuron (SMN) complex,7,87.5,0.9535,,
Legionellosis,16,66.67,0.9568,,
Ubiquinone and other terpenoid-quinone biosynthesis,3,60,0.9549,,
Selenocompound metabolism,11,100,0.9497,,
Fat digestion and absorption,12,100,0.9465,,
ABC transporters,10,62.5,0.9616,,
"O-glycan biosynthesis, mucin type core",5,50,0.9718,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.9676,,
IL-17 signaling pathway,25,62.5,0.9608,,
Antigen processing and presentation,16,66.67,0.9564,,
Metabolic pathways,543,93.78,0.9559,,
Mucin type O-glycan biosynthesis,5,41.67,0.953,,
Amyotrophic lateral sclerosis (ALS),22,70.97,0.9648,,
Chemical carcinogenesis - reactive oxygen species,86,70.49,0.9598,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,0.9533,,
Central carbon metabolism in cancer,23,54.76,0.9516,,
NOD-like receptor signaling pathway,71,74.74,0.9487,,
Acute myeloid leukemia,31,77.5,0.9554,,
"Proteasome, 20S core particle",9,100,0.9563,,
Colorectal cancer,37,66.07,0.955,,
Biosynthesis of cofactors,52,72.22,0.9539,,
Immunoproteasome,14,100,0.9647,,
Thyroid hormone signaling pathway,50,68.49,0.9623,,
Huntington's disease,92,85.19,1,,
Hepatitis C,75,91.46,1,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,1,,
Longevity regulating pathway - multiple species,20,51.28,1,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,1,,
N-glycan precursor biosynthesis,5,71.43,1,,
Drug metabolism - cytochrome P450,10,43.48,1,,
Complement and coagulation cascades,6,28.57,1,,
Histidine metabolism,11,100,1,,
Gastric cancer,56,77.78,1,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,1,,
ErbB signaling pathway,25,49.02,1,,
Breast cancer,60,83.33,1,,
Prostate cancer,54,90,1,,
"Proteasome, 19S regulatory particle (PA700)",7,58.33,1,,
Folate biosynthesis,11,100,1,,
Arginine biosynthesis,9,100,1,,
Peroxisome,25,62.5,1,,
Basal cell carcinoma,16,66.67,1,,
Wnt signaling,8,61.54,1,,
APC/C complex,12,100,1,,
Thiamine metabolism,7,100,1,,
Proximal tubule bicarbonate reclamation,14,100,1,,
Hippo signaling,12,100,1,,
Neuroactive ligand-receptor interaction,25,52.08,1,,
Leishmaniasis,19,59.38,1,,
Chronic myeloid leukemia,46,85.19,1,,
Hippo signaling pathway - multiple species,17,100,1,,
Hippo signaling pathway -multiple species,17,100,1,,
Fluid shear stress and atherosclerosis,53,63.86,1,,
Lipid and atherosclerosis,76,76.77,1,,
Th17 cell differentiation,35,71.43,0.9991,,
