pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
Ribosome biogenesis in eukaryotes,51,91.07,0,,
DNA replication,33,100,0,,
Homologous recombination,30,96.77,0,,
Mismatch repair,22,100,0,,
Base excision repair,30,90.91,0,,
mRNA surveillance pathway,61,91.04,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",20,95.24,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
Fanconi anemia pathway,28,87.5,0,,
Polycomb repressive complex,61,96.83,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
RNA degradation,39,84.78,0,,
Nucleotide excision repair,38,90.48,0.0001,,
Nuclear pore complex,30,100,0.0001,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.0006,,
MCM complex,6,100,0.0011,,
Origin recognition complex,6,100,0.0015,,
Exon junction complex (EJC),13,81.25,0.0015,,
RNA polymerase,20,90.91,0.0022,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0023,,
FA core complex,6,100,0.0039,,
Cell cycle - G2/M transition,7,100,0.0057,,
Proteasome,22,73.33,0.0055,,
"Spliceosome, U1-snRNP",8,88.89,0.0061,,
Herpes simplex infection,91,96.81,0.0059,,
RF-C complex,5,100,0.0122,,
Sm core complex,7,100,0.0126,,
Aminoacyl-tRNA biosynthesis,23,79.31,0.0149,,
Cell cycle,128,98.46,0.0195,,
"RNA polymerase II, eukaryotes",6,100,0.019,,
DNA damage-induced cell cycle checkpoints,7,100,0.0202,,
APC/C complex,6,50,0.021,,
Non-homologous end-joining,6,100,0.0217,,
Systemic lupus erythematosus,8,66.67,0.0226,,
Immunoproteasome,14,100,0.0277,,
Basal transcription factors,36,92.31,0.0288,,
"RNA polymerase I, eukaryotes",7,100,0.0298,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",20,80,0.0291,,
Methionine degradation,6,100,0.0309,,
"Exosome, eukaryotes",6,100,0.0322,,
RNA transport,112,97.39,0.0338,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.055,,
Primary immunodeficiency,6,85.71,0.059,,
One carbon pool by folate,9,69.23,0.0629,,
Shelterin complex,5,100,0.0737,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",5,45.45,0.0907,,
Wnt signaling,8,61.54,0.1579,,
Notch signaling,4,50,0.1667,,
"F-type ATPase, eukaryotes",2,33.33,0.1801,,
"RNA polymerase III, eukaryotes",11,100,0.2001,,
Nitrogen metabolism,5,83.33,0.2008,,
Pyrimidine metabolism,63,88.73,0.2145,,
Viral life cycle - HIV-1,27,79.41,0.2283,,
Glycolysis / Gluconeogenesis,13,41.94,0.2249,,
Staphylococcus aureus infection,13,92.86,0.2623,,
Nucleocytoplasmic transport,81,97.59,0.2619,,
Arginine biosynthesis,9,100,0.2704,,
TREX complex,8,100,0.3208,,
Antifolate resistance,11,73.33,0.3167,,
Pentose phosphate pathway,13,100,0.3149,,
Nicotine addiction,3,60,0.3197,,
Progesterone-mediated oocyte maturation,57,85.07,0.3204,,
Phenylalanine metabolism,10,100,0.4022,,
Vitamin B6 metabolism,5,100,0.5328,,
Dorso-ventral axis formation,7,38.89,0.5298,,
"C1-unit interconversion, eukaryotes",5,83.33,0.5485,,
Holo-TFIIH complex,10,100,0.5841,,
Complement and coagulation cascades,6,28.57,0.6185,,
Fructose and mannose metabolism,6,33.33,0.6227,,
Mineral absorption,6,42.86,0.6301,,
Biosynthesis of amino acids,26,61.9,0.6339,,
Chemical carcinogenesis - receptor activation,87,85.29,0.6442,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.6383,,
Purine metabolism,90,93.75,0.6325,,
Lipoic acid metabolism,11,100,0.6476,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.6478,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,0.651,,
Neutrophil extracellular trap formation,41,71.93,0.6485,,
Glycerolipid metabolism,7,28,0.6623,,
Oocyte meiosis,68,87.18,0.679,,
Transcriptional misregulation in cancer,87,94.57,0.6736,,
BER complex,8,100,0.6869,,
"Proteasome, 20S core particle",9,100,0.742,,
NOD-like receptor signaling pathway,78,82.11,0.8117,,
"Proteasome, 19S regulatory particle (PA700)",7,58.33,0.8163,,
Cysteine and methionine metabolism,22,78.57,0.8288,,
Cytosolic DNA-sensing pathway,30,93.75,0.8232,,
Tyrosine metabolism,17,100,0.8162,,
Survival motor neuron (SMN) complex,7,87.5,0.8142,,
"Glycine, serine and threonine metabolism",14,70,0.8093,,
Signaling pathways regulating pluripotency of stem cells,69,87.34,0.8068,,
Arginine and proline metabolism,10,37.04,0.8005,,
Antigen processing and presentation,20,83.33,0.8024,,
Drug metabolism - other enzymes,26,65,0.8126,,
African trypanosomiasis,8,57.14,0.8165,,
Mucin type O-glycan biosynthesis,5,41.67,0.8311,,
IL-17 signaling pathway,29,72.5,0.8329,,
"O-glycan biosynthesis, mucin type core",5,50,0.8408,,
Proximal tubule bicarbonate reclamation,14,100,0.8384,,
Thyroid cancer,13,61.9,0.8389,,
Glyoxylate and dicarboxylate metabolism,12,60,0.8407,,
Nucleotide metabolism,38,80.85,0.862,,
Amyotrophic lateral sclerosis,151,78.24,0.8685,,
Longevity regulating pathway - multiple species,19,48.72,0.8783,,
Porphyrin and chlorophyll metabolism,12,100,0.9338,,
Prion diseases,9,42.86,1,,
Inositol phosphate metabolism,26,56.52,1,,
Central carbon metabolism in cancer,21,50,1,,
Ubiquitin mediated proteolysis,77,87.5,1,,
N-glycan precursor biosynthesis,5,71.43,1,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,1,,
Glutathione metabolism,26,65,1,,
Riboflavin metabolism,6,100,1,,
ATP-dependent chromatin remodeling,66,95.65,1,,
Notch signaling pathway,23,69.7,1,,
Basal cell carcinoma,16,66.67,1,,
Cholesterol metabolism,8,42.11,1,,
eIF4F complex,7,100,1,,
Sulfur metabolism,5,55.56,1,,
Glucagon signaling pathway,33,64.71,1,,
RIG-I-like receptor signaling pathway,23,74.19,1,,
Prostate cancer,54,90,1,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,1,,
Pyruvate metabolism,12,41.38,0.9959,,
Mitophagy - animal,21,48.84,0.9925,,
"Phosphatidylcholine (PC) biosynthesis, choline => PC",5,100,0.9928,,
Type II diabetes mellitus,8,44.44,1,,
Biosynthesis of nucleotide sugars,5,22.73,1,,
Propanoate metabolism,12,50,1,,
Amino sugar and nucleotide sugar metabolism,5,19.23,1,,
Maturity onset diabetes of the young,5,100,0.996,,
Lipid and atherosclerosis,77,77.78,0.9952,,
Fluid shear stress and atherosclerosis,60,72.29,1,,
Protein processing in endoplasmic reticulum,36,40,1,,
Th17 cell differentiation,41,83.67,0.9999,,
Ascorbate and aldarate metabolism,1,16.67,NA,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",1,12.5,NA,,
