pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,51,91.07,0,,
Ribosome,88,88,0,,
"Ribosome, eukaryotes",62,93.94,0,,
Coronavirus disease - COVID-19,102,87.18,0,,
Mismatch repair,22,100,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",20,95.24,0,,
mRNA surveillance pathway,62,92.54,0,,
Fanconi anemia pathway,28,87.5,0,,
Nucleocytoplasmic transport,81,97.59,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Homologous recombination,30,96.77,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
Pyrimidine metabolism,63,88.73,0.0001,,
RNA transport,112,97.39,0.0002,,
RNA polymerase,19,86.36,0.0003,,
Origin recognition complex,6,100,0.0003,,
RNA degradation,38,82.61,0.0004,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.0008,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",19,76,0.0009,,
MCM complex,6,100,0.0014,,
Sm core complex,7,100,0.0016,,
"Spliceosome, U1-snRNP",8,88.89,0.0022,,
Exon junction complex (EJC),14,87.5,0.0032,,
Nuclear pore complex,30,100,0.0046,,
"RNA polymerase II, eukaryotes",6,100,0.0056,,
Nucleotide excision repair,38,90.48,0.0063,,
Polycomb repressive complex,61,96.83,0.0083,,
RF-C complex,5,100,0.0094,,
Purine metabolism,88,91.67,0.0104,,
Cell cycle,128,98.46,0.0118,,
Cell cycle - G2/M transition,7,100,0.0115,,
"RNA polymerase III, eukaryotes",11,100,0.0164,,
FA core complex,6,100,0.0207,,
DNA damage-induced cell cycle checkpoints,7,100,0.0208,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0244,,
"RNA polymerase I, eukaryotes",7,100,0.026,,
Biosynthesis of amino acids,28,66.67,0.0344,,
Arginine and proline metabolism,13,48.15,0.0338,,
Non-homologous end-joining,6,100,0.0358,,
"Exosome, eukaryotes",6,100,0.0391,,
Methionine degradation,6,100,0.041,,
"Alanine, aspartate and glutamate metabolism",15,65.22,0.043,,
Basal transcription factors,34,87.18,0.0475,,
One carbon pool by folate,10,76.92,0.0832,,
Cysteine and methionine metabolism,23,82.14,0.0845,,
Methionine salvage pathway,3,60,0.0906,,
Staphylococcus aureus infection,11,78.57,0.0956,,
Glycolysis / Gluconeogenesis,15,48.39,0.1012,,
Shelterin complex,5,100,0.1049,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",6,54.55,0.1263,,
Systemic lupus erythematosus,9,75,0.1242,,
Herpes simplex infection,89,94.68,0.1477,,
Nicotine addiction,3,60,0.1537,,
Lipoic acid metabolism,11,100,0.1618,,
"F-type ATPase, eukaryotes",2,33.33,0.2155,,
Tyrosine metabolism,17,100,0.2152,,
Primary immunodeficiency,5,71.43,0.2264,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.2325,,
Nitrogen metabolism,5,83.33,0.2514,,
Phenylalanine metabolism,10,100,0.2543,,
Triacylglycerol biosynthesis,9,100,0.2834,,
2-Oxocarboxylic acid metabolism,20,100,0.2913,,
Prion diseases,10,47.62,0.3115,,
Cytosolic DNA-sensing pathway,29,90.62,0.3228,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.319,,
Antifolate resistance,12,80,0.3233,,
"C1-unit interconversion, eukaryotes",5,83.33,0.3277,,
TREX complex,8,100,0.349,,
Progesterone-mediated oocyte maturation,57,85.07,0.3455,,
"Glycine, serine and threonine metabolism",14,70,0.3786,,
Vitamin B6 metabolism,5,100,0.4006,,
IL-17 signaling pathway,27,67.5,0.4009,,
Viral life cycle - HIV-1,26,76.47,0.4688,,
Chemical carcinogenesis - receptor activation,86,84.31,0.4965,,
"Proteasome, 20S core particle",9,100,0.5123,,
NOD-like receptor signaling pathway,72,75.79,0.5112,,
Glyoxylate and dicarboxylate metabolism,13,65,0.5144,,
Th17 cell differentiation,36,73.47,0.5126,,
Nucleotide metabolism,38,80.85,0.539,,
Holo-TFIIH complex,10,100,0.5335,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.5315,,
Antigen processing and presentation,17,70.83,0.5292,,
Immunoproteasome,14,100,0.5362,,
Signaling pathways regulating pluripotency of stem cells,68,86.08,0.539,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.5528,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.5615,,
Carbon metabolism,42,61.76,0.6062,,
Metabolic pathways,542,93.61,0.6423,,
Prostate cancer,55,91.67,0.6463,,
beta-Alanine metabolism,5,26.32,0.6548,,
Proteasome,24,80,0.649,,
BER complex,8,100,0.69,,
Oocyte meiosis,68,87.18,0.686,,
Drug metabolism - cytochrome P450,23,100,0.7139,,
Arginine biosynthesis,9,100,0.7073,,
Inositol phosphate metabolism,29,63.04,0.7281,,
Glycerolipid metabolism,16,64,0.7496,,
Drug metabolism - other enzymes,28,70,0.7742,,
Thyroid cancer,13,61.9,0.8024,,
Histidine metabolism,11,100,0.8068,,
Transcriptional misregulation in cancer,87,94.57,0.8117,,
Pentose phosphate pathway,13,100,0.8627,,
Citrate cycle (TCA cycle),21,100,0.8648,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.8685,,
Biosynthesis of cofactors,51,70.83,0.9046,,
Huntington's disease,92,85.19,0.9221,,
Legionellosis,16,66.67,0.9142,,
Lipid and atherosclerosis,77,77.78,0.933,,
Cytochrome bc1 complex,5,71.43,0.9704,,
Selenocompound metabolism,11,100,0.9825,,
Metabolism of xenobiotics by cytochrome P450,26,100,0.9749,,
Glutathione metabolism,29,72.5,0.973,,
Central carbon metabolism in cancer,23,54.76,0.9658,,
"O-glycan biosynthesis, mucin type core",5,50,0.9583,,
Mucin type O-glycan biosynthesis,5,41.67,0.9631,,
Amyotrophic lateral sclerosis (ALS),22,70.97,0.9645,,
Acute myeloid leukemia,31,77.5,0.9712,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.9637,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9691,,
Folate biosynthesis,11,100,0.9675,,
ABC transporters,10,62.5,0.9802,,
APC/C complex,12,100,0.9923,,
Fluid shear stress and atherosclerosis,54,65.06,0.9917,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,0.99,,
Endometrial cancer,23,67.65,0.9856,,
Colorectal cancer,37,66.07,0.9946,,
Thyroid hormone signaling pathway,51,69.86,0.9889,,
Longevity regulating pathway - multiple species,20,51.28,0.9849,,
Chemical carcinogenesis - reactive oxygen species,84,68.85,0.979,,
Biosynthesis of nucleotide sugars,22,100,0.9932,,
Protein processing in endoplasmic reticulum,36,40,0.9961,,
Necroptosis,59,77.63,0.9942,,
Bladder cancer,17,70.83,0.9942,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",9,100,1,,
Fructose and mannose metabolism,5,27.78,1,,
Survival motor neuron (SMN) complex,7,87.5,0.9999,,
Estrogen signaling pathway,44,68.75,0.9942,,
ErbB signaling pathway,25,49.02,1,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.9986,,
Ubiquitin mediated proteolysis,75,85.23,0.9929,,
N-glycan precursor biosynthesis,5,71.43,0.9887,,
Pantothenate and CoA biosynthesis,5,45.45,0.9863,,
Riboflavin metabolism,6,100,0.9849,,
Fat digestion and absorption,12,100,0.9828,,
Notch signaling pathway,23,69.7,0.9791,,
Peroxisome,25,62.5,0.9818,,
Chemical carcinogenesis - DNA adducts,20,100,0.9807,,
African trypanosomiasis,14,100,0.9746,,
Proximal tubule bicarbonate reclamation,14,100,0.9698,,
Thiamine metabolism,7,100,0.9762,,
Gastric cancer,56,77.78,0.9818,,
Neuroactive ligand-receptor interaction,25,52.08,0.976,,
Leishmaniasis,21,65.62,0.9749,,
Breast cancer,60,83.33,0.9727,,
