pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,53,94.64,0,,
Ribosome,88,88,0,,
RNA polymerase,20,90.91,0,,
Nuclear pore complex,26,86.67,0,,
"Ribosome, eukaryotes",62,93.94,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",20,95.24,0,,
Mismatch repair,22,100,0,,
Polycomb repressive complex,61,96.83,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
RNA transport,112,97.39,0,,
mRNA surveillance pathway,60,89.55,0,,
Homologous recombination,30,96.77,0,,
Coronavirus disease - COVID-19,102,87.18,0,,
Base excision repair,30,90.91,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Nucleocytoplasmic transport,81,97.59,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
Cell cycle,128,98.46,0.0001,,
Fanconi anemia pathway,28,87.5,0,,
RNA degradation,39,84.78,0,,
"RNA polymerase II, eukaryotes",6,100,0.0003,,
"RNA polymerase I, eukaryotes",7,100,0.0004,,
"Spliceosome, U1-snRNP",8,88.89,0.0007,,
Nucleotide excision repair,38,90.48,0.0007,,
Sm core complex,7,100,0.0009,,
Herpes simplex infection,88,93.62,0.0009,,
MCM complex,6,100,0.0011,,
Exon junction complex (EJC),14,87.5,0.0034,,
Basal transcription factors,34,87.18,0.0039,,
"RNA polymerase III, eukaryotes",11,100,0.0044,,
RF-C complex,5,100,0.0046,,
Cytochrome bc1 complex,5,71.43,0.0048,,
"Exosome, eukaryotes",6,100,0.0094,,
Proteasome,22,73.33,0.0137,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0139,,
Pyrimidine metabolism,64,90.14,0.0201,,
FA core complex,6,100,0.0198,,
DNA damage-induced cell cycle checkpoints,7,100,0.0199,,
Cell cycle - G2/M transition,7,100,0.0199,,
THC complex,5,100,0.0214,,
Non-homologous end-joining,6,100,0.0302,,
Amyotrophic lateral sclerosis,163,84.46,0.0438,,
Systemic lupus erythematosus,8,66.67,0.0493,,
Purine metabolism,90,93.75,0.0683,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0736,,
Methionine degradation,6,100,0.0827,,
"Proteasome, 20S core particle",9,100,0.1165,,
One carbon pool by folate,10,76.92,0.1143,,
Shelterin complex,5,100,0.1229,,
"Alanine, aspartate and glutamate metabolism",9,39.13,0.1356,,
Nitrogen metabolism,5,83.33,0.1338,,
2-Oxocarboxylic acid metabolism,20,100,0.1554,,
Glycolysis / Gluconeogenesis,14,45.16,0.1693,,
Methionine salvage pathway,4,80,0.17,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",19,76,0.1743,,
Aminoacyl-tRNA biosynthesis,22,75.86,0.1716,,
Staphylococcus aureus infection,11,78.57,0.1697,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1691,,
Arginine and proline metabolism,11,40.74,0.1951,,
Antifolate resistance,12,80,0.2081,,
"F-type ATPase, eukaryotes",2,33.33,0.2208,,
Cytosolic DNA-sensing pathway,30,93.75,0.2341,,
TREX complex,8,100,0.2325,,
Viral life cycle - HIV-1,26,76.47,0.275,,
Phenylalanine metabolism,10,100,0.2909,,
Thyroid cancer,13,61.9,0.2986,,
Oocyte meiosis,68,87.18,0.3004,,
Chemical carcinogenesis - receptor activation,88,86.27,0.2992,,
Citrate cycle (TCA cycle),21,100,0.3019,,
Transcriptional misregulation in cancer,87,94.57,0.3297,,
Tyrosine metabolism,17,100,0.3323,,
Cysteine and methionine metabolism,23,82.14,0.3325,,
Immunoproteasome,14,100,0.3455,,
Origin recognition complex,6,100,0.3787,,
Glyoxylate and dicarboxylate metabolism,13,65,0.3767,,
Triacylglycerol biosynthesis,9,100,0.4023,,
eIF4F complex,7,100,0.4061,,
Holo-TFIIH complex,10,100,0.404,,
IL-17 signaling pathway,28,70,0.4151,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.4233,,
Signaling pathways regulating pluripotency of stem cells,68,86.08,0.4184,,
Platinum drug resistance,44,75.86,0.447,,
Huntington's disease,92,85.19,0.4495,,
Bladder cancer,17,70.83,0.4512,,
Progesterone-mediated oocyte maturation,57,85.07,0.449,,
Prion diseases,10,47.62,0.4816,,
Prostate cancer,55,91.67,0.533,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.5356,,
"C1-unit interconversion, eukaryotes",5,83.33,0.5666,,
Primary immunodeficiency,5,71.43,0.5634,,
BER complex,8,100,0.5684,,
BMP signaling,7,63.64,0.565,,
beta-Alanine metabolism,4,21.05,0.5622,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.5691,,
Lipoic acid metabolism,11,100,0.5675,,
Drug metabolism - other enzymes,30,75,0.5864,,
Endometrial cancer,24,70.59,0.5825,,
Chemical carcinogenesis - reactive oxygen species,86,70.49,0.6235,,
Th17 cell differentiation,35,71.43,0.6188,,
Survival motor neuron (SMN) complex,7,87.5,0.6188,,
NOD-like receptor signaling pathway,71,74.74,0.6183,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.6184,,
ABC transporters,9,56.25,0.6136,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.6174,,
Glutathione metabolism,31,77.5,0.622,,
Selenocompound metabolism,11,100,0.6204,,
Breast cancer,60,83.33,0.6367,,
Amyotrophic lateral sclerosis (ALS),22,70.97,0.6596,,
Mitophagy - animal,24,55.81,0.6594,,
Legionellosis,15,62.5,0.6584,,
Antigen processing and presentation,17,70.83,0.6644,,
Glycerolipid metabolism,16,64,0.6799,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.7062,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.7142,,
RIG-I-like receptor signaling pathway,22,70.97,0.738,,
Inositol phosphate metabolism,31,67.39,0.7528,,
Activin signaling,6,100,0.7528,,
Parkinson disease,105,73.94,0.7483,,
Nucleotide metabolism,39,82.98,0.775,,
Gastric cancer,56,77.78,0.7689,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.7743,,
Hepatocellular carcinoma,89,88.12,0.7706,,
Fructose and mannose metabolism,6,33.33,0.7795,,
"Glycine, serine and threonine metabolism",14,70,0.7858,,
Colorectal cancer,38,67.86,0.7812,,
Central carbon metabolism in cancer,24,57.14,0.7842,,
Biosynthesis of amino acids,27,64.29,0.8109,,
Fluid shear stress and atherosclerosis,56,67.47,0.8216,,
Huntington disease,141,87.58,0.8408,,
Carbon metabolism,39,57.35,0.8354,,
"Proteasome, 19S regulatory particle (PA700)",7,58.33,0.8459,,
Lipid and atherosclerosis,76,76.77,0.8401,,
Thyroid hormone signaling pathway,59,80.82,0.8532,,
Cell cycle - G1/S transition,12,100,0.8603,,
Retinol metabolism,3,30,0.8977,,
Spinocerebellar ataxia,60,74.07,0.9083,,
Acute myeloid leukemia,32,80,0.9162,,
Hepatitis C,74,90.24,0.9132,,
Phosphatidylinositol signaling system,33,57.89,0.9116,,
Metabolic pathways,542,93.61,0.9057,,
HTLV-I infection,141,94,0.9062,,
Chronic myeloid leukemia,46,85.19,0.9184,,
Parkinson's disease,45,60,0.9178,,
Longevity regulating pathway - multiple species,20,51.28,0.9211,,
Amphetamine addiction,20,55.56,0.9542,,
Notch signaling pathway,20,60.61,0.9515,,
ESCRT-III complex,3,37.5,0.9517,,
Arachidonic acid metabolism,8,34.78,0.9587,,
Sulfur metabolism,9,100,0.9593,,
N-glycan precursor biosynthesis,5,71.43,0.9715,,
Basal cell carcinoma,16,66.67,0.9662,,
African trypanosomiasis,14,100,0.9626,,
Peroxisome,25,62.5,0.963,,
Thermogenesis,96,82.05,0.9645,,
ATP-dependent chromatin remodeling,67,97.1,0.9666,,
Cytochrome c oxidase,14,100,0.9647,,
Protein processing in endoplasmic reticulum,39,43.33,0.9626,,
Glucagon signaling pathway,35,68.63,0.9668,,
Estrogen signaling pathway,46,71.88,0.9651,,
APC/C complex,12,100,0.9636,,
Arginine biosynthesis,9,100,0.9602,,
Histidine metabolism,11,100,0.9582,,
Herpes simplex virus 1 infection,137,90.73,0.9567,,
Drug metabolism - cytochrome P450,11,47.83,0.9519,,
Fat digestion and absorption,12,100,0.9477,,
Necroptosis,56,73.68,0.9588,,
NF-kappa B signaling pathway,37,69.81,0.9557,,
ECM-receptor interaction,11,25.58,0.9508,,
Melanoma,33,82.5,0.9461,,
ErbB signaling pathway,26,50.98,0.9429,,
Biosynthesis of cofactors,50,69.44,0.9401,,
Ubiquinone and other terpenoid-quinone biosynthesis,3,60,0.957,,
Proximal tubule bicarbonate reclamation,14,100,0.9575,,
Thiamine metabolism,7,100,0.9538,,
Leishmaniasis,21,65.62,0.9824,,
Hippo signaling,12,100,0.9846,,
