pathway,tf,percent,,,
Ribosome biogenesis in eukaryotes,31,60.78,0.1722,,
Biosynthesis of amino acids,4,8.51,0.9389,,
"Alanine, aspartate and glutamate metabolism",13,52,0.9726,,
ABC transporters,5,26.32,0.8656,,
Porphyrin metabolism,2,11.11,0.849,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",2,20,0.7554,,
Porphyrin and chlorophyll metabolism,2,10.53,0.6588,,
Peroxisome,10,19.61,0.7911,,
Glucagon signaling pathway,7,15.56,1,,
Chemical carcinogenesis - receptor activation,32,37.21,1,,
Phenylalanine metabolism,5,50,1,,
Starch and sucrose metabolism,7,46.67,1,,
Galactose metabolism,7,53.85,1,,
Basal transcription factors,3,9.09,1,,
Influenza A,11,16.92,1,,
Central carbon metabolism in cancer,8,30.77,1,,
Spinocerebellar ataxia,16,25,1,,
"Glycine, serine and threonine metabolism",6,21.43,1,,
Biosynthesis of nucleotide sugars,5,25,1,,
Insulin signaling pathway,9,13.43,1,,
Glucuronate pathway (uronate pathway),11,100,1,,
Complement and coagulation cascades,23,42.59,1,,
Amino sugar and nucleotide sugar metabolism,6,26.09,1,,
Prolactin signaling pathway,5,16.67,1,,
Drug metabolism - other enzymes,13,24.07,1,,
HTLV-I infection,30,29.13,1,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,8,100,1,,
Retinol metabolism,9,21.95,1,,
Glycolysis / Gluconeogenesis,10,33.33,1,,
Folate biosynthesis,4,30.77,1,,
"Ascorbate biosynthesis, animals, glucose-1P => ascorbate",11,100,1,,
cGMP-PKG signaling pathway,6,9.84,1,,
Progesterone-mediated oocyte maturation,4,9.52,1,,
Primary bile acid biosynthesis,5,38.46,1,,
Arginine and proline metabolism,8,33.33,1,,
Chemical carcinogenesis - DNA adducts,9,21.95,1,,
Steroid hormone biosynthesis,11,26.19,1,,
Carbon metabolism,18,25.35,1,,
beta-Alanine metabolism,9,45,1,,
Insulin secretion,6,28.57,1,,
Cysteine and methionine metabolism,15,53.57,1,,
Human T-cell leukemia virus 1 infection,12,11.76,1,,
Metabolism of xenobiotics by cytochrome P450,5,15.15,1,,
Drug metabolism - cytochrome P450,8,22.22,1,,
Synaptic vesicle cycle,2,11.11,1,,
Cell cycle,8,9.64,1,,
Vascular smooth muscle contraction,6,13.04,1,,
Type II diabetes mellitus,2,14.29,1,,
Salivary secretion,2,10,1,,
Tryptophan metabolism,17,54.84,1,,
Oocyte meiosis,4,8,1,,
Neuroactive ligand-receptor interaction,4,12.5,1,,
Nucleotide metabolism,5,12.82,1,,
2-Oxocarboxylic acid metabolism,3,13.04,1,,
Glycerolipid metabolism,7,33.33,1,,
Serotonergic synapse,15,34.88,0.9938,,
NOD-like receptor signaling pathway,1,1.25,NA,,
