pathway,tf,percent,,,
Spinocerebellar ataxia,52,81.25,0,,
Cell cycle,83,100,0,,
Endocytosis,73,60.83,0,,
Nuclear pore complex,29,100,0,,
Regulation of actin cytoskeleton,49,55.06,0,,
Ribosome biogenesis in eukaryotes,51,100,0,,
RNA transport,106,100,0,,
Spliceosome,95,98.96,0,,
Tight junction,77,89.53,0,,
Nucleocytoplasmic transport,76,100,0,,
ATP-dependent chromatin remodeling,52,86.67,0,,
Polycomb repressive complex,51,100,0,,
Motor proteins,45,97.83,0,,
Pathways in cancer,197,98.99,0,,
Hepatitis B,71,94.67,0,,
Herpes simplex virus 1 infection,126,97.67,0,,
Human papillomavirus infection,77,60.63,0,,
Salmonella infection,113,100,0,,
Amyotrophic lateral sclerosis,168,100,0,,
HTLV-I infection,103,100,0,,
Yersinia infection,33,51.56,0,,
Viral carcinogenesis,95,97.94,0,,
Hepatitis C,60,77.92,0,,
PI3K-Akt signaling pathway,78,65.55,0,,
Human T-cell leukemia virus 1 infection,102,100,0,,
Epstein-Barr virus infection,53,63.1,0,,
Neurotrophin signaling pathway,26,54.17,0,,
Efferocytosis,51,80.95,0,,
Chagas disease,27,62.79,0,,
Necroptosis,34,54.84,0,,
RNA degradation,42,95.45,0,,
TNF signaling pathway,35,66.04,0,,
DNA replication,27,100,0,,
Focal adhesion,32,41.56,0,,
Nucleotide excision repair,37,100,0,,
Purine metabolism,75,100,0,,
Chagas disease (American trypanosomiasis),27,62.79,0,,
Human cytomegalovirus infection,53,57.61,0,,
Choline metabolism in cancer,40,100,0,,
Kaposi sarcoma-associated herpesvirus infection,57,71.25,0,,
Pyrimidine metabolism,62,100,0,,
Neutrophil extracellular trap formation,37,88.1,0,,
Viral life cycle - HIV-1,31,100,0,,
Protein processing in endoplasmic reticulum,29,38.16,0,,
Cellular senescence,68,91.89,0,,
Herpes simplex infection,88,98.88,0,,
Base excision repair,24,100,0,,
Small cell lung cancer,35,89.74,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Estrogen signaling pathway,20,47.62,0,,
Human immunodeficiency virus 1 infection,62,74.7,0,,
Chronic myeloid leukemia,19,50,0,,
Pancreatic cancer,18,46.15,0,,
Progesterone-mediated oocyte maturation,42,100,0,,
Bacterial invasion of epithelial cells,20,57.14,0,,
Rap1 signaling pathway,26,37.14,0,,
Proteoglycans in cancer,25,32.89,0,,
MicroRNAs in cancer,55,98.21,0,,
NOD-like receptor signaling pathway,32,40,0,,
Basal transcription factors,23,69.7,0,,
Measles,38,70.37,0,,
Cholinergic synapse,27,100,0,,
Influenza A,59,90.77,0,,
MAPK signaling pathway,40,49.38,0,,
Chemokine signaling pathway,33,60,0,,
Apoptosis,48,76.19,0,,
"Spliceosome, U2-snRNP",13,68.42,0,,
mmuK signaling pathway,50,50.51,0,,
Prostate cancer,33,76.74,0,,
Amino sugar and nucleotide sugar metabolism,16,69.57,0,,
Oocyte meiosis,50,100,0,,
Ubiquitin mediated proteolysis,47,62.67,0,,
Colorectal cancer,29,72.5,0,,
Phosphatidylinositol signaling system,16,45.71,0,,
Osteoclast differentiation,24,47.06,0,,
Toll-like receptor signaling pathway,19,46.34,0,,
Gap junction,29,96.67,0,,
C-type lectin receptor signaling pathway,19,54.29,0,,
Breast cancer,20,46.51,0,,
Gastric cancer,28,59.57,0,,
Insulin signaling pathway,27,40.3,0,,
Fc epsilon RI signaling pathway,18,100,0,,
"Growth hormone synthesis, secretion and action",34,72.34,0,,
Nucleotide metabolism,39,100,0,,
Mismatch repair,18,100,0,,
Pathways of neurodegeneration - multiple diseases,162,93.1,0,,
Lipid and atherosclerosis,29,36.25,0,,
Longevity regulating pathway,21,43.75,0,,
Sphingolipid signaling pathway,10,16.95,0,,
HIF-1 signaling pathway,13,30.23,0,,
Toxoplasmosis,18,43.9,0,,
Pertussis,15,46.88,0,,
Thyroid hormone signaling pathway,10,16.67,0,,
Alcoholic liver disease,39,50.65,0,,
Th17 cell differentiation,25,56.82,0,,
