pathway,tf,percent,,,
Cell cycle,83,100,0,,
Nuclear pore complex,29,100,0,,
Ribosome biogenesis in eukaryotes,51,100,0,,
RNA transport,106,100,0,,
Spliceosome,95,98.96,0,,
Nucleocytoplasmic transport,76,100,0,,
Pathways in cancer,197,98.99,0,,
Salmonella infection,113,100,0,,
Polycomb repressive complex,51,100,0,,
Human cytomegalovirus infection,65,70.65,0,,
HTLV-I infection,103,100,0,,
Amyotrophic lateral sclerosis,168,100,0,,
Human papillomavirus infection,77,60.63,0,,
Hepatitis B,71,94.67,0,,
Neurotrophin signaling pathway,26,54.17,0,,
Tight junction,77,89.53,0,,
Human T-cell leukemia virus 1 infection,102,100,0,,
Viral carcinogenesis,95,97.94,0,,
Chronic myeloid leukemia,19,50,0,,
DNA replication,27,100,0,,
Kaposi sarcoma-associated herpesvirus infection,62,77.5,0,,
Motor proteins,45,97.83,0,,
Small cell lung cancer,35,89.74,0,,
Pancreatic cancer,18,46.15,0,,
Cellular senescence,68,91.89,0,,
Yersinia infection,31,48.44,0,,
Spinocerebellar ataxia,52,81.25,0,,
Gastric cancer,27,57.45,0,,
ATP-dependent chromatin remodeling,52,86.67,0,,
Ubiquitin mediated proteolysis,47,62.67,0,,
Regulation of actin cytoskeleton,49,55.06,0,,
Breast cancer,20,46.51,0,,
Pyrimidine metabolism,62,100,0,,
Purine metabolism,75,100,0,,
Epstein-Barr virus infection,53,63.1,0,,
Necroptosis,34,54.84,0,,
Hepatitis C,51,66.23,0,,
Efferocytosis,47,74.6,0,,
Nucleotide excision repair,37,100,0,,
Lipid and atherosclerosis,37,46.25,0,,
Endocytosis,71,59.17,0,,
"Spliceosome, U2-snRNP",13,68.42,0,,
Base excision repair,24,100,0,,
Apoptosis,48,76.19,0,,
IL-17 signaling pathway,18,54.55,0,,
Hepatocellular carcinoma,37,50,0,,
Mismatch repair,18,100,0,,
BRCA1-associated genome surveillance complex (BASC),11,100,0,,
Neutrophil extracellular trap formation,35,83.33,0,,
NOD-like receptor signaling pathway,30,37.5,0,,
Oocyte meiosis,50,100,0,,
Chagas disease,26,60.47,0,,
Estrogen signaling pathway,18,42.86,0,,
Progesterone-mediated oocyte maturation,42,100,0,,
Chagas disease (American trypanosomiasis),26,60.47,0,,
Colorectal cancer,29,72.5,0,,
TNF signaling pathway,35,66.04,0,,
Herpes simplex infection,88,98.88,0,,
Human immunodeficiency virus 1 infection,62,74.7,0,,
Signaling pathways regulating pluripotency of stem cells,10,20.83,0,,
MAPK signaling pathway,40,49.38,0,,
Protein processing in endoplasmic reticulum,29,38.16,0,,
Cholinergic synapse,27,100,0,,
Nucleotide metabolism,39,100,0,,
Viral life cycle - HIV-1,31,100,0,,
Bacterial invasion of epithelial cells,20,57.14,0,,
Herpes simplex virus 1 infection,125,96.9,0,,
Measles,47,87.04,0,,
Influenza A,59,90.77,0,,
Gap junction,29,96.67,0,,
Sphingolipid signaling pathway,12,20.34,0,,
Prostate cancer,32,74.42,0,,
Non-small cell lung cancer,15,48.39,0,,
Adrenergic signaling in cardiomyocytes,14,32.56,0,,
Proteoglycans in cancer,25,32.89,0,,
EGFR tyrosine kinase inhibitor resistance,11,28.95,0,,
Other types of O-glycan biosynthesis,11,100,0,,
Alcoholic liver disease,45,58.44,0,,
C-type lectin receptor signaling pathway,19,54.29,0.0001,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0.0001,,
Glioma,12,42.86,0.0001,,
Focal adhesion,32,41.56,0.0001,,
Fluid shear stress and atherosclerosis,22,34.92,0.0002,,
MCM complex,6,100,0.0002,,
Rap1 signaling pathway,26,37.14,0.0002,,
mmuK signaling pathway,50,50.51,0.0002,,
Longevity regulating pathway,21,43.75,0.0002,,
mTOR signaling pathway,12,20.34,0.0002,,
HIF-1 signaling pathway,15,34.88,0.0002,,
PI3K-Akt signaling pathway,78,65.55,0.0002,,
MicroRNAs in cancer,55,98.21,0.0003,,
Toll-like receptor signaling pathway,18,43.9,0.0003,,
Amoebiasis,8,22.86,0.0003,,
Cytokine-cytokine receptor interaction,20,39.22,0.0003,,
Toxoplasmosis,18,43.9,0.0004,,
Cell cycle - G1/S transition,5,83.33,0.0004,,
RNA degradation,42,95.45,0.0005,,
Pathways of neurodegeneration - multiple diseases,162,93.1,0.0007,,
Cushing syndrome,26,50,0.0007,,
Transcriptional misregulation in cancer,35,54.69,0.0008,,
Thyroid hormone signaling pathway,9,15,0.0009,,
"Growth hormone synthesis, secretion and action",34,72.34,0.001,,
Platelet activation,7,14.89,0.0011,,
Chemokine signaling pathway,33,60,0.0011,,
mRNA surveillance pathway,6,9.84,0.0011,,
Homologous recombination,14,93.33,0.0013,,
Thyroid cancer,6,35.29,0.0013,,
Prolactin signaling pathway,7,23.33,0.0013,,
NF-kappa B signaling pathway,15,34.09,0.0017,,
Endocrine resistance,17,47.22,0.0019,,
RF-C complex,5,100,0.0019,,
APC/C complex,10,100,0.0019,,
Relaxin signaling pathway,12,23.53,0.0022,,
Th17 cell differentiation,18,40.91,0.0022,,
Basal transcription factors,23,69.7,0.0027,,
Choline metabolism in cancer,40,100,0.0027,,
Phosphatidylinositol signaling system,15,42.86,0.0031,,
Hippo signaling pathway,12,19.67,0.0033,,
Ras signaling pathway,6,8.82,0.0037,,
Fc epsilon RI signaling pathway,18,100,0.0037,,
Amino sugar and nucleotide sugar metabolism,9,39.13,0.0037,,
"Alanine, aspartate and glutamate metabolism",13,52,0.0042,,
Antigen processing and presentation,7,26.92,0.0049,,
Alzheimer disease,136,90.07,0.0052,,
Renal cell carcinoma,5,16.13,0.0051,,
Mannose type O-glycan biosynthesis,7,100,0.0052,,
Survival motor neuron (SMN) complex,4,66.67,0.0057,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",4,66.67,0.0066,,
Huntington disease,125,92.59,0.0069,,
Adipocytokine signaling pathway,21,61.76,0.007,,
Metabolic pathways,585,100,0.0075,,
Inositol phosphate metabolism,14,45.16,0.0077,,
cAMP signaling pathway,5,9.8,0.0079,,
Protein digestion and absorption,5,27.78,0.0078,,
Viral myocarditis,5,31.25,0.0083,,
Fanconi anemia pathway,13,86.67,0.0085,,
Hematopoietic cell lineage,5,23.81,0.0091,,
Biosynthesis of nucleotide sugars,8,40,0.0096,,
Lysosome,19,31.67,0.0107,,
AMPK signaling pathway,22,36.67,0.0108,,
Insulin signaling pathway,27,40.3,0.0111,,
Melanoma,10,38.46,0.0116,,
"N-glycan biosynthesis, complex type",5,100,0.0121,,
Viral protein interaction with cytokine and cytokine receptor,5,45.45,0.0134,,
Adherens junction,21,38.18,0.0141,,
Non-homologous end-joining,5,83.33,0.0162,,
Arrhythmogenic right ventricular cardiomyopathy,5,26.32,0.0163,,
Regulation of lipolysis in adipocytes,10,52.63,0.0171,,
Proximal tubule bicarbonate reclamation,11,100,0.0177,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),5,26.32,0.0185,,
ECM-receptor interaction,4,22.22,0.0196,,
Apelin signaling pathway,5,8.77,0.0202,,
T cell receptor signaling pathway,5,11.63,0.0232,,
Amyotrophic lateral sclerosis (ALS),3,16.67,0.0234,,
Hypertrophic cardiomyopathy,6,40,0.0246,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,7,17.95,0.0276,,
eIF4F complex,7,100,0.0305,,
Cytosolic DNA-sensing pathway,13,43.33,0.0342,,
N-Glycan biosynthesis,7,41.18,0.0367,,
Hypertrophic cardiomyopathy (HCM),5,35.71,0.0388,,
Glycerophospholipid metabolism,11,29.73,0.041,,
Phospholipase D signaling pathway,3,6.12,0.0415,,
AGE-RAGE signaling pathway in diabetic complications,12,25.53,0.0433,,
Pertussis,13,40.62,0.0439,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4,50,0.0437,,
Dilated cardiomyopathy,5,33.33,0.045,,
Glucagon signaling pathway,12,26.67,0.0476,,
Acute myeloid leukemia,8,23.53,0.0474,,
Malaria,10,71.43,0.0487,,
Chemical carcinogenesis - receptor activation,75,87.21,0.0513,,
Longevity regulating pathway - multiple species,11,36.67,0.0534,,
Bile secretion,6,13.95,0.0609,,
B cell receptor signaling pathway,3,11.54,0.062,,
Endometrial cancer,3,11.54,0.0659,,
GnRH secretion,17,100,0.0667,,
TGF-beta signaling pathway,31,58.49,0.0697,,
Phagosome,48,90.57,0.0806,,
