pathway,tf,percent,,,
Ribosome biogenesis in eukaryotes,51,100,0,,
RNA transport,106,100,0,,
Nucleocytoplasmic transport,76,100,0,,
Spliceosome,95,98.96,0,,
Salmonella infection,113,100,0,,
Cell cycle,83,100,0,,
Nuclear pore complex,29,100,0,,
Polycomb repressive complex,50,98.04,0,,
Neurotrophin signaling pathway,20,41.67,0,,
mmuK signaling pathway,48,48.48,0,,
Spinocerebellar ataxia,49,76.56,0,,
Rap1 signaling pathway,13,18.57,0,,
MAPK signaling pathway,39,48.15,0,,
ATP-dependent chromatin remodeling,49,81.67,0,,
Viral carcinogenesis,93,95.88,0,,
Motor proteins,45,97.83,0,,
Human cytomegalovirus infection,22,23.91,0,,
Hepatitis B,67,89.33,0,,
HTLV-I infection,103,100,0,,
Protein processing in endoplasmic reticulum,29,38.16,0,,
Chronic myeloid leukemia,14,36.84,0,,
Sphingolipid signaling pathway,11,18.64,0,,
Cushing syndrome,19,36.54,0.0002,,
Gap junction,29,96.67,0.0003,,
Tight junction,72,83.72,0.0003,,
Viral life cycle - HIV-1,30,96.77,0.0003,,
TNF signaling pathway,21,39.62,0.0003,,
Ubiquitin mediated proteolysis,46,61.33,0.0003,,
Basal transcription factors,22,66.67,0.0003,,
Gastric cancer,23,48.94,0.0008,,
Prostate cancer,27,62.79,0.0008,,
Yersinia infection,12,18.75,0.0015,,
Signaling pathways regulating pluripotency of stem cells,9,18.75,0.0015,,
Huntington's disease,6,6.25,0.0017,,
Hepatitis C,33,42.86,0.0017,,
EGFR tyrosine kinase inhibitor resistance,10,26.32,0.0022,,
Insulin signaling pathway,11,16.42,0.0023,,
Small cell lung cancer,32,82.05,0.0024,,
Proteoglycans in cancer,9,11.84,0.0026,,
Estrogen signaling pathway,18,42.86,0.0029,,
Endocrine resistance,6,16.67,0.0038,,
Human papillomavirus infection,64,50.39,0.0037,,
Breast cancer,7,16.28,0.0039,,
Melanoma,26,100,0.0042,,
Influenza A,58,89.23,0.0047,,
Longevity regulating pathway,6,12.5,0.0046,,
Renal cell carcinoma,5,16.13,0.0046,,
Focal adhesion,9,11.69,0.0047,,
Human T-cell leukemia virus 1 infection,102,100,0.0053,,
Phosphatidylinositol signaling system,15,42.86,0.0054,,
Colorectal cancer,29,72.5,0.0056,,
Oocyte meiosis,50,100,0.0055,,
Herpes simplex virus 1 infection,125,96.9,0.0059,,
HIF-1 signaling pathway,12,27.91,0.0076,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4,50,0.0076,,
Inositol phosphate metabolism,14,45.16,0.0076,,
mRNA surveillance pathway,6,9.84,0.0079,,
cAMP signaling pathway,4,7.84,0.008,,
Relaxin signaling pathway,3,5.88,0.0081,,
AGE-RAGE signaling pathway in diabetic complications,4,8.51,0.0093,,
Arrhythmogenic right ventricular cardiomyopathy,5,26.32,0.0107,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",4,66.67,0.011,,
MCM complex,6,100,0.0114,,
Insulin resistance,4,7.14,0.0114,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),5,26.32,0.0115,,
Apelin signaling pathway,4,7.02,0.0122,,
Phospholipase D signaling pathway,3,6.12,0.0124,,
TGF-beta signaling pathway,29,54.72,0.0125,,
"Growth hormone synthesis, secretion and action",24,51.06,0.0128,,
Adrenergic signaling in cardiomyocytes,14,32.56,0.0127,,
Cellular senescence,62,83.78,0.0142,,
Progesterone-mediated oocyte maturation,42,100,0.0144,,
Hypertrophic cardiomyopathy (HCM),5,35.71,0.0158,,
Cell cycle - G1/S transition,4,66.67,0.0186,,
Jak-STAT signaling pathway,11,22.45,0.0234,,
Pancreatic cancer,7,17.95,0.0238,,
Glioma,4,14.29,0.0243,,
Hypertrophic cardiomyopathy,6,40,0.0245,,
Efferocytosis,30,47.62,0.0245,,
JAK-STAT signaling pathway,11,21.15,0.0256,,
Endocytosis,64,53.33,0.0293,,
AMPK signaling pathway,60,100,0.0304,,
MicroRNAs in cancer,53,94.64,0.0329,,
Herpes simplex infection,88,98.88,0.0344,,
Non-small cell lung cancer,10,32.26,0.036,,
Epstein-Barr virus infection,37,44.05,0.041,,
ErbB signaling pathway,7,24.14,0.0416,,
Thyroid hormone signaling pathway,8,13.33,0.0423,,
cGMP-PKG signaling pathway,4,6.56,0.0421,,
Survival motor neuron (SMN) complex,4,66.67,0.0428,,
Hematopoietic cell lineage,5,23.81,0.0456,,
Bacterial invasion of epithelial cells,4,11.43,0.0465,,
Chagas disease,16,37.21,0.048,,
Base excision repair,24,100,0.0488,,
RNA degradation,39,88.64,0.0491,,
Measles,31,57.41,0.0494,,
Dilated cardiomyopathy,5,33.33,0.05,,
Regulation of actin cytoskeleton,14,15.73,0.0513,,
Chagas disease (American trypanosomiasis),15,34.88,0.0515,,
Prolactin signaling pathway,5,16.67,0.0545,,
Human immunodeficiency virus 1 infection,44,53.01,0.0541,,
Lipid and atherosclerosis,18,22.5,0.0653,,
Endometrial cancer,3,11.54,0.0648,,
Toll-like receptor signaling pathway,3,7.32,0.0755,,
Cholinergic synapse,27,100,0.0776,,
C-type lectin receptor signaling pathway,5,14.29,0.077,,
Non-homologous end-joining,5,83.33,0.0851,,
ECM-receptor interaction,18,100,0.0924,,
Regulation of lipolysis in adipocytes,7,36.84,0.0933,,
Neutrophil extracellular trap formation,34,80.95,0.0982,,
Notch signaling pathway,2,9.52,0.1087,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,2,5.13,0.1093,,
Fructose and mannose metabolism,8,50,0.1229,,
COPII complex,2,25,0.1249,,
Platelet activation,2,4.26,0.1246,,
Glucagon signaling pathway,2,4.44,0.125,,
VEGF signaling pathway,2,10,0.1247,,
eIF4F complex,2,28.57,0.1244,,
Bladder cancer,2,11.11,0.1241,,
mTOR signaling pathway,2,3.39,0.1267,,
Sphingolipid metabolism,2,10.53,0.1264,,
B cell receptor signaling pathway,2,7.69,0.1254,,
