pathway,nums,percent,pvalue,,
Ribosome,92,92,0,,
"Ribosome, eukaryotes",66,100,0,,
Spliceosome,99,97.06,0,,
Coronavirus disease - COVID-19,111,94.87,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,56,100,0,,
RNA polymerase,21,95.45,0,,
Mismatch repair,22,100,0,,
Base excision repair,32,96.97,0,,
mRNA surveillance pathway,63,94.03,0,,
"Spliceosome, U2-snRNP",19,100,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Cell cycle,129,99.23,0,,
Homologous recombination,30,96.77,0,,
Polycomb repressive complex,62,98.41,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Nucleocytoplasmic transport,82,98.8,0,,
RNA transport,113,98.26,0,,
Nucleotide excision repair,42,100,0.0001,,
BRCA1-associated genome surveillance complex (BASC),15,100,0.0001,,
RNA degradation,43,93.48,0.0001,,
"Spliceosome, U1-snRNP",9,100,0.0002,,
"RNA polymerase II, eukaryotes",6,100,0.0002,,
Herpes simplex infection,93,98.94,0.0002,,
Sm core complex,7,100,0.0015,,
Exon junction complex (EJC),16,100,0.003,,
Basal transcription factors,39,100,0.0033,,
MCM complex,6,100,0.0044,,
Fanconi anemia pathway,28,87.5,0.0045,,
"RNA polymerase I, eukaryotes",7,100,0.0063,,
RF-C complex,5,100,0.0075,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0159,,
Nuclear pore complex,30,100,0.0279,,
DNA damage-induced cell cycle checkpoints,7,100,0.0283,,
"RNA polymerase III, eukaryotes",11,100,0.0318,,
Cell cycle - G2/M transition,7,100,0.0324,,
FA core complex,6,100,0.0336,,
"Exosome, eukaryotes",6,100,0.038,,
Pyrimidine metabolism,69,97.18,0.0396,,
Non-homologous end-joining,6,100,0.0458,,
Purine metabolism,93,96.88,0.0471,,
Systemic lupus erythematosus,10,83.33,0.0542,,
Glycolysis / Gluconeogenesis,27,87.1,0.0632,,
Nitrogen metabolism,5,83.33,0.0651,,
BMP signaling,8,72.73,0.0784,,
Shelterin complex,5,100,0.1173,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.115,,
Pyruvate metabolism,23,79.31,0.1158,,
Citrate cycle (TCA cycle),21,100,0.134,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.1355,,
Oocyte meiosis,74,94.87,0.1331,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1391,,
Cytosolic DNA-sensing pathway,30,93.75,0.1397,,
Viral life cycle - HIV-1,30,88.24,0.1676,,
One carbon pool by folate,12,92.31,0.1918,,
Central carbon metabolism in cancer,28,66.67,0.1936,,
Carbon metabolism,62,91.18,0.1938,,
Tyrosine metabolism,13,76.47,0.1932,,
Amyotrophic lateral sclerosis,175,90.67,0.1922,,
Huntington's disease,102,94.44,0.1939,,
Antifolate resistance,14,93.33,0.2048,,
Fructose and mannose metabolism,11,61.11,0.2255,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.2313,,
Cytochrome bc1 complex,7,100,0.2468,,
Arginine and proline metabolism,16,59.26,0.2511,,
Origin recognition complex,6,100,0.2809,,
TREX complex,8,100,0.2859,,
Chemical carcinogenesis - reactive oxygen species,109,89.34,0.2859,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.2852,,
Methionine degradation,5,83.33,0.29,,
Cysteine and methionine metabolism,26,92.86,0.2983,,
Chemical carcinogenesis - receptor activation,100,98.04,0.308,,
Phenylalanine metabolism,10,100,0.3102,,
Transcriptional misregulation in cancer,91,98.91,0.3127,,
Progesterone-mediated oocyte maturation,64,95.52,0.3109,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.3806,,
IL-17 signaling pathway,36,90,0.3953,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.4144,,
Glyoxylate and dicarboxylate metabolism,17,85,0.4187,,
Drug metabolism - cytochrome P450,17,73.91,0.4258,,
Glutathione metabolism,33,82.5,0.4315,,
Biosynthesis of amino acids,39,92.86,0.4421,,
Drug metabolism - other enzymes,37,92.5,0.4808,,
Metabolic pathways,568,98.1,0.4786,,
Metabolism of xenobiotics by cytochrome P450,21,80.77,0.4866,,
Platinum drug resistance,51,87.93,0.4971,,
Fluid shear stress and atherosclerosis,66,79.52,0.5077,,
Glucagon signaling pathway,45,88.24,0.5034,,
Prostate cancer,56,93.33,0.511,,
Triacylglycerol biosynthesis,9,100,0.5127,,
"Proteasome, 20S core particle",9,100,0.514,,
Thyroid cancer,18,85.71,0.5351,,
BER complex,8,100,0.576,,
Pentose phosphate pathway,9,69.23,0.6001,,
Selenocompound metabolism,11,100,0.6062,,
Proteasome,24,80,0.607,,
Legionellosis,20,83.33,0.604,,
Bladder cancer,20,83.33,0.6266,,
"C1-unit interconversion, eukaryotes",6,100,0.6218,,
2-Oxocarboxylic acid metabolism,20,100,0.6445,,
Th17 cell differentiation,47,95.92,0.6561,,
Nucleotide metabolism,43,91.49,0.6622,,
Ubiquitin mediated proteolysis,86,97.73,0.6592,,
Survival motor neuron (SMN) complex,8,100,0.6618,,
Cell cycle - G1/S transition,12,100,0.6596,,
Holo-TFIIH complex,10,100,0.6704,,
beta-Alanine metabolism,13,68.42,0.6911,,
Signaling pathways regulating pluripotency of stem cells,72,91.14,0.705,,
Sulfur metabolism,9,100,0.7154,,
Parkinson's disease,67,89.33,0.7174,,
Neutrophil extracellular trap formation,48,84.21,0.7772,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.7928,,
Endometrial cancer,28,82.35,0.7862,,
"F-type ATPase, eukaryotes",5,83.33,0.7843,,
Amyotrophic lateral sclerosis (ALS),24,77.42,0.7849,,
Chemical carcinogenesis - DNA adducts,15,75,0.7911,,
Immunoproteasome,14,100,0.7955,,
Methionine salvage pathway,5,100,0.821,,
"Alanine, aspartate and glutamate metabolism",21,91.3,0.8167,,
NOD-like receptor signaling pathway,84,88.42,0.8266,,
Inositol phosphate metabolism,36,78.26,0.8478,,
Retinol metabolism,10,100,0.8607,,
