pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
Ribosome biogenesis in eukaryotes,52,92.86,0,,
DNA replication,33,100,0,,
Homologous recombination,31,100,0,,
Mismatch repair,22,100,0,,
mRNA surveillance pathway,61,91.04,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Fanconi anemia pathway,29,90.62,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
"Spliceosome, U2-snRNP",18,94.74,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Base excision repair,33,100,0,,
Polycomb repressive complex,62,98.41,0,,
Nuclear pore complex,30,100,0.0001,,
Nucleotide excision repair,42,100,0.0001,,
RNA degradation,43,93.48,0.0001,,
"Alanine, aspartate and glutamate metabolism",20,86.96,0.0001,,
MCM complex,6,100,0.0003,,
"Spliceosome, U1-snRNP",9,100,0.0012,,
Exon junction complex (EJC),16,100,0.0013,,
Origin recognition complex,6,100,0.0019,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.002,,
Herpes simplex infection,92,97.87,0.0019,,
RNA polymerase,20,90.91,0.0024,,
FA core complex,6,100,0.0035,,
Cell cycle - G2/M transition,7,100,0.0056,,
Cell cycle,129,99.23,0.0077,,
RF-C complex,5,100,0.0102,,
Sm core complex,7,100,0.0124,,
"RNA polymerase II, eukaryotes",6,100,0.0135,,
DNA damage-induced cell cycle checkpoints,7,100,0.0169,,
"RNA polymerase I, eukaryotes",7,100,0.0189,,
Basal transcription factors,39,100,0.0243,,
Non-homologous end-joining,6,100,0.0249,,
Immunoproteasome,14,100,0.0249,,
Methionine degradation,6,100,0.0281,,
RNA transport,113,98.26,0.0325,,
Aminoacyl-tRNA biosynthesis,28,96.55,0.0329,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",25,100,0.0347,,
"Exosome, eukaryotes",6,100,0.0344,,
Systemic lupus erythematosus,10,83.33,0.0369,,
Glycolysis / Gluconeogenesis,27,87.1,0.0382,,
Primary immunodeficiency,6,85.71,0.0563,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0587,,
Pentose phosphate pathway,8,61.54,0.08,,
Fructose and mannose metabolism,11,61.11,0.0843,,
Shelterin complex,5,100,0.1004,,
One carbon pool by folate,11,84.62,0.1255,,
"RNA polymerase III, eukaryotes",11,100,0.1597,,
Biosynthesis of amino acids,38,90.48,0.1697,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.1851,,
Nitrogen metabolism,5,83.33,0.1862,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",2,25,0.1939,,
Viral life cycle - HIV-1,31,91.18,0.2016,,
Nucleocytoplasmic transport,82,98.8,0.2549,,
Central carbon metabolism in cancer,28,66.67,0.2557,,
Arginine biosynthesis,9,100,0.2561,,
Pyrimidine metabolism,68,95.77,0.2779,,
Pyruvate metabolism,21,72.41,0.2733,,
Mineral absorption,7,50,0.2887,,
TREX complex,8,100,0.2854,,
Antifolate resistance,13,86.67,0.2885,,
Tyrosine metabolism,12,70.59,0.3028,,
Carbon metabolism,60,88.24,0.3254,,
Progesterone-mediated oocyte maturation,64,95.52,0.3569,,
Phenylalanine metabolism,10,100,0.3665,,
"Gluconeogenesis, oxaloacetate => fructose-6P",7,87.5,0.3844,,
Vitamin B6 metabolism,5,100,0.4519,,
"C1-unit interconversion, eukaryotes",6,100,0.4917,,
Antigen processing and presentation,23,95.83,0.5023,,
Cysteine and methionine metabolism,25,89.29,0.5114,,
Holo-TFIIH complex,10,100,0.5211,,
Purine metabolism,94,97.92,0.6008,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.5953,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,0.6297,,
Lipoic acid metabolism,11,100,0.6417,,
Proteasome,30,100,0.653,,
BER complex,8,100,0.6703,,
Transcriptional misregulation in cancer,91,98.91,0.7177,,
Arginine and proline metabolism,15,55.56,0.7126,,
Chemical carcinogenesis - receptor activation,99,97.06,0.7104,,
Notch signaling pathway,26,78.79,0.7108,,
"Proteasome, 20S core particle",9,100,0.7039,,
Oocyte meiosis,73,93.59,0.7222,,
Survival motor neuron (SMN) complex,8,100,0.7314,,
"Glycine, serine and threonine metabolism",18,90,0.7779,,
Cytosolic DNA-sensing pathway,30,93.75,0.7697,,
Glycerolipid metabolism,14,56,0.7619,,
Wnt signaling,13,100,0.8132,,
Propanoate metabolism,19,79.17,0.8367,,
Signaling pathways regulating pluripotency of stem cells,76,96.2,0.8431,,
NOD-like receptor signaling pathway,87,91.58,0.8396,,
Proximal tubule bicarbonate reclamation,14,100,0.8629,,
Drug metabolism - other enzymes,31,77.5,0.8548,,
Staphylococcus aureus infection,14,100,0.8907,,
Estrogen signaling pathway,54,84.38,0.8925,,
Type II diabetes mellitus,14,77.78,0.9183,,
Thyroid cancer,17,80.95,0.934,,
Inositol phosphate metabolism,33,71.74,0.928,,
IL-17 signaling pathway,36,90,0.9212,,
Retinol metabolism,9,90,0.9306,,
