pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,56,100,0,,
Mismatch repair,22,100,0,,
Base excision repair,31,93.94,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Polycomb repressive complex,62,98.41,0,,
mRNA surveillance pathway,62,92.54,0,,
"Ribosome, eukaryotes",66,100,0,,
Homologous recombination,30,96.77,0,,
"Spliceosome, U2-snRNP",19,100,0,,
Ribosome,89,89,0,,
RNA polymerase,21,95.45,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Nucleocytoplasmic transport,81,97.59,0.0001,,
Coronavirus disease - COVID-19,111,94.87,0.0001,,
Cell cycle,129,99.23,0.0001,,
RNA degradation,43,93.48,0.0003,,
"Spliceosome, U1-snRNP",9,100,0.0004,,
RNA transport,113,98.26,0.0005,,
Nucleotide excision repair,42,100,0.0012,,
Fanconi anemia pathway,28,87.5,0.0019,,
Exon junction complex (EJC),16,100,0.0027,,
Sm core complex,7,100,0.0029,,
MCM complex,6,100,0.0048,,
RF-C complex,5,100,0.0052,,
FA core complex,6,100,0.0057,,
"RNA polymerase I, eukaryotes",7,100,0.0065,,
Herpes simplex infection,93,98.94,0.0084,,
"RNA polymerase II, eukaryotes",6,100,0.0084,,
Cell cycle - G2/M transition,7,100,0.009,,
DNA damage-induced cell cycle checkpoints,7,100,0.018,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0188,,
"RNA polymerase III, eukaryotes",11,100,0.0184,,
"Exosome, eukaryotes",6,100,0.0299,,
Non-homologous end-joining,6,100,0.033,,
Nuclear pore complex,30,100,0.0336,,
Glycolysis / Gluconeogenesis,27,87.1,0.0573,,
Methionine degradation,6,100,0.0901,,
Shelterin complex,5,100,0.0954,,
Basal transcription factors,39,100,0.0931,,
Viral life cycle - HIV-1,30,88.24,0.1513,,
Drug metabolism - cytochrome P450,18,78.26,0.1482,,
Tyrosine metabolism,13,76.47,0.1691,,
BMP signaling,8,72.73,0.1657,,
Pyruvate metabolism,22,75.86,0.1894,,
Systemic lupus erythematosus,10,83.33,0.1891,,
Fructose and mannose metabolism,12,66.67,0.2014,,
Origin recognition complex,6,100,0.217,,
Cytosolic DNA-sensing pathway,30,93.75,0.2407,,
Central carbon metabolism in cancer,28,66.67,0.2562,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.2575,,
TREX complex,8,100,0.2783,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.313,,
Phenylalanine metabolism,10,100,0.3159,,
Arginine and proline metabolism,15,55.56,0.3133,,
Chemical carcinogenesis - receptor activation,100,98.04,0.3555,,
Purine metabolism,94,97.92,0.3574,,
Metabolism of xenobiotics by cytochrome P450,22,84.62,0.372,,
Chemical carcinogenesis - DNA adducts,16,80,0.3768,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.3902,,
Progesterone-mediated oocyte maturation,65,97.01,0.4272,,
Transcriptional misregulation in cancer,91,98.91,0.4547,,
Cysteine and methionine metabolism,26,92.86,0.4686,,
Inositol phosphate metabolism,36,78.26,0.4992,,
Carbon metabolism,62,91.18,0.5266,,
One carbon pool by folate,12,92.31,0.5308,,
Biosynthesis of amino acids,38,90.48,0.5244,,
Triacylglycerol biosynthesis,9,100,0.523,,
Nitrogen metabolism,5,83.33,0.5661,,
Primary immunodeficiency,6,85.71,0.5775,,
Platinum drug resistance,52,89.66,0.5835,,
Pyrimidine metabolism,70,98.59,0.6293,,
Glutathione metabolism,34,85,0.6221,,
Pentose phosphate pathway,8,61.54,0.6194,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.6246,,
Thyroid cancer,17,80.95,0.6635,,
Retinol metabolism,10,100,0.6698,,
Glycerolipid metabolism,19,76,0.6705,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.6729,,
Holo-TFIIH complex,10,100,0.6664,,
Citrate cycle (TCA cycle),21,100,0.7193,,
Glyoxylate and dicarboxylate metabolism,17,85,0.7194,,
Bladder cancer,20,83.33,0.7308,,
Signaling pathways regulating pluripotency of stem cells,75,94.94,0.7345,,
BER complex,8,100,0.7297,,
Antifolate resistance,14,93.33,0.7357,,
"C1-unit interconversion, eukaryotes",6,100,0.7993,,
Drug metabolism - other enzymes,36,90,0.8031,,
Glucagon signaling pathway,44,86.27,0.7971,,
African trypanosomiasis,10,71.43,0.8118,,
beta-Alanine metabolism,14,73.68,0.8098,,
Selenocompound metabolism,11,100,0.8187,,
"Alanine, aspartate and glutamate metabolism",20,86.96,0.8226,,
Chemical carcinogenesis - reactive oxygen species,98,80.33,0.8359,,
Activin signaling,6,100,0.9009,,
Endometrial cancer,28,82.35,0.9249,,
Sulfur metabolism,9,100,0.9261,,
Survival motor neuron (SMN) complex,8,100,0.9412,,
Oocyte meiosis,75,96.15,0.9572,,
Legionellosis,20,83.33,0.9494,,
Methionine salvage pathway,5,100,0.975,,
Prostate cancer,55,91.67,0.9827,,
IL-17 signaling pathway,35,87.5,0.98,,
RIG-I-like receptor signaling pathway,28,90.32,0.9876,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.9877,,
Antigen processing and presentation,21,87.5,1,,
Cytochrome bc1 complex,6,85.71,1,,
Cell cycle - G1/S transition,12,100,1,,
THC complex,5,100,1,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,1,,
Amyotrophic lateral sclerosis (ALS),24,77.42,1,,
Lipoic acid metabolism,11,100,1,,
Fat digestion and absorption,12,100,1,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,1,,
Acute myeloid leukemia,37,92.5,1,,
2-Oxocarboxylic acid metabolism,20,100,1,,
N-glycan precursor biosynthesis,7,100,1,,
Arginine biosynthesis,9,100,0.9975,,
Peroxisome,31,77.5,0.9984,,
Proximal tubule bicarbonate reclamation,9,64.29,0.9941,,
Mineral absorption,6,42.86,1,,
Propanoate metabolism,19,79.17,0.996,,
Histidine metabolism,11,100,0.9928,,
Colorectal cancer,51,91.07,0.9908,,
Breast cancer,67,93.06,1,,
Aminoacyl-tRNA biosynthesis,28,96.55,1,,
Staphylococcus aureus infection,12,85.71,1,,
Phosphatidylinositol signaling system,43,75.44,1,,
"Glycine, serine and threonine metabolism",18,90,0.9985,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,0.9925,,
Huntington's disease,89,82.41,0.9902,,
ECM-receptor interaction,15,34.88,0.9883,,
APC/C complex,12,100,0.9946,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",23,92,0.9926,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9969,,
Longevity regulating pathway - multiple species,28,71.79,0.9917,,
Fluid shear stress and atherosclerosis,70,84.34,0.9891,,
ATP-dependent chromatin remodeling,69,100,0.9846,,
NOD-like receptor signaling pathway,83,87.37,0.9823,,
eIF4F complex,7,100,0.9785,,
Estrogen signaling pathway,54,84.38,0.9737,,
Nucleotide metabolism,45,95.74,0.9772,,
Herpes simplex virus 1 infection,149,98.68,0.9723,,
Basal cell carcinoma,18,75,0.9691,,
Type II diabetes mellitus,14,77.78,0.9632,,
Hippo signaling,12,100,0.9569,,
Ubiquinone and other terpenoid-quinone biosynthesis,5,100,0.97,,
Leishmaniasis,27,84.38,1,,
Th17 cell differentiation,47,95.92,0.9998,,
