pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,56,100,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Mismatch repair,22,100,0,,
"Spliceosome, U2-snRNP",19,100,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Homologous recombination,31,100,0,,
Nucleocytoplasmic transport,82,98.8,0,,
mRNA surveillance pathway,62,92.54,0,,
Base excision repair,33,100,0,,
RNA polymerase,20,90.91,0,,
Fanconi anemia pathway,29,90.62,0.0001,,
BRCA1-associated genome surveillance complex (BASC),15,100,0.0002,,
"Spliceosome, U1-snRNP",9,100,0.0002,,
RNA transport,113,98.26,0.0003,,
Polycomb repressive complex,62,98.41,0.0004,,
"RNA polymerase II, eukaryotes",6,100,0.0009,,
RNA degradation,42,91.3,0.0009,,
Pyrimidine metabolism,69,97.18,0.0008,,
Sm core complex,7,100,0.0014,,
MCM complex,6,100,0.0015,,
Nucleotide excision repair,40,95.24,0.0019,,
"RNA polymerase I, eukaryotes",7,100,0.0095,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.01,,
Exon junction complex (EJC),14,87.5,0.0099,,
Nuclear pore complex,30,100,0.0096,,
Cell cycle - G2/M transition,7,100,0.0104,,
"RNA polymerase III, eukaryotes",11,100,0.0105,,
FA core complex,6,100,0.0106,,
Purine metabolism,94,97.92,0.0111,,
Cytochrome bc1 complex,7,100,0.0113,,
RF-C complex,5,100,0.0114,,
Cell cycle,129,99.23,0.0115,,
Basal transcription factors,39,100,0.0128,,
"Exosome, eukaryotes",6,100,0.0133,,
DNA damage-induced cell cycle checkpoints,7,100,0.02,,
Non-homologous end-joining,6,100,0.0284,,
"Alanine, aspartate and glutamate metabolism",19,82.61,0.0282,,
Systemic lupus erythematosus,10,83.33,0.0353,,
2-Oxocarboxylic acid metabolism,20,100,0.0441,,
Origin recognition complex,6,100,0.0549,,
Herpes simplex infection,93,98.94,0.0685,,
Glycolysis / Gluconeogenesis,27,87.1,0.0766,,
Tyrosine metabolism,12,70.59,0.089,,
Methionine degradation,6,100,0.0981,,
Shelterin complex,5,100,0.1223,,
Glyoxylate and dicarboxylate metabolism,16,80,0.1217,,
Biosynthesis of amino acids,39,92.86,0.1248,,
Lipoic acid metabolism,11,100,0.1522,,
One carbon pool by folate,12,92.31,0.1677,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.1769,,
Cysteine and methionine metabolism,25,89.29,0.1892,,
Viral life cycle - HIV-1,30,88.24,0.2371,,
Arginine and proline metabolism,15,55.56,0.2343,,
Carbon metabolism,61,89.71,0.2314,,
Phenylalanine metabolism,10,100,0.2278,,
Triacylglycerol biosynthesis,9,100,0.2322,,
Antifolate resistance,13,86.67,0.2703,,
Fructose and mannose metabolism,12,66.67,0.2706,,
Pyruvate metabolism,22,75.86,0.3221,,
Central carbon metabolism in cancer,29,69.05,0.3171,,
Nitrogen metabolism,5,83.33,0.3345,,
TREX complex,8,100,0.3567,,
"F-type ATPase, eukaryotes",3,50,0.3828,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.3936,,
Ribosome,89,89,0.391,,
"C1-unit interconversion, eukaryotes",6,100,0.4034,,
Citrate cycle (TCA cycle),21,100,0.4008,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.4216,,
Aminoacyl-tRNA biosynthesis,28,96.55,0.4204,,
"Ribosome, eukaryotes",64,96.97,0.444,,
Retinol metabolism,9,90,0.4542,,
Chemical carcinogenesis - receptor activation,99,97.06,0.4903,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.4844,,
Cytosolic DNA-sensing pathway,30,93.75,0.5036,,
Signaling pathways regulating pluripotency of stem cells,75,94.94,0.5076,,
Staphylococcus aureus infection,13,92.86,0.5465,,
Progesterone-mediated oocyte maturation,65,97.01,0.5551,,
"Glycine, serine and threonine metabolism",18,90,0.5715,,
Antigen processing and presentation,20,83.33,0.5748,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.5776,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.5748,,
Transcriptional misregulation in cancer,91,98.91,0.6022,,
BER complex,8,100,0.6055,,
Ubiquinone and other terpenoid-quinone biosynthesis,5,100,0.5994,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",23,92,0.5976,,
Primary immunodeficiency,6,85.71,0.6349,,
Inositol phosphate metabolism,34,73.91,0.6521,,
Proteasome,23,76.67,0.6481,,
beta-Alanine metabolism,12,63.16,0.6427,,
Methionine salvage pathway,5,100,0.665,,
Coronavirus disease - COVID-19,109,93.16,0.662,,
Nucleotide metabolism,44,93.62,0.7284,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.7296,,
Metabolic pathways,571,98.62,0.7234,,
Holo-TFIIH complex,10,100,0.7501,,
Pentose phosphate pathway,8,61.54,0.7428,,
Survival motor neuron (SMN) complex,8,100,0.7412,,
Drug metabolism - other enzymes,35,87.5,0.788,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.8637,,
Oocyte meiosis,73,93.59,0.8588,,
Glycerolipid metabolism,19,76,0.8589,,
Thyroid cancer,18,85.71,0.8509,,
Activin signaling,6,100,0.8794,,
Fat digestion and absorption,12,100,0.9349,,
Prion diseases,13,61.9,0.936,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.9556,,
Selenocompound metabolism,11,100,0.9551,,
Bladder cancer,20,83.33,0.9846,,
Colorectal cancer,52,92.86,0.9842,,
Amyotrophic lateral sclerosis,176,91.19,0.9767,,
Amyotrophic lateral sclerosis (ALS),24,77.42,0.9781,,
Legionellosis,22,91.67,0.9845,,
"Proteasome, 20S core particle",9,100,1,,
"Guanine ribonucleotide biosynthesis IMP => GDP,GTP",8,88.89,1,,
Biosynthesis of cofactors,64,88.89,1,,
"Gluconeogenesis, oxaloacetate => fructose-6P",7,87.5,1,,
Immunoproteasome,14,100,0.9986,,
Endometrial cancer,29,85.29,1,,
Huntington's disease,99,91.67,1,,
Acute myeloid leukemia,37,92.5,1,,
Drug metabolism - cytochrome P450,17,73.91,1,,
Glutathione metabolism,32,80,1,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,1,,
Hepatitis C,78,95.12,1,,
Glucagon signaling pathway,45,88.24,1,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,1,,
Parkinson's disease,65,86.67,1,,
IL-17 signaling pathway,35,87.5,1,,
Histidine metabolism,11,100,1,,
Peroxisome,31,77.5,1,,
Biosynthesis of nucleotide sugars,17,77.27,1,,
Type II diabetes mellitus,14,77.78,1,,
Folate biosynthesis,11,100,1,,
Arginine biosynthesis,9,100,1,,
Estrogen signaling pathway,55,85.94,1,,
Sulfur metabolism,8,88.89,1,,
N-glycan precursor biosynthesis,7,100,1,,
Prostate cancer,56,93.33,1,,
APC/C complex,12,100,1,,
Propanoate metabolism,18,75,1,,
Thiamine metabolism,7,100,1,,
NOD-like receptor signaling pathway,85,89.47,1,,
Longevity regulating pathway - multiple species,27,69.23,1,,
Nicotine addiction,5,100,1,,
Breast cancer,65,90.28,1,,
Hippo signaling,12,100,1,,
ErbB signaling pathway,37,72.55,1,,
Gastric cancer,64,88.89,1,,
Neuroactive ligand-receptor interaction,43,89.58,1,,
Hippo signaling pathway -multiple species,15,88.24,0.999,,
Hippo signaling pathway - multiple species,15,88.24,0.9932,,
Leishmaniasis,25,78.12,0.998,,
Th17 cell differentiation,45,91.84,0.9998,,
