pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome biogenesis in eukaryotes,56,100,0,,
Ribosome,91,91,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Mismatch repair,22,100,0,,
RNA polymerase,20,90.91,0,,
Polycomb repressive complex,62,98.41,0,,
Homologous recombination,30,96.77,0,,
RNA transport,113,98.26,0,,
"Ribosome, eukaryotes",66,100,0,,
Base excision repair,32,96.97,0,,
mRNA surveillance pathway,62,92.54,0,,
"Spliceosome, U2-snRNP",19,100,0,,
Coronavirus disease - COVID-19,111,94.87,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
Nucleocytoplasmic transport,82,98.8,0,,
Fanconi anemia pathway,28,87.5,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0.0001,,
Cell cycle,129,99.23,0.0001,,
"Spliceosome, U1-snRNP",9,100,0.0002,,
Nucleotide excision repair,40,95.24,0.0003,,
Basal transcription factors,39,100,0.0003,,
RNA degradation,43,93.48,0.0003,,
Sm core complex,7,100,0.0004,,
"RNA polymerase I, eukaryotes",7,100,0.0004,,
"RNA polymerase II, eukaryotes",6,100,0.0004,,
Herpes simplex infection,93,98.94,0.0008,,
MCM complex,6,100,0.0009,,
Cytochrome bc1 complex,7,100,0.0015,,
Nuclear pore complex,30,100,0.0026,,
Exon junction complex (EJC),16,100,0.003,,
"RNA polymerase III, eukaryotes",11,100,0.0031,,
RF-C complex,5,100,0.0076,,
"Exosome, eukaryotes",6,100,0.0111,,
THC complex,5,100,0.0166,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0167,,
DNA damage-induced cell cycle checkpoints,7,100,0.0166,,
Cell cycle - G2/M transition,7,100,0.0202,,
FA core complex,6,100,0.0205,,
Proteasome,24,80,0.0228,,
Pyrimidine metabolism,68,95.77,0.0355,,
Non-homologous end-joining,6,100,0.0402,,
Systemic lupus erythematosus,10,83.33,0.0671,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.0692,,
Glycolysis / Gluconeogenesis,23,74.19,0.072,,
Methionine degradation,6,100,0.0713,,
Purine metabolism,94,97.92,0.0914,,
"Proteasome, 20S core particle",9,100,0.1139,,
Shelterin complex,5,100,0.1297,,
Nitrogen metabolism,5,83.33,0.1412,,
2-Oxocarboxylic acid metabolism,20,100,0.1573,,
Viral life cycle - HIV-1,30,88.24,0.1731,,
Tyrosine metabolism,13,76.47,0.1886,,
"Alanine, aspartate and glutamate metabolism",18,78.26,0.1872,,
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",6,100,0.1865,,
Cysteine and methionine metabolism,26,92.86,0.2272,,
Cytosolic DNA-sensing pathway,30,93.75,0.2283,,
Drug metabolism - cytochrome P450,18,78.26,0.2266,,
One carbon pool by folate,12,92.31,0.2525,,
Central carbon metabolism in cancer,29,69.05,0.2549,,
TREX complex,8,100,0.2693,,
Arginine and proline metabolism,16,59.26,0.2705,,
Oocyte meiosis,73,93.59,0.2716,,
Huntington's disease,100,92.59,0.2701,,
Pyruvate metabolism,22,75.86,0.2714,,
Phenylalanine metabolism,10,100,0.2678,,
"F-type ATPase, eukaryotes",4,66.67,0.2825,,
Antifolate resistance,13,86.67,0.2785,,
BMP signaling,8,72.73,0.2859,,
Chemical carcinogenesis - receptor activation,100,98.04,0.2844,,
Transcriptional misregulation in cancer,91,98.91,0.2973,,
Citrate cycle (TCA cycle),21,100,0.3466,,
Immunoproteasome,14,100,0.3578,,
Glyoxylate and dicarboxylate metabolism,16,80,0.389,,
Origin recognition complex,6,100,0.3868,,
eIF4F complex,7,100,0.3818,,
Holo-TFIIH complex,10,100,0.4022,,
Triacylglycerol biosynthesis,9,100,0.3973,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.3939,,
Thyroid cancer,17,80.95,0.4425,,
Retinol metabolism,10,100,0.4402,,
IL-17 signaling pathway,36,90,0.4904,,
Signaling pathways regulating pluripotency of stem cells,75,94.94,0.493,,
Progesterone-mediated oocyte maturation,65,97.01,0.5158,,
Amyotrophic lateral sclerosis,177,91.71,0.5202,,
Biosynthesis of amino acids,33,78.57,0.5301,,
Bladder cancer,20,83.33,0.5358,,
Prostate cancer,56,93.33,0.5335,,
Survival motor neuron (SMN) complex,8,100,0.5279,,
Carbon metabolism,55,80.88,0.5279,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.5247,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.52,,
Drug metabolism - other enzymes,36,90,0.531,,
BER complex,8,100,0.5297,,
Lipoic acid metabolism,11,100,0.5344,,
Chemical carcinogenesis - reactive oxygen species,109,89.34,0.5446,,
Platinum drug resistance,53,91.38,0.581,,
Glutathione metabolism,34,85,0.6014,,
Primary immunodeficiency,6,85.71,0.6277,,
"C1-unit interconversion, eukaryotes",6,100,0.6226,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.6256,,
beta-Alanine metabolism,13,68.42,0.6324,,
Selenocompound metabolism,11,100,0.6539,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.6598,,
Endometrial cancer,28,82.35,0.6638,,
Amyotrophic lateral sclerosis (ALS),24,77.42,0.7051,,
Legionellosis,21,87.5,0.7016,,
Inositol phosphate metabolism,37,80.43,0.7078,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.7161,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",24,96,0.7138,,
Proximal tubule bicarbonate reclamation,7,50,0.7108,,
Aminoacyl-tRNA biosynthesis,28,96.55,0.7202,,
Methionine salvage pathway,5,100,0.7155,,
Th17 cell differentiation,47,95.92,0.7141,,
Parkinson's disease,66,88,0.709,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.7282,,
Metabolism of xenobiotics by cytochrome P450,22,84.62,0.7229,,
NOD-like receptor signaling pathway,83,87.37,0.7297,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.7539,,
Glycerolipid metabolism,19,76,0.7711,,
Activin signaling,6,100,0.7682,,
Metabolic pathways,569,98.27,0.7752,,
"Glycine, serine and threonine metabolism",18,90,0.777,,
Glucagon signaling pathway,44,86.27,0.8041,,
Breast cancer,66,91.67,0.8307,,
Fluid shear stress and atherosclerosis,75,90.36,0.8427,,
Colorectal cancer,51,91.07,0.8596,,
Cell cycle - G1/S transition,12,100,0.8655,,
Nucleotide metabolism,44,93.62,0.9026,,
Antigen processing and presentation,21,87.5,0.8984,,
Oxidative phosphorylation,60,86.96,0.9039,,
Ubiquinone and other terpenoid-quinone biosynthesis,5,100,0.9426,,
Hepatitis C,77,93.9,0.9594,,
Acute myeloid leukemia,36,90,0.9715,,
RIG-I-like receptor signaling pathway,28,90.32,0.9688,,
Fructose and mannose metabolism,18,100,0.9714,,
Spinocerebellar ataxia,72,88.89,0.9716,,
Gastric cancer,64,88.89,1,,
Chemical carcinogenesis - DNA adducts,16,80,1,,
Peroxisome,31,77.5,1,,
Staphylococcus aureus infection,13,92.86,1,,
Huntington disease,149,92.55,1,,
African trypanosomiasis,11,78.57,1,,
Hepatocellular carcinoma,94,93.07,1,,
ATP-dependent chromatin remodeling,69,100,1,,
Sulfur metabolism,9,100,1,,
Herpes simplex virus 1 infection,149,98.68,1,,
NF-kappa B signaling pathway,48,90.57,1,,
Histidine metabolism,11,100,1,,
Prion diseases,14,66.67,1,,
Longevity regulating pathway - multiple species,28,71.79,0.9958,,
Parkinson disease,128,90.14,0.9897,,
HTLV-I infection,149,99.33,0.9867,,
Cytochrome c oxidase,14,100,0.9809,,
Chronic myeloid leukemia,50,92.59,0.9805,,
Fat digestion and absorption,12,100,0.9782,,
Folate biosynthesis,8,72.73,0.9737,,
APC/C complex,12,100,0.9722,,
Ubiquitin mediated proteolysis,86,97.73,0.9662,,
N-glycan precursor biosynthesis,7,100,0.961,,
Arginine biosynthesis,9,100,0.9569,,
Type II diabetes mellitus,15,83.33,0.9537,,
ECM-receptor interaction,15,34.88,0.9545,,
Lipid and atherosclerosis,91,91.92,0.9537,,
Estrogen signaling pathway,54,84.38,0.9577,,
Propanoate metabolism,18,75,0.972,,
Basal cell carcinoma,18,75,0.9723,,
Glycerophospholipid metabolism,29,61.7,0.9721,,
Thiamine metabolism,7,100,0.9787,,
Hippo signaling,12,100,1,,
ErbB signaling pathway,38,74.51,1,,
Leishmaniasis,28,87.5,1,,
Hippo signaling pathway -multiple species,15,88.24,1,,
Hippo signaling pathway - multiple species,15,88.24,0.9959,,
