pathway,nums,percent,pvalue,,
Spliceosome,99,97.06,0,,
DNA replication,33,100,0,,
Ribosome,92,92,0,,
"Ribosome, eukaryotes",65,98.48,0,,
Ribosome biogenesis in eukaryotes,56,100,0,,
Coronavirus disease - COVID-19,109,93.16,0,,
Mismatch repair,22,100,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Base excision repair,32,96.97,0,,
Homologous recombination,31,100,0,,
mRNA surveillance pathway,62,92.54,0,,
Fanconi anemia pathway,30,93.75,0,,
"Spliceosome, 35S U5-snRNP",24,92.31,0,,
BRCA1-associated genome surveillance complex (BASC),15,100,0,,
Nucleocytoplasmic transport,82,98.8,0,,
"Spliceosome, U2-snRNP",19,100,0,,
"Spliceosome, U1-snRNP",9,100,0.0001,,
RNA transport,113,98.26,0.0002,,
RNA polymerase,20,90.91,0.0003,,
Pyrimidine metabolism,69,97.18,0.0004,,
RNA degradation,42,91.3,0.0006,,
Origin recognition complex,6,100,0.0007,,
MCM complex,6,100,0.001,,
Sm core complex,7,100,0.0017,,
Nucleotide excision repair,39,92.86,0.0016,,
Nuclear pore complex,30,100,0.0031,,
Exon junction complex (EJC),14,87.5,0.0043,,
Cell cycle - G2/M transition,7,100,0.0066,,
"RNA polymerase II, eukaryotes",6,100,0.0069,,
Polycomb repressive complex,62,98.41,0.009,,
Biosynthesis of amino acids,38,90.48,0.0092,,
RF-C complex,5,100,0.0094,,
Cell cycle,129,99.23,0.0111,,
Purine metabolism,94,97.92,0.0143,,
DNA damage-induced cell cycle checkpoints,7,100,0.0182,,
"RNA polymerase III, eukaryotes",11,100,0.02,,
FA core complex,6,100,0.0231,,
Arginine and proline metabolism,14,51.85,0.023,,
"Alanine, aspartate and glutamate metabolism",20,86.96,0.0235,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",6,100,0.0232,,
"RNA polymerase I, eukaryotes",7,100,0.0232,,
Aminoacyl-tRNA biosynthesis,28,96.55,0.0251,,
Glycolysis / Gluconeogenesis,26,83.87,0.0256,,
Basal transcription factors,38,97.44,0.0294,,
Methionine degradation,6,100,0.0294,,
"Exosome, eukaryotes",6,100,0.0331,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",24,96,0.0329,,
Non-homologous end-joining,6,100,0.0342,,
Systemic lupus erythematosus,10,83.33,0.0336,,
Cysteine and methionine metabolism,26,92.86,0.0435,,
One carbon pool by folate,12,92.31,0.0757,,
Tyrosine metabolism,12,70.59,0.103,,
Shelterin complex,5,100,0.1289,,
Fructose and mannose metabolism,12,66.67,0.1471,,
"Glycine, serine and threonine metabolism",16,80,0.1799,,
Lipoic acid metabolism,11,100,0.1776,,
Pyruvate metabolism,21,72.41,0.2043,,
"C1-unit interconversion, eukaryotes",6,100,0.2133,,
Carbon metabolism,60,88.24,0.2104,,
Herpes simplex infection,93,98.94,0.2358,,
"Spliceosome, Prp19/CDC5L complex",8,100,0.233,,
Antifolate resistance,13,86.67,0.2378,,
Triacylglycerol biosynthesis,9,100,0.2454,,
"F-type ATPase, eukaryotes",4,66.67,0.2505,,
Glyoxylate and dicarboxylate metabolism,16,80,0.2517,,
2-Oxocarboxylic acid metabolism,20,100,0.2552,,
Phenylalanine metabolism,10,100,0.2527,,
Nitrogen metabolism,5,83.33,0.249,,
Viral life cycle - HIV-1,31,91.18,0.2741,,
Primary immunodeficiency,6,85.71,0.3011,,
Pentose phosphate pathway,8,61.54,0.3041,,
"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",11,100,0.3003,,
"NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",8,100,0.3078,,
Cytosolic DNA-sensing pathway,29,90.62,0.3055,,
TREX complex,8,100,0.3338,,
Progesterone-mediated oocyte maturation,65,97.01,0.3901,,
Metabolic pathways,569,98.27,0.4073,,
Cytochrome bc1 complex,7,100,0.4093,,
Vitamin B6 metabolism,5,100,0.4203,,
IL-17 signaling pathway,36,90,0.4321,,
Retinol metabolism,9,90,0.4356,,
Central carbon metabolism in cancer,29,69.05,0.448,,
"Proteasome, 20S core particle",9,100,0.4549,,
Chemical carcinogenesis - receptor activation,98,96.08,0.4526,,
"Leucine degradation, leucine => acetoacetate + acetyl-CoA",9,100,0.4656,,
Glycerolipid metabolism,18,72,0.4945,,
NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,11,100,0.5034,,
Holo-TFIIH complex,10,100,0.5021,,
Immunoproteasome,14,100,0.5143,,
NOD-like receptor signaling pathway,84,88.42,0.5309,,
"Glycolysis, core module involving three-carbon compounds",6,100,0.5336,,
Methionine salvage pathway,5,100,0.5436,,
Th17 cell differentiation,45,91.84,0.5518,,
Signaling pathways regulating pluripotency of stem cells,75,94.94,0.5578,,
Nucleotide metabolism,44,93.62,0.6373,,
Arginine biosynthesis,9,100,0.6548,,
beta-Alanine metabolism,9,47.37,0.659,,
Prostate cancer,57,95,0.6553,,
Proteasome,27,90,0.6609,,
BER complex,8,100,0.6671,,
Staphylococcus aureus infection,14,100,0.6925,,
Oocyte meiosis,73,93.59,0.6862,,
Transcriptional misregulation in cancer,91,98.91,0.7106,,
Drug metabolism - other enzymes,34,85,0.7436,,
Antigen processing and presentation,21,87.5,0.7405,,
Huntington's disease,100,92.59,0.7443,,
Histidine metabolism,11,100,0.7741,,
Citrate cycle (TCA cycle),21,100,0.824,,
Biosynthesis of cofactors,61,84.72,0.8236,,
Inositol phosphate metabolism,35,76.09,0.8484,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,6,100,0.8478,,
Thyroid cancer,17,80.95,0.8884,,
Ubiquinone and other terpenoid-quinone biosynthesis,5,100,0.925,,
Selenocompound metabolism,11,100,0.9202,,
Biosynthesis of nucleotide sugars,17,77.27,0.9258,,
Legionellosis,20,83.33,0.925,,
Parkinson's disease,66,88,0.9349,,
Glutathione metabolism,32,80,0.9275,,
Amyotrophic lateral sclerosis (ALS),24,77.42,0.9295,,
Acute myeloid leukemia,36,90,0.9536,,
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",11,100,0.9463,,
Oxidative phosphorylation,59,85.51,0.9445,,
"Citrate cycle (TCA cycle, Krebs cycle)",17,100,0.9383,,
Folate biosynthesis,11,100,0.9359,,
Survival motor neuron (SMN) complex,8,100,0.9405,,
"Coenzyme A biosynthesis, pantothenate => CoA",5,100,0.9398,,
APC/C complex,12,100,0.9527,,
Propanoate metabolism,18,75,0.9517,,
Colorectal cancer,51,91.07,0.9716,,
Drug metabolism - cytochrome P450,16,69.57,0.9703,,
Pantothenate and CoA biosynthesis,7,63.64,0.9717,,
Endometrial cancer,28,82.35,0.9685,,
Fluid shear stress and atherosclerosis,73,87.95,0.9714,,
Type II diabetes mellitus,14,77.78,0.9723,,
Chemical carcinogenesis - reactive oxygen species,107,87.7,0.9778,,
Bladder cancer,20,83.33,0.9764,,
Prion diseases,13,61.9,0.9756,,
"Gluconeogenesis, oxaloacetate => fructose-6P",8,100,0.9852,,
Peroxisome,31,77.5,0.9816,,
Riboflavin metabolism,6,100,0.978,,
Fat digestion and absorption,12,100,0.981,,
Lipid and atherosclerosis,89,89.9,0.9779,,
Estrogen signaling pathway,54,84.38,0.9757,,
Longevity regulating pathway - multiple species,27,69.23,0.9798,,
Thiamine metabolism,7,100,0.9765,,
African trypanosomiasis,14,100,0.9734,,
N-glycan precursor biosynthesis,7,100,0.9748,,
Hematopoietic cell lineage,9,40.91,0.9687,,
Leishmaniasis,25,78.12,0.9929,,
Neuroactive ligand-receptor interaction,43,89.58,0.988,,
ErbB signaling pathway,37,72.55,0.9827,,
