GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
0610031J06Rik,0.8857251,-0.32596928,0.9100259,-0.27345848,0.9122183,-0.25788158,0.93207246,-0.2548216,0.9320726,-0.2548216,0.9089721,-0.26519722,0.90412754,-0.32287735
A930001N09Rik,0.7409743,-0.002484426,0.714867,-0.1570886,0.7150416,-0.1608377,0.7091273,-0.22683968,0.71255445,-0.21443193,0.6998619,-0.22848098,0.7022515,-0.14126627
Abt1,0.28749615,0.09366615,0.28749615,0.09366615,0.28749615,0.09366615,0.28749615,0.09366615,0.28749615,0.09366615,0.28749615,0.09366615,0.28749615,0.09366615
Adar,0.524758,0.03706981,0.53651327,0.10291573,0.5195029,0.0837439,0.5133635,0.05831106,0.5133635,0.05831107,0.5133634,0.05831106,0.5133634,0.058311082
Adnp2,0.91551787,0.14103684,0.63959986,-0.85691035,0.71599436,-0.635777,0.68276185,-0.85023016,0.72120345,-0.7803525,0.6626557,-0.82829046,0.6779097,-0.8519231
Aebp1,0.6635221,-1.89977,1.7218401,-0.20927735,1.7221754,-0.20451923,1.7744634,-0.036279656,1.7744634,-0.036279663,1.7744634,-0.03627965,1.7744632,-0.036279663
Aebp2,0.9405909,-0.09488824,0.9296804,-0.19549167,0.78922516,-0.5359317,0.7954777,-0.533486,0.8042962,-0.48165303,0.79582363,-0.49763203,0.92557305,-0.19374822
Ahctf1,0.74593383,-0.15646641,0.6663722,-0.41731453,0.66167974,-0.4484353,0.67011374,-0.44469982,0.67480606,-0.413579,0.66637224,-0.41731453,0.6885746,-0.3184873
Ahr,0.6709217,-0.22230743,0.7382016,-0.120995834,0.74227923,-0.10410473,0.7437286,-0.088606626,0.7437287,-0.088606626,0.7437287,-0.088606656,0.7413358,-0.08897062
Ahrr,1.4644585,0.14695358,1.4644585,0.14695358,1.4644585,0.14695358,1.4644585,0.14695358,1.4644585,0.14695355,1.464458,0.14695358,1.4644582,0.14695355
Aire,0.70438474,-0.051213227,0.64691365,-0.19060281,0.64691377,-0.19060282,0.63931185,-0.18058786,0.5361247,-0.45782632,0.44248456,-0.43539208,0.56258315,-0.38051176
Akna,0.62887174,0.16930698,0.62887174,0.169307,0.45905,-0.24189611,0.45905006,-0.24189611,0.45905006,-0.24189614,0.45905006,-0.24189614,0.6288718,0.16930693
Ankrd1,1.0518565,-0.18477175,1.1038051,-0.1829684,1.247508,0.19876924,1.2484474,0.21209721,1.2484477,0.2120972,1.248447,0.21209727,1.2484474,0.21209721
Apex1,0.6631686,0.10818365,0.66316867,0.10818365,0.6631686,0.108183645,0.66316867,0.10818366,0.6631686,0.10818367,0.6631686,0.10818366,0.6631686,0.10818366
App,0.56159294,0.038646586,0.5497338,-0.022472136,0.461071,-0.29616994,0.46463662,-0.29409784,0.46463668,-0.29409784,0.461071,-0.29617,0.56201684,0.03345912
Arid1a,0.51374424,-0.5281475,0.5981077,-0.1966743,0.64387196,-0.19669104,0.64212286,-0.19395804,0.6441266,-0.19659795,0.6438719,-0.19669105,0.6424662,-0.20089322
Arid3a,0.20905212,0.05571396,0.19062644,0.026499096,0.19939482,0.014947273,0.19174063,0.026906397,0.20050901,0.015354546,0.19939482,0.014947252,0.19832867,0.01762564
Arid3b,-0.025641456,-0.40160632,0.09075895,0.019101758,0.09075895,0.019101756,0.09075892,0.019101772,0.09075892,0.019101772,0.09075892,0.019101787,0.09075892,0.019101776
Arid4b,0.82553214,0.1266751,0.8016886,0.019910447,0.79551965,-0.004644096,0.7969875,-0.0039036572,0.8032808,0.02049249,0.8016885,0.019910432,0.791724,-0.020056982
Arid5a,0.25275177,0.09256446,0.25275177,0.09256448,0.25275177,0.09256448,0.25275177,0.09256447,0.25275177,0.09256448,0.25275177,0.092564456,0.2527517,0.09256445
Arid5b,1.1179445,-0.28514224,1.4055262,0.08362561,1.4055259,0.08362562,1.4062369,0.09370683,1.4062364,0.09370683,1.4062364,0.09370683,1.4018917,0.06844597
Arnt,0.766144,0.08573209,0.7017005,-0.11600889,0.72036,-0.11677843,0.70401746,-0.114662364,0.70401746,-0.114662364,0.70435584,-0.10500899,0.72128844,-0.027500547
Arnt2,1.1062007,0.06870627,1.0935891,0.0065672565,1.0935888,0.006567264,1.0935886,0.006567262,1.0935888,0.0065672603,1.0935886,0.0065672584,1.0962155,0.050452955
Arntl2,0.0013277531,0.027385768,0.0013277531,0.027385749,0.0013277531,0.027385749,0.0013277531,0.027385749,0.0013277531,0.027385749,0.0013277531,0.027385749,0.0013277531,0.027385749
Arrb1,0.24233264,0.10777283,0.24233264,0.10777286,0.24233264,0.10777284,0.24233264,0.10777286,0.24233258,0.10777286,0.24233264,0.10777283,0.24233264,0.10777282
Ascl2,1.3998265,0.22906764,1.3998268,0.2290676,1.39903,0.21776326,1.39903,0.21776326,1.39903,0.21776329,1.39903,0.21776329,1.3998265,0.2290676
Ash1l,0.3177117,-0.08933579,0.2980585,-0.06862646,0.2980585,-0.06862648,0.2980584,-0.0686265,0.29805845,-0.06862649,0.29805845,-0.06862646,0.29805845,-0.06862645
Ash2l,1.1782198,0.038508937,1.072959,-0.3503601,1.0764174,-0.36412156,1.0617237,-0.39479733,1.1142011,-0.33505982,1.0917523,-0.36237884,1.0456767,-0.4099738
Atf1,1.0294585,-0.11081259,0.6788866,-1.2378821,0.69263536,-1.1676044,0.71026766,-1.2445369,0.8674957,-0.81208277,0.6793838,-1.2223046,0.77867097,-0.9403605
Atf2,0.72837305,-0.0976311,0.7093815,-0.16869248,0.7089765,-0.17037041,0.70897645,-0.17037041,0.7093815,-0.16869247,0.7093815,-0.16869245,0.705074,-0.16728736
Atf3,0.15822825,-0.13921173,0.18395877,0.15697029,0.19439599,0.0832597,0.13425165,-0.049183935,0.17246485,-0.09952773,0.13425168,-0.049183972,0.22039157,0.115307555
Atf4,0.6627429,-0.076015145,0.6217727,-0.025497593,0.62177277,-0.025497597,0.62177277,-0.025497604,0.62177265,-0.025497597,0.62177265,-0.025497619,0.6217727,-0.025497597
Atf5,1.5408978,-0.0770136,1.7595098,0.16058269,1.7202711,0.022067335,1.7209413,0.03157925,1.7209415,0.03157925,1.7209413,0.031579223,1.7563217,0.1484906
Atf6b,0.7255987,-0.4765858,0.51337814,-0.6842856,0.5859605,-0.5130378,0.5741884,-0.4975288,0.59015167,-0.49567538,0.5847175,-0.48173398,0.58253837,-0.52721435
Atf7,0.3862136,0.03787607,0.4107464,0.05748776,0.37332553,-0.012734562,0.37332553,-0.012734558,0.3733256,-0.012734555,0.37332553,-0.01273457,0.3609209,0.0034777038
Atoh8,0.87695366,-0.016459107,0.8593653,-0.09538916,0.8581744,-0.10032271,0.8583874,-0.100244835,0.85950416,-0.09535053,0.8593653,-0.09538916,0.86991864,-0.057061203
Atxn1l,0.241813,-0.6494953,0.5136096,-0.044030927,0.5089603,-0.054268815,0.5089603,-0.054268815,0.50896037,-0.054268837,0.5089604,-0.054268822,0.49654484,-0.037911855
Bach1,0.09905872,0.08770414,0.09905869,0.08770414,0.09905875,0.087704144,0.09905872,0.08770414,0.09905872,0.08770414,0.09905872,0.08770415,0.09905872,0.08770412
Bach2,0.20106107,0.03161292,0.2042337,0.055769335,0.20423374,0.055769324,0.2042337,0.055769306,0.20423377,0.055769317,0.2042337,0.055769306,0.2042337,0.05576934
Bahd1,0.35515118,-0.15145828,0.41405523,0.10668057,0.41405523,0.10668056,0.41405523,0.10668056,0.41405523,0.10668059,0.41405523,0.10668056,0.41405517,0.106680565
