label,value,term
0,47.333333333333336,Shelterin complex
1,73.33333333333333,Chemical carcinogenesis - receptor activation
1,79.33333333333333,Transcriptional misregulation in cancer
1,85.33333333333333,Primary immunodeficiency
1,90.0,Signaling pathways regulating pluripotency of stem cells
1,94.16666666666667,IL-17 signaling pathway
1,94.16666666666667,Thyroid cancer
1,123.66666666666667,Th17 cell differentiation
1,160.66666666666666,Proteasome
1,195.5,Fluid shear stress and atherosclerosis
1,199.0,Acute myeloid leukemia
1,270.0,Breast cancer
1,271.6666666666667,RIG-I-like receptor signaling pathway
1,354.1666666666667,ErbB signaling pathway
1,417.1666666666667,Gastric cancer
1,420.8333333333333,Hepatocellular carcinoma
1,423.6666666666667,ECM-receptor interaction
1,426.1666666666667,Chronic myeloid leukemia
1,490.6666666666667,NF-kappa B signaling pathway
1,492.0,Gap junction
1,492.1666666666667,Hematopoietic cell lineage
1,492.8333333333333,Thyroid hormone signaling pathway
1,495.3333333333333,Viral carcinogenesis
1,561.0,Hepatitis B
1,561.0,Neurotrophin signaling pathway
0,561.0,"Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate"
0,561.0,"Nucleotide sugar biosynthesis, galactose => UDP-galactose"
1,561.0,Adherens junction
0,561.0,"Fatty acid biosynthesis, elongation"
0,561.0,"Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate"
0,561.0,D-Arginine and D-ornithine metabolism
0,561.0,D-Glutamine and D-glutamate metabolism
0,561.0,ESCRT-II complex
1,561.0,Osteoclast differentiation
1,561.0,PPAR signaling pathway
0,561.0,"Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid"
0,561.0,DNA polymerase alpha / primase complex
1,561.0,Oxytocin signaling pathway
0,561.0,H/ACA ribonucleoprotein complex
1,561.0,Rheumatoid arthritis
0,561.0,Cap binding complex
0,561.0,Virion - Lyssavirus
1,561.0,Th1 and Th2 cell differentiation
0,561.0,GABA (gamma-Aminobutyrate) shunt
0,561.0,Cholecalciferol biosynthesis
0,561.0,DNA polymerase delta complex
0,561.0,"Exosome, archaea"
1,561.0,B cell receptor signaling pathway
1,561.0,Phospholipase D signaling pathway
0,561.0,GINS complex
0,561.0,"Serine biosynthesis, glycerate-3P => serine"
0,561.0,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P"
0,561.0,Sphingosine degradation
0,561.0,DNA polymerase zeta  complex
0,561.0,"Glutathione biosynthesis, glutamate => glutathione"
0,561.0,"Phosphatidylcholine (PC) biosynthesis, PE => PC"
0,561.0,RPA complex
1,561.0,MicroRNAs in cancer
0,561.0,"Valine, leucine and isoleucine biosynthesis"
0,561.0,DNA polymerase epsilon complex
0,561.0,"Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3"
1,561.0,C-type lectin receptor signaling pathway
1,561.0,Tight junction
1,561.0,Asthma
1,561.0,Intestinal immune network for IgA production
0,561.0,"Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP"
0,561.0,"Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate"
0,561.0,p97-Ufd1-Npl4 complex
1,561.0,EGFR tyrosine kinase inhibitor resistance
0,561.0,"Proline biosynthesis, glutamate => proline"
0,561.0,Translocon-associated protein (TRAP) complex
0,561.0,Biotin metabolism
1,561.0,Thyroid hormone synthesis
0,561.0,Apoptotic machinery
0,561.0,Virion - Adenovirus
0,561.0,TRAMP complex
0,561.0,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer"
1,561.0,Apoptosis
0,561.0,DNA polymerase gamma complex
1,561.0,Cytokine-cytokine receptor interaction
0,561.0,MRN complex
0,561.0,Sulfur relay system
1,561.0,Pathways in cancer
0,561.0,Lysine biosynthesis
1,561.0,Measles
0,561.0,"Polyamine biosynthesis, arginine => ornithine => putrescine"
0,561.0,Succinate dehydrogenase (ubiquinone)
1,561.0,Ras signaling pathway
0,561.0,ESCRT-0 complex
1,561.0,Small cell lung cancer
1,561.0,MAPK signaling pathway
0,561.0,DNA-PK complex
1,561.0,Focal adhesion
0,561.0,"Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine"
1,561.0,Insulin signaling pathway
0,561.0,"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine"
1,561.0,Chemokine signaling pathway
0,561.0,"Cysteine biosynthesis, homocysteine + serine => cysteine"
1,561.0,JAK-STAT signaling pathway
0,561.0,Ski complex
0,561.0,"Fatty acid biosynthesis, initiation"
1,561.0,TGF-beta signaling pathway
1,561.0,"Parathyroid hormone synthesis, secretion and action"
0,561.0,"PRPP biosynthesis, ribose 5P => PRPP"
0,561.0,"Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA"
0,561.0,Cytochrome bc1 complex respiratory unit
0,561.0,Lactosylceramide biosynthesis
1,561.0,cGMP-PKG signaling pathway
0,561.0,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"
1,561.0,T cell receptor signaling pathway
0,561.0,MAPK (ERK5) signaling
1,561.0,Inflammatory bowel disease
