pathway,tf,percent,,,
Ribosome biogenesis in eukaryotes,48,94.12,0,,
Yersinia infection,7,10.94,0.0123,,
Toll-like receptor signaling,10,100,0.0082,,
TNF signaling pathway,22,41.51,0.0594,,
RNA transport,85,80.19,0.058,,
Neurotrophin signaling pathway,5,10.42,0.0506,,
Influenza A,25,38.46,0.0744,,
Rap1 signaling pathway,6,8.57,0.0911,,
NF-kappa B signaling pathway,44,100,0.0897,,
Herpes simplex virus 1 infection,90,69.77,0.0846,,
Kaposi sarcoma-associated herpesvirus infection,29,36.25,0.0872,,
Chronic myeloid leukemia,7,18.42,0.1398,,
Epstein-Barr virus infection,16,19.05,0.1489,,
IL-17 signaling pathway,4,12.12,0.15,,
Toll-like receptor signaling pathway,4,9.76,0.1404,,
Jak-STAT signaling pathway,49,100,0.1469,,
JAK-STAT signaling pathway,52,100,0.1538,,
Toxoplasmosis,6,14.63,0.1453,,
Tuberculosis,12,19.67,0.1401,,
Renal cell carcinoma,3,9.68,0.1332,,
Dilated cardiomyopathy,4,26.67,0.1442,,
Hypertrophic cardiomyopathy,4,26.67,0.1486,,
Bacterial invasion of epithelial cells,4,11.43,0.1856,,
Viral myocarditis,5,31.25,0.1909,,
Lipid and atherosclerosis,12,15,0.2166,,
Hypertrophic cardiomyopathy (HCM),3,21.43,0.2248,,
Focal adhesion,7,9.09,0.2183,,
Legionellosis,8,34.78,0.211,,
NOD-like receptor signaling pathway,12,15,0.2092,,
eIF4F complex,2,28.57,0.2442,,
Breast cancer,2,4.65,0.2432,,
Malaria,2,14.29,0.2409,,
Human cytomegalovirus infection,24,26.09,0.254,,
C-type lectin receptor signaling pathway,5,14.29,0.2631,,
Human immunodeficiency virus 1 infection,21,25.3,0.2559,,
Efferocytosis,8,12.7,0.3127,,
"Growth hormone synthesis, secretion and action",23,48.94,0.3416,,
Nucleocytoplasmic transport,65,85.53,0.357,,
Transcriptional misregulation in cancer,26,40.62,0.4149,,
Leishmaniasis,26,100,0.4111,,
Herpes simplex infection,42,47.19,0.437,,
Chagas disease,4,9.3,0.4339,,
Chagas disease (American trypanosomiasis),4,9.3,0.4253,,
Nuclear pore complex,21,72.41,0.4257,,
Sphingolipid signaling pathway,7,11.86,0.4598,,
Non-small cell lung cancer,5,16.13,0.4648,,
HTLV-I infection,89,86.41,0.455,,
Neutrophil extracellular trap formation,9,21.43,0.4517,,
RIG-I-like receptor signaling pathway,7,23.33,0.4586,,
Alcoholic liver disease,10,12.99,0.4708,,
Human papillomavirus infection,16,12.6,0.5154,,
Human T-cell leukemia virus 1 infection,82,80.39,0.5479,,
Spliceosome,79,82.29,0.5895,,
Hepatitis B,40,53.33,0.6523,,
"Exosome, eukaryotes",4,66.67,0.8847,,
Measles,8,14.81,0.882,,
Viral carcinogenesis,34,35.05,0.9125,,
"N-glycan biosynthesis, complex type",5,100,0.9257,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",24,100,0.9914,,
Insulin signaling pathway,8,11.94,0.9778,,
Basal transcription factors,17,51.52,0.9646,,
mmuK signaling pathway,16,16.16,1,,
Mannose type O-glycan biosynthesis,7,100,1,,
Ubiquitin mediated proteolysis,15,20,1,,
African trypanosomiasis,12,100,1,,
Cytosolic DNA-sensing pathway,10,33.33,1,,
Hepatitis C,14,18.18,1,,
"Spliceosome, U2-snRNP",8,42.11,1,,
MAPK signaling pathway,9,11.11,1,,
Chemokine signaling pathway,6,10.91,1,,
Fc gamma R-mediated phagocytosis,5,12.82,1,,
"Alanine, aspartate and glutamate metabolism",11,44,1,,
Other types of O-glycan biosynthesis,11,100,1,,
Hepatocellular carcinoma,5,6.76,1,,
Cysteine and methionine metabolism,18,64.29,1,,
Viral life cycle - HIV-1,7,22.58,1,,
Regulation of actin cytoskeleton,18,20.22,1,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",2,33.33,1,,
Inositol phosphate metabolism,14,45.16,1,,
Huntington's disease,10,10.42,1,,
Sphingolipid metabolism,2,10.53,1,,
Pertussis,2,6.25,1,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,2,5.13,1,,
Osteoclast differentiation,17,33.33,1,,
Methionine salvage pathway,4,50,1,,
Non-alcoholic fatty liver disease,5,5.68,1,,
Non-alcoholic fatty liver disease (NAFLD),5,5.81,0.9966,,
N-Glycan biosynthesis,4,23.53,0.9979,,
Various types of N-glycan biosynthesis,4,26.67,0.9903,,
Alcoholism,4,9.52,0.9866,,
Amyotrophic lateral sclerosis (ALS),1,5.56,NA,,
Fluid shear stress and atherosclerosis,1,1.59,NA,,
Endocrine resistance,1,2.78,NA,,
PI3K-Akt signaling pathway,1,0.84,NA,,
Exon junction complex (EJC),1,6.67,NA,,
Ferroptosis,1,3.85,NA,,
THC complex,1,20,NA,,
Thyroid hormone signaling pathway,1,1.67,NA,,
TREX complex,1,12.5,NA,,
ATP-dependent chromatin remodeling,1,1.67,NA,,
Proteoglycans in cancer,1,1.32,NA,,
Central carbon metabolism in cancer,1,3.85,NA,,
Longevity regulating pathway,1,2.08,NA,,
Pancreatic cancer,1,2.56,NA,,
Gastric cancer,1,2.13,NA,,
Glioma,1,3.57,NA,,
Thyroid cancer,1,5.88,NA,,
Lysine degradation,1,3.03,NA,,
Basal cell carcinoma,1,8.33,NA,,
Melanoma,1,3.85,NA,,
Bladder cancer,1,5.56,NA,,
Prostate cancer,1,2.33,NA,,
Endometrial cancer,1,3.85,NA,,
Mitophagy - animal,1,2.78,NA,,
mRNA surveillance pathway,1,1.64,NA,,
