GeneSymbol,PValue
Tead1,0.0
Myst3,0.0035
Hnrnpab,0.0035
Zfp58,0.0065
Smarca5,0.0105
App,0.012
Sarnp,0.0145
Gtf2e2,0.015
Top2a,0.0165
Phf5a,0.018
Mybl2,0.0425
Mybl1,0.0445
Prrx1,0.0455
Yap1,0.0525
Zfpm2,0.0565
Hmgb2,0.0575
Npm1,0.066
Ptch2,0.066
Tmpo,0.0715
Dnmt3a,0.0725
Snai2,0.073
Zfp93,0.0755
Mbd3,0.079
Blm,0.0845
Dedd2,0.0865
Mxd3,0.0905
Set,0.093
Tmem209,0.101
Hmbox1,0.105
Cct2,0.1065
Zfp148,0.11
Brca1,0.118
Rbmxl1,0.1185
Gtf2f2,0.1185
Ddx1,0.1295
Nfia,0.1345
Zik1,0.135
Abt1,0.136
Pcna,0.1445
Hoxd8,0.145
Dbf4,0.147
Chd8,0.1515
Nfyb,0.1595
Mis18bp1,0.1655
Polr2b,0.169
Rad18,0.169
Klf15,0.1705
Zfp329,0.174
Ccnt1,0.177
Acvrl1,0.1805
Taf11,0.183
Plod2,0.185
Arid4b,0.1915
Psma2,0.1945
Snrpf,0.195
Haus5,0.196
Cdc5l,0.1965
Foxm1,0.198
Sin3a,0.199
Nkap,0.2005
Rrp1b,0.2065
Zfp184,0.209
Dcn,0.213
Gabpb1,0.2145
Mki67,0.2175
Pbrm1,0.222
Elp6,0.224
Timp3,0.2335
Rbms2,0.234
Ncaph,0.2405
Mastl,0.2405
Pa2g4,0.2435
Kdm3a,0.244
Terf2,0.25
Dnajc2,0.2515
Zfp553,0.2525
Rpl14,0.253
Hnrnpm,0.2555
Zfp46,0.258
Uba2,0.2585
Taf1d,0.259
Mthfd1l,0.2595
Ahr,0.2645
Mll2,0.266
Chordc1,0.275
Nolc1,0.2755
Loxl1,0.2775
Clock,0.2785
E2f4,0.281
Zfp143,0.282
Cdc6,0.2825
Tbp,0.2835
Smarcc1,0.2845
Nr2f1,0.285
Ssrp1,0.2865
Hnrpdl,0.291
Trim33,0.2925
Lbr,0.294
Hells,0.296
Dek,0.296
Rtf1,0.296
Smc3,0.297
Kdm2b,0.298
Zfp711,0.298
Ddr2,0.2985
Zfp292,0.3
Zfx,0.3
Topbp1,0.3005
Gli3,0.3005
Phf20,0.301
Taf3,0.302
Med6,0.3035
Rbm12,0.3045
Atf1,0.305
Brip1,0.306
Nup155,0.3075
2610029G23Rik,0.31
Pdzrn3,0.3105
Phldb2,0.313
Ankrd1,0.317
Stau2,0.3175
Wdr46,0.318
Ddx20,0.321
Gtf2b,0.322
Csda,0.327
Mier3,0.3275
Zbtb6,0.328
2610203C20Rik,0.3285
D19Bwg1357e,0.3295
Ruvbl2,0.3295
Vcl,0.33
Pias2,0.3305
Ddx58,0.331
Flrt2,0.3315
Sall4,0.333
Cenph,0.3335
Stat6,0.334
Mybbp1a,0.3355
Trim28,0.3365
Ash2l,0.337
Gpc6,0.338
Zfp280d,0.338
Nfx1,0.339
Exosc3,0.339
Tcf7l1,0.341
Kpna2,0.342
Dnttip2,0.3435
Hoxb3,0.346
Prkdc,0.3465
Csde1,0.3465
Hnrnpa1,0.3485
Ttc3,0.35
Zfp574,0.3505
Ndn,0.3505
Eif3e,0.351
Suz12,0.36
Ccnb1,0.362
Uhrf1,0.364
Pkd2,0.364
Grip1,0.3645
Gins2,0.3645
Nkrf,0.3655
Gmeb1,0.3665
Zfp26,0.368
Hdac2,0.369
Dis3,0.37
Pms2,0.371
Egr2,0.373
Zmym1,0.374
Arhgap11a,0.376
Casc5,0.3765
Cdk6,0.3765
Hnrnpd,0.378
Zbtb20,0.3815
Brix1,0.3835
Rfc1,0.385
Zfhx3,0.387
Nop56,0.3875
Brca2,0.391
Eif3g,0.391
Pgam5,0.393
Psip1,0.3935
Wdr43,0.395
Hoxa1,0.395
Nup37,0.4005
Tfam,0.4015
Ttf2,0.403
Creb3l2,0.408
Sfpq,0.4085
Hsf1,0.409
Cnbp,0.4095
Glmn,0.4135
Zfp36,0.415
Atrx,0.4195
Odf2,0.42
Impdh2,0.423
Mysm1,0.424
Taf5,0.4265
Cks1b,0.4285
Tex10,0.4285
Nfat5,0.4295
Ylpm1,0.4305
Ddx18,0.433
Rad54b,0.433
Wdr12,0.433
Hnrnpk,0.4335
Ezh2,0.4355
Fam54a,0.437
Cct7,0.438
Tacc3,0.4405
Nup133,0.4435
Psmc3ip,0.4445
Rnf10,0.4445
Clspn,0.449
Trp53,0.452
Drap1,0.4555
Eif3d,0.456
Gar1,0.4575
Ruvbl1,0.459
Zfp828,0.461
Iqgap3,0.4635
Asxl2,0.464
Trip13,0.4655
Men1,0.4675
Rims2,0.4685
Vrk1,0.47
Ythdc2,0.471
Kif18a,0.472
Dkc1,0.4765
Mef2d,0.4775
Plk4,0.478
Eri2,0.479
Pcgf6,0.4795
Wbp7,0.4835
Cast,0.484
Rbmx,0.4905
Zfp64,0.495
Rfc4,0.4955
Zfp37,0.4975
Prmt10,0.499
Dctn1,0.501
Cxxc1,0.503
Rbbp5,0.503
0610031J06Rik,0.5035
Nvl,0.506
Nfatc1,0.506
Aasdh,0.506
Naca,0.5085
Ssbp2,0.509
5830433M19Rik,0.5095
Zfp41,0.5125
Smyd3,0.513
Dcaf13,0.514
Mcm8,0.514
Rbbp8,0.519
Dnajc24,0.5215
Sde2,0.5225
Vps72,0.5225
Suv39h2,0.5235
Cebpz,0.525
Smad6,0.527
Cdc42bpb,0.528
2700050L05Rik,0.5285
Mettl3,0.5295
Tceanc,0.5295
Cct5,0.531
Nubp1,0.538
Tra2a,0.5395
Ccdc112,0.5395
Ncor1,0.5395
2610021A01Rik,0.541
Cpt1c,0.5415
C330027C09Rik,0.545
Wasf1,0.546
Nemf,0.5475
Nfrkb,0.5495
Xrcc5,0.5495
Nup160,0.55
Plek2,0.5515
Ap1s2,0.553
Nipbl,0.5565
Phb,0.5595
Mitd1,0.56
Cnpy2,0.5625
Taf2,0.563
Ddx41,0.566
Hc,0.569
Psmb4,0.5705
Fubp3,0.5705
Nfix,0.572
Psmd14,0.574
Rad51c,0.5755
Mdn1,0.576
Bod1l,0.5775
Cse1l,0.578
Ubtd1,0.579
Kdm5a,0.58
Mterfd1,0.581
Cdca4,0.5825
Med20,0.5855
Casz1,0.586
Scaf1,0.5865
Appl1,0.588
Erf,0.5885
Tcf3,0.5905
Orc3,0.5905
Zfp799,0.5915
Bcor,0.5915
Zfp39,0.598
Nars2,0.599
Smad3,0.599
Cnot2,0.601
Fam76b,0.606
B230118H07Rik,0.6075
Hoxa3,0.6125
Armcx2,0.613
Rwdd4a,0.613
Srrm1,0.617
Zfp182,0.6175
Cenpn,0.62
Klf9,0.62
Hmg20b,0.621
Lhx1,0.6255
Chd6,0.627
Fubp1,0.6285
Bdp1,0.63
Pxmp2,0.631
Fip1l1,0.631
Etfdh,0.6315
Ash1l,0.6315
Gsg2,0.6335
Mcm9,0.6365
Pex12,0.6385
Hoxa5,0.6385
0610009B22Rik,0.6395
Taf4a,0.64
Rbl2,0.6405
Ilf3,0.641
Sumo1,0.641
Ing2,0.642
Bbx,0.642
Lrrfip1,0.642
Rmi1,0.6425
Luc7l2,0.6425
Fbxo25,0.644
Psat1,0.6445
Chd2,0.6445
Atad3a,0.645
Bmpr1a,0.6455
Anxa7,0.646
Abcf2,0.646
Zfp408,0.6465
Hnrnpa3,0.647
Setx,0.6475
Wdr3,0.6485
Cirh1a,0.649
Eml5,0.649
Cdc73,0.6495
Mrpl49,0.65
Ska3,0.6505
Igf1r,0.6505
Rps12,0.651
Prkd1,0.651
Abi2,0.651
Rsf1,0.6515
Gemin4,0.652
Arrdc1,0.652
Zmynd19,0.6525
Mettl2,0.6525
Dgka,0.653
Bms1,0.653
Bub3,0.653
Timeless,0.6535
Slc25a16,0.654
Ppp1r8,0.654
Alkbh1,0.654
Pacrgl,0.654
Rcc1,0.6545
Whsc1l1,0.6545
Hacl1,0.6545
Mcam,0.6545
Zfp119a,0.6545
Tsr2,0.655
5830418K08Rik,0.655
E2f3,0.6555
Spag5,0.6555
Lamb2,0.6555
Hadha,0.6555
Plekha7,0.6555
H2afy2,0.656
Gna11,0.656
Sbno2,0.656
Zc3hc1,0.656
Sparc,0.656
Tmbim1,0.6565
Gria3,0.6565
Capn1,0.6565
Cbx3,0.657
Acyp1,0.657
Ehf,0.657
Cep57,0.6575
Galnt7,0.6575
Tram1l1,0.6575
Atp6ap2,0.6575
2200002D01Rik,0.6575
Utp15,0.658
Slc37a1,0.658
Adamts1,0.6585
Pold3,0.6585
Fam169a,0.6585
Irs1,0.6585
Phkg2,0.6585
Eif2d,0.659
Gli2,0.659
Nob1,0.659
Xpo4,0.659
4933407H18Rik,0.659
Mrpl19,0.659
Sox12,0.659
Dedd,0.659
Arfgef1,0.6595
Adamts9,0.6595
Cenpq,0.66
Dhx38,0.66
Nr2c2,0.66
Topors,0.66
Dctn2,0.66
Tpbg,0.6605
Ppp2ca,0.6605
Tfap2c,0.6605
Elavl2,0.6605
Ryk,0.6605
Snrnp40,0.6605
Col5a2,0.6605
Sec31a,0.6605
Sip1,0.6605
Psma5,0.6605
Mcts2,0.661
Copa,0.661
Ipo11,0.661
Fbxo32,0.661
Zfp560,0.661
Bptf,0.661
Pole2,0.661
2610528A11Rik,0.6615
Ezr,0.6615
Mark2,0.6615
Kif20b,0.662
Mapk6,0.662
Ankrd10,0.662
Trabd,0.662
Cdca5,0.662
Morf4l2,0.662
Mapk3,0.662
Ska1,0.662
Dtl,0.6625
Ythdc1,0.6625
Scyl2,0.6625
AI837181,0.6625
Sema3c,0.6625
Mns1,0.663
Tbc1d8b,0.663
Parva,0.663
Pls3,0.663
Tbc1d2b,0.663
Slc4a2,0.663
Farsb,0.663
Trmt10c,0.663
Cycs,0.663
Nid1,0.6635
Pwwp2a,0.6635
Armc8,0.6635
Mxra8,0.6635
Smc2,0.6635
Ppil4,0.6635
Hoxc8,0.6635
S100pbp,0.6635
Tcf4,0.6635
9930021J03Rik,0.6635
Srsf7,0.664
Bak1,0.664
Baz2a,0.664
Rbm8a,0.664
Cdk14,0.664
Gtpbp1,0.6645
Zdhhc2,0.6645
Snapc3,0.6645
Gfm1,0.6645
Upf3b,0.6645
Ncl,0.6645
Anp32b,0.6645
Aimp1,0.6645
Sulf1,0.6645
Fzd3,0.6645
Cbx5,0.6645
Asna1,0.665
Nr1d2,0.665
Capzb,0.665
Zfp322a,0.665
Mmachc,0.665
Nr6a1,0.665
Arhgap17,0.665
Nsl1,0.6655
Akna,0.6655
Nrbp1,0.6655
Zswim6,0.6655
Tmc5,0.666
Csnk1g3,0.666
Hn1,0.666
8430410K20Rik,0.666
Mfn1,0.666
2310045N01Rik,0.666
Ccdc111,0.666
Cd55,0.6665
Fen1,0.6665
Ebf3,0.6665
Dgke,0.6665
Zfp566,0.6665
Sox2,0.6665
Nacc1,0.6665
Zfp941,0.6665
Cyc1,0.6665
Gnb2,0.6665
Phf7,0.667
Phf21a,0.667
Zmiz1,0.667
Wdr89,0.667
Fh1,0.667
Sf3b1,0.667
Polr2a,0.667
Tmem126a,0.667
Nr1h2,0.667
Lipm,0.667
Mylip,0.667
Irx3,0.667
Frk,0.6675
Magoh,0.6675
Lass5,0.6675
Cyhr1,0.6675
Pdpn,0.6675
Kctd5,0.6675
St3gal3,0.6675
Stat5a,0.6675
Stat4,0.6675
Fbxo5,0.668
Frg1,0.668
Zbtb7b,0.668
Actl6a,0.668
Col4a1,0.668
Thoc2,0.668
Ndufa1,0.668
Pik3r2,0.668
Mvp,0.6685
Asf1b,0.6685
Rpa1,0.6685
Zfp647,0.6685
Yars2,0.6685
Rpp25,0.6685
Tmem173,0.6685
Taf5l,0.6685
Ddx46,0.6685
Eras,0.6685
Arhgap5,0.6685
B4galt6,0.6685
Zbtb8os,0.669
Mrps25,0.669
F2rl1,0.669
Fgfr1,0.6695
Gli1,0.6695
Ppih,0.6695
Kcnn4,0.6695
Itga4,0.6695
Casp2,0.67
Ssb,0.67
Mad2l1,0.67
Rev1,0.67
Hoxb9,0.67
Zfp110,0.67
Net1,0.67
Tmem65,0.67
Efnb1,0.67
Gpx8,0.6705
Gas1,0.6705
Dvl2,0.6705
Tcerg1,0.6705
Coil,0.6705
Snapc4,0.6705
Scand1,0.671
Dnajc18,0.671
Jph2,0.671
Melk,0.671
Clip3,0.671
Extl2,0.6715
Bicd1,0.6715
Tgfb1,0.6715
Yaf2,0.6715
Ndufaf1,0.6715
Cct6a,0.6715
Eed,0.6715
Tsen34,0.6715
Cmah,0.6715
Map3k8,0.672
Sall2,0.672
Lmnb1,0.672
Kifc5b,0.672
Specc1l,0.672
Scamp1,0.6725
Pwp2,0.6725
Ptms,0.6725
