GeneSymbol,PValue
Taf2,0.0
Pcolce,0.0
Npm1,0.0075
Ldb1,0.022
Lrrfip1,0.024
Snai2,0.027
Gli3,0.0275
Uhrf1,0.0475
Mta3,0.057
Mynn,0.058
Mybl2,0.071
Hells,0.0775
Taf6l,0.085
Adamts12,0.1025
Ndn,0.109
Arnt2,0.1225
Trim27,0.142
Gpbp1,0.1485
Tbl1xr1,0.1505
Cc2d1b,0.154
Zfp1,0.164
Sarnp,0.1675
E2f7,0.175
Med1,0.1805
Mcm8,0.1955
Gtf2e1,0.203
Hnrpdl,0.2045
Mybbp1a,0.219
Cdk5rap2,0.221
Trp53bp1,0.2225
Stat4,0.2255
Zfp691,0.2255
Pard3,0.2325
Smarcc1,0.2375
Ilf3,0.242
Nr6a1,0.2445
Pcna,0.2465
Nr1d1,0.2535
Dis3,0.2535
Chek1,0.2615
Zkscan6,0.274
Eme1,0.2785
Nrf1,0.281
Cdca2,0.2865
Zfp105,0.2875
Rnf4,0.2905
Tmpo,0.2945
Zfp532,0.303
Zfp148,0.3045
Olfml3,0.31
Casz1,0.3145
Rbck1,0.317
Kdm1a,0.319
Dcaf11,0.32
Smarce1,0.3215
Tcf7l1,0.326
Rbpj,0.328
Psmc3ip,0.328
Rarg,0.3295
Zfp110,0.3305
Jdp2,0.331
Cbfb,0.331
Mef2a,0.3325
Hoxa1,0.334
Tpt1,0.3405
Bbx,0.3405
App,0.3425
Zfp2,0.343
Phactr4,0.3465
Asxl1,0.348
Foxh1,0.3495
Brip1,0.3545
Crem,0.3545
Esrrb,0.3565
Pwwp2a,0.3585
Trim28,0.3615
Msh6,0.3625
Prdx5,0.3705
Eras,0.371
Mterfd1,0.3805
Taf5,0.3825
Lmo2,0.3915
Ddx1,0.3915
Smarca5,0.3955
Ddx20,0.397
Ctcf,0.4055
Bcor,0.406
Gemin4,0.415
Hirip3,0.422
Stat5a,0.422
Patz1,0.423
Mms22l,0.4265
Eftud1,0.427
Tro,0.429
Chd4,0.4315
Snrpg,0.4475
Nasp,0.456
Exo1,0.4565
Sp4,0.461
Nup160,0.4625
Nfya,0.4625
Dnmt1,0.4635
Srsf7,0.472
Tcea3,0.476
