GeneSymbol,PValue
Tbx21,0.0
Hnf4A,0.0
Stat3,0.0
Tfdp1,0.0
Nrf1,0.0
Foxo3,0.0
Rarg,0.0
Fosl1,0.0
Crem,0.0
Bcl3,0.0
Elk4,0.0
E2F2,0.0
E2F7,0.0
Gmeb2,0.0
Nfe2L2,0.0
Stat2,0.0
Relb,0.0
Hcfc1,0.0
Prdm16,0.0
Thap1,0.0
Mecom,0.0
Klf16,0.0
Fosl2,0.0
Sp1,0.0005
Atf6,0.0005
Nfkb2,0.0005
Jund,0.0005
Gabpa,0.0005
Elf4,0.001
Nfyb,0.0015
Polr2A,0.0015
E2F8,0.002
Zfp30,0.002
Tbp,0.0025
Znf143,0.003
Cebpb,0.003
Znf76,0.0035
Ubtf,0.004
Irf4,0.007
Gtf2F1,0.0085
Eomes,0.009
Gata6,0.0105
Xbp1,0.011
Jun,0.0125
Etv6,0.014
Esrra,0.0155
Elk3,0.016
Nr2F6,0.016
Hlf,0.019
Foxp2,0.0215
Sox6,0.0225
E2F6,0.026
Zkscan1,0.0295
Znf787,0.03
Cebpd,0.033
Sp2,0.034
E2F1,0.0345
Znf274,0.044
Etv3,0.045
Thap11,0.045
Batf,0.046
Hoxc10,0.05
Nr6A1,0.0505
Znf768,0.055
Znf791,0.067
Znf471,0.0675
Tgif1,0.068
Srf,0.076
Znf770,0.0825
Yy1,0.0825
Creb5,0.084
Nfil3,0.09
Tgif2,0.102
Tp53,0.107
Foxq1,0.11
Cebpg,0.1115
E4F1,0.1215
Taf1,0.1285
Rxra,0.129
Ppara,0.1305
Znf229,0.1365
Kdm5A,0.139
Glis2,0.1485
Znf384,0.15
Six5,0.1595
Nr2C2,0.1735
Hinfp,0.181
Stat1,0.182
Znf426,0.184
Sall2,0.1905
Elk1,0.1955
Clock,0.2055
Rbbp5,0.2105
Foxa1,0.2275
Hoxa3,0.236
Tfap4,0.2445
Znf235,0.2505
Rfx1,0.254
Irf1,0.266
Mybl2,0.2685
Mlx,0.27
Foxo1,0.2785
Gata4,0.2795
Hoxa5,0.2815
Hnf1B,0.283
Rax2,0.3015
Smad5,0.3085
Isl2,0.3125
Ddit3,0.317
Znf740,0.3215
Pax8,0.3225
Zbtb7B,0.323
Lhx2,0.329
Nkx6-2,0.3305
Gcm1,0.3325
Klf7,0.3335
Rarb,0.3335
Rest,0.334
Znf778,0.3365
Atf4,0.3405
Pbx3,0.3415
Arnt,0.3415
Stat5A,0.3435
Fosb,0.3475
Rcor1,0.35
Nkx2-1,0.3505
Osr2,0.356
Klf1,0.357
Rela,0.3625
Znf23,0.3805
Tfap2A,0.4005
Gata1,0.4205
Zbtb7A,0.4255
Nr3C1,0.4355
Lhx1,0.439
Foxc1,0.439
Pax5,0.443
Ep300,0.473
Spib,0.474
Zfp62,0.519
Mafg,0.5215
Setdb1,0.5295
Tead1,0.547
Irf9,0.552
Elf3,0.554
Hivep3,0.5625
Cdx2,0.576
Mzf1,0.5925
Maz,0.611
Bcl6B,0.6465
Thra,0.6465
Irf2,0.6525
Mxi1,0.6525
Zic2,0.654
Mixl1,0.6545
Znf501,0.6555
Tcfl5,0.657
Mesp1,0.6585
Hdac1,0.659
Hoxc4,0.6605
Tcf7L2,0.6655
Tlx2,0.6655
Stat6,0.666
Hoxc6,0.667
Smad9,0.6695
Wrnip1,0.671
Myog,0.671
Mef2D,0.6715
Smarca4,0.672
Foxj3,0.673
Znf260,0.673
Smad7,0.6735
Nfyc,0.679
Atf1,0.68
Snapc4,0.6815
Klf4,0.684
Rfx5,0.6905
Creb3,0.6915
Rb1,0.701
Hoxa10,0.7045
Six2,0.7045
Hnf1A,0.712
Pou2F1,0.722
Cdx1,0.7225
Znf607,0.736
Etv4,0.7545
Creb3L2,0.7585
Cbx7,0.7755
Tal1,0.7825
Gata2,0.7845
Nr1H3,0.7935
Taf7,0.7995
Tp73,0.8265
Tcf7,0.8285
Ctcf,0.834
Srebf2,0.9025
Etv5,0.908
Pbx1,0.91
Atf3,0.912
Ctbp2,0.9225
Npas2,0.9475
Gli2,0.9505
Pou3F3,0.9715
Znf219,0.973
Nkx2-5,0.989
Cebpa,1.0
Hes7,1.0
Rara,1.0
Znf718,1.0
Klf5,1.0
Gbx1,1.0
Myod1,1.0
Ets2,1.0
Foxd1,1.0
Onecut2,1.0
Foxn3,1.0
Six3,1.0
Prkaa2,1.0
Vdr,1.0
