pathway,tf,percent,,,
Cell cycle,83,100,0,,
Endocytosis,83,69.17,0,,
Metabolic pathways,585,100,0,,
Nuclear pore complex,29,100,0,,
PI3K-Akt signaling pathway,105,88.24,0,,
Purine metabolism,75,100,0,,
Ribosome biogenesis in eukaryotes,51,100,0,,
RNA transport,106,100,0,,
Spliceosome,95,98.96,0,,
Tight junction,80,93.02,0,,
Nucleocytoplasmic transport,76,100,0,,
Motor proteins,45,97.83,0,,
Pathways in cancer,197,98.99,0,,
Human cytomegalovirus infection,75,81.52,0,,
Human papillomavirus infection,90,70.87,0,,
Salmonella infection,113,100,0,,
HTLV-I infection,103,100,0,,
Hepatitis B,71,94.67,0,,
Yersinia infection,33,51.56,0,,
Spinocerebellar ataxia,52,81.25,0,,
ATP-dependent chromatin remodeling,53,88.33,0,,
Kaposi sarcoma-associated herpesvirus infection,66,82.5,0,,
Amyotrophic lateral sclerosis,168,100,0,,
Focal adhesion,34,44.16,0,,
Hepatitis C,72,93.51,0,,
Regulation of actin cytoskeleton,56,62.92,0,,
Axon guidance,42,71.19,0,,
Human T-cell leukemia virus 1 infection,102,100,0,,
Protein processing in endoplasmic reticulum,37,48.68,0,,
Neurotrophin signaling pathway,28,58.33,0,,
mmuK signaling pathway,72,72.73,0,,
Viral carcinogenesis,96,98.97,0,,
Polycomb repressive complex,51,100,0,,
Herpes simplex virus 1 infection,126,97.67,0,,
RNA degradation,42,95.45,0,,
Chemokine signaling pathway,33,60,0,,
Estrogen signaling pathway,31,73.81,0,,
Neutrophil extracellular trap formation,38,90.48,0,,
Small cell lung cancer,38,97.44,0,,
MicroRNAs in cancer,56,100,0,,
Apoptosis,48,76.19,0,,
Hepatocellular carcinoma,49,66.22,0,,
Choline metabolism in cancer,40,100,0,,
Efferocytosis,56,88.89,0,,
Dopaminergic synapse,36,76.6,0,,
Ubiquitin mediated proteolysis,51,68,0,,
Pyrimidine metabolism,62,100,0,,
Adherens junction,30,54.55,0,,
TNF signaling pathway,41,77.36,0,,
Nucleotide excision repair,37,100,0,,
Chagas disease,27,62.79,0,,
Necroptosis,35,56.45,0,,
MAPK signaling pathway,41,50.62,0,,
Proteoglycans in cancer,41,53.95,0,,
Chagas disease (American trypanosomiasis),27,62.79,0,,
Cellular senescence,68,91.89,0,,
Rap1 signaling pathway,27,38.57,0,,
Bacterial invasion of epithelial cells,21,60,0,,
Prostate cancer,35,81.4,0,,
Amino sugar and nucleotide sugar metabolism,17,73.91,0,,
Pancreatic cancer,18,46.15,0,,
Human immunodeficiency virus 1 infection,62,74.7,0,,
Th17 cell differentiation,29,65.91,0,,
Gastric cancer,30,63.83,0,,
Measles,47,87.04,0,,
Alcoholism,37,88.1,0,,
Colorectal cancer,29,72.5,0,,
Chronic myeloid leukemia,19,50,0,,
Progesterone-mediated oocyte maturation,42,100,0,,
Gap junction,30,100,0,,
Oocyte meiosis,50,100,0,,
DNA replication,27,100,0,,
Relaxin signaling pathway,26,50.98,0,,
Alcoholic liver disease,68,88.31,0,,
Base excision repair,24,100,0,,
Biosynthesis of nucleotide sugars,15,75,0,,
Influenza A,59,90.77,0,,
Herpes simplex infection,89,100,0,,
Lipid and atherosclerosis,41,51.25,0,,
Pathways of neurodegeneration - multiple diseases,162,93.1,0,,
Cushing syndrome,38,73.08,0,,
Leukocyte transendothelial migration,35,74.47,0,,
Viral life cycle - HIV-1,31,100,0,,
NF-kappa B signaling pathway,23,52.27,0,,
Epstein-Barr virus infection,74,88.1,0,,
Osteoclast differentiation,24,47.06,0,,
IL-17 signaling pathway,18,54.55,0,,
HIF-1 signaling pathway,28,65.12,0,,
Carbon metabolism,59,83.1,0,,
C-type lectin receptor signaling pathway,19,54.29,0,,
Sphingolipid signaling pathway,24,40.68,0,,
NOD-like receptor signaling pathway,46,57.5,0,,
Nucleotide metabolism,39,100,0,,
Breast cancer,20,46.51,0,,
Chemical carcinogenesis - receptor activation,86,100,0,,
Toll-like receptor signaling pathway,19,46.34,0,,
ECM-receptor interaction,14,77.78,0,,
Toxoplasmosis,21,51.22,0,,
Transcriptional misregulation in cancer,45,70.31,0,,
cGMP-PKG signaling pathway,27,44.26,0,,
"Spliceosome, U4/U6.U5 tri-snRNP",21,100,0,,
Insulin signaling pathway,52,77.61,0,,
Fc epsilon RI signaling pathway,18,100,0,,
"Growth hormone synthesis, secretion and action",35,74.47,0,,
Alzheimer disease,137,90.73,0,,
Arrhythmogenic right ventricular cardiomyopathy (ARVC),17,89.47,0,,
Adrenergic signaling in cardiomyocytes,22,51.16,0,,
Glioma,12,42.86,0,,
BRCA1-associated genome surveillance complex (BASC),11,100,0,,
Arrhythmogenic right ventricular cardiomyopathy,17,89.47,0,,
"Alanine, aspartate and glutamate metabolism",13,52,0,,
"Spliceosome, U2-snRNP",13,68.42,0,,
Pertussis,15,46.88,0,,
Amoebiasis,12,34.29,0.0001,,
Melanoma,10,38.46,0.0001,,
"Parathyroid hormone synthesis, secretion and action",12,29.27,0.0001,,
Huntington disease,131,97.04,0.0001,,
Basal transcription factors,22,66.67,0.0001,,
Platelet activation,7,14.89,0.0001,,
Non-small cell lung cancer,15,48.39,0.0001,,
EGFR tyrosine kinase inhibitor resistance,21,55.26,0.0002,,
Cocaine addiction,16,84.21,0.0002,,
Biosynthesis of amino acids,35,74.47,0.0003,,
Fructose and mannose metabolism,13,81.25,0.0003,,
Hippo signaling pathway,12,19.67,0.0003,,
Thyroid cancer,7,41.18,0.0004,,
Amphetamine addiction,14,60.87,0.0004,,
Regulation of lipolysis in adipocytes,14,73.68,0.0004,,
Wnt signaling pathway,24,51.06,0.0004,,
Mismatch repair,18,100,0.0004,,
MCM complex,6,100,0.0004,,
Hypertrophic cardiomyopathy,9,60,0.0005,,
Signaling pathways regulating pluripotency of stem cells,16,33.33,0.0006,,
ErbB signaling pathway,13,44.83,0.0006,,
Longevity regulating pathway,30,62.5,0.0007,,
Hypertrophic cardiomyopathy (HCM),8,57.14,0.0008,,
Renal cell carcinoma,5,16.13,0.0008,,
Thyroid hormone signaling pathway,9,15,0.0009,,
Cytokine-cytokine receptor interaction,32,62.75,0.001,,
AGE-RAGE signaling pathway in diabetic complications,16,34.04,0.0012,,
"Aminoacyl-tRNA biosynthesis, eukaryotes",10,41.67,0.0012,,
Lysine degradation,28,84.85,0.0013,,
Platinum drug resistance,36,85.71,0.0013,,
Phosphatidylinositol signaling system,16,45.71,0.0014,,
Arginine and proline metabolism,19,79.17,0.0015,,
Prolactin signaling pathway,7,23.33,0.0016,,
mTOR signaling pathway,22,37.29,0.0016,,
Aminoacyl-tRNA biosynthesis,10,35.71,0.0017,,
AMPK signaling pathway,36,60,0.0018,,
Cell cycle - G1/S transition,5,83.33,0.0019,,
Dilated cardiomyopathy,9,60,0.0019,,
Non-homologous end-joining,5,83.33,0.002,,
RF-C complex,5,100,0.002,,
Phagosome,48,90.57,0.0025,,
Fluid shear stress and atherosclerosis,35,55.56,0.0026,,
Adipocytokine signaling pathway,28,82.35,0.0029,,
Mannose type O-glycan biosynthesis,7,100,0.0032,,
Glutathione metabolism,33,91.67,0.0033,,
Malaria,11,78.57,0.0033,,
Prion disease,112,93.33,0.0033,,
Hematopoietic cell lineage,5,23.81,0.0036,,
APC/C complex,10,100,0.0036,,
Insulin resistance,36,64.29,0.0041,,
"Inosine monophosphate biosynthesis, PRPP + glutamine => IMP",4,66.67,0.0041,,
Survival motor neuron (SMN) complex,4,66.67,0.0041,,
PD-L1 expression and PD-1 checkpoint pathway in cancer,8,20.51,0.0041,,
Coronavirus disease - COVID-19,44,34.65,0.0044,,
Homologous recombination,15,100,0.0045,,
Toll-like receptor signaling,10,100,0.0046,,
Phenylalanine metabolism,6,60,0.0051,,
Endocrine resistance,17,47.22,0.0053,,
Biosynthesis of cofactors,75,91.46,0.0063,,
GnRH secretion,17,100,0.0065,,
N-Glycan biosynthesis,7,41.18,0.0067,,
Viral myocarditis,8,50,0.0067,,
Inositol phosphate metabolism,15,48.39,0.007,,
"Nucleotide sugar biosynthesis, eukaryotes",3,60,0.0071,,
Protein digestion and absorption,8,44.44,0.0076,,
Bladder cancer,7,38.89,0.0079,,
Complement and coagulation cascades,26,48.15,0.0082,,
Lysosome,21,35,0.0093,,
Cholinergic synapse,7,25.93,0.0097,,
Antigen processing and presentation,7,26.92,0.0097,,
mRNA surveillance pathway,6,9.84,0.0099,,
Sphingolipid metabolism,4,21.05,0.01,,
Ferroptosis,19,73.08,0.01,,
Other types of O-glycan biosynthesis,11,100,0.0111,,
Vascular smooth muscle contraction,9,19.57,0.0111,,
JAK-STAT signaling pathway,26,50,0.0115,,
Apelin signaling pathway,5,8.77,0.0116,,
Inflammatory bowel disease,6,31.58,0.0144,,
Pentose phosphate pathway,13,76.47,0.0148,,
Inflammatory bowel disease (IBD),6,31.58,0.0148,,
Fatty acid biosynthesis,6,85.71,0.0148,,
Various types of N-glycan biosynthesis,4,26.67,0.0154,,
T cell receptor signaling pathway,5,11.63,0.017,,
Jak-STAT signaling pathway,26,53.06,0.0171,,
Thermogenesis,73,72.28,0.0179,,
Viral protein interaction with cytokine and cytokine receptor,9,81.82,0.0185,,
Fanconi anemia pathway,13,86.67,0.0187,,
Tuberculosis,33,54.1,0.0188,,
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4,50,0.0193,,
"N-glycan biosynthesis, complex type",5,100,0.0194,,
Antifolate resistance,9,56.25,0.0208,,
Methionine degradation,5,100,0.0208,,
Melanogenesis,7,25.93,0.0208,,
Cytosolic DNA-sensing pathway,13,43.33,0.0218,,
Legionellosis,19,82.61,0.0257,,
Parkinson disease,99,86.09,0.0259,,
eIF4F complex,3,42.86,0.0259,,
Fc gamma R-mediated phagocytosis,11,28.21,0.0308,,
Ras signaling pathway,6,8.82,0.0315,,
B cell receptor signaling pathway,3,11.54,0.032,,
Glucagon signaling pathway,25,55.56,0.0336,,
TGF-beta signaling pathway,32,60.38,0.036,,
Longevity regulating pathway - multiple species,18,60,0.0359,,
Central carbon metabolism in cancer,3,11.54,0.0424,,
Acute myeloid leukemia,8,23.53,0.0444,,
Citrate cycle (TCA cycle),15,65.22,0.045,,
Selenocompound metabolism,3,25,0.0449,,
Phospholipase D signaling pathway,3,6.12,0.0447,,
Staphylococcus aureus infection,16,76.19,0.0454,,
Glycerolipid metabolism,14,66.67,0.0493,,
"Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP",7,100,0.0642,,
"GABA biosynthesis, eukaryotes, putrescine => GABA",4,50,0.0655,,
Insulin secretion,4,19.05,0.0686,,
Pyruvate metabolism,28,96.55,0.0766,,
Calcium signaling pathway,15,27.78,0.0786,,
Cysteine and methionine metabolism,23,82.14,0.0815,,
Endometrial cancer,3,11.54,0.0821,,
FoxO signaling pathway,53,92.98,0.0826,,
Origin recognition complex,5,100,0.0887,,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,5,100,0.0903,,
COPII complex,2,25,0.0949,,
Steroid biosynthesis,4,80,0.0946,,
N-glycan precursor biosynthesis,2,40,0.0953,,
Other glycan degradation,2,28.57,0.0986,,
Carbohydrate digestion and absorption,3,23.08,0.1007,,
VEGF signaling pathway,2,10,0.1032,,
JAK-STAT signaling,2,18.18,0.1028,,
Mitophagy - animal,2,5.56,0.1048,,
Galactose metabolism,10,76.92,0.107,,
Notch signaling pathway,2,9.52,0.1112,,
cAMP signaling pathway,26,50.98,0.114,,
Cell adhesion molecules,23,82.14,0.1152,,
Sphingosine biosynthesis,5,100,0.1199,,
Th1 and Th2 cell differentiation,2,7.14,0.1196,,
Thyroid hormone synthesis,8,28.57,0.1192,,
Leishmaniasis,13,50,0.1239,,
Butanoate metabolism,6,40,0.1311,,
Ubiquinone and other terpenoid-quinone biosynthesis,4,57.14,0.1364,,
Vasopressin-regulated water reabsorption,8,47.06,0.1387,,
Cell adhesion molecules (CAMs),22,81.48,0.1402,,
One carbon pool by folate,4,40,0.1486,,
Amyotrophic lateral sclerosis (ALS),3,16.67,0.1752,,
Glycolysis / Gluconeogenesis,28,93.33,0.1766,,
Chemical carcinogenesis - reactive oxygen species,46,41.07,0.1993,,
Neuroactive ligand-receptor interaction,18,56.25,0.201,,
Starch and sucrose metabolism,15,100,0.215,,
p53 signaling pathway,28,96.55,0.2231,,
beta-Alanine metabolism,17,85,0.2341,,
