tf,p-value
Runx3,0.0
Zfp422,0.0
Lyl1,0.0
Relb,0.0
Yap1,0.0
Trim27,0.0
Ikzf1,0.0
Rbck1,0.0
Tead2,0.0
Akna,0.0
Irf8,0.0
Foxn2,0.0
Nfatc1,0.0
Ctnnb1,0.0
Rfc1,0.0
Elk3,0.0
Men1,0.0
Prrx1,0.0
Elf1,0.0
Aebp2,0.0
Basp1,0.0
Bcl3,0.0
Lmo2,0.0
Twist1,0.0
Taf13,0.0
App,0.0
Srebf2,0.0
Stat6,0.0
Foxc2,0.0
Runx1,0.0
Cenpb,0.0
Zbtb42,0.0
Apex1,0.0
Ciita,0.0
Nr1h2,0.0
Ndn,0.0
Snai2,0.0
Smyd1,0.0
Hmg20b,0.0
Nfkb1,0.0
Vps72,0.0
Atf6b,0.0
Scx,0.0
Meox2,0.0
Aebp1,0.0
Safb2,0.0
Tnf,0.0
Ptges2,0.0
Sod2,0.0
Arid5a,0.0
Sp100,0.0
Nfib,0.0
Cxxc1,0.0
Irf9,0.0
Drap1,0.0
Ldb1,0.0
Lrrfip1,0.0
Stat1,0.0
Prdx5,0.0
Etv3,0.0
E2f4,0.0
Smarce1,0.0
Naca,0.0
Mbd3,0.0
Rxrg,0.0
Batf,0.0
Nr1h3,0.0
Zfp110,0.0
Prrx2,0.0
Pou2f2,0.0
Ddx58,0.0
Klf6,0.0
Irf7,0.0
Trim30a,0.0
Zfp354c,0.0001
Gata6,0.0001
Mafb,0.0001
Six5,0.0001
Zfp217,0.0001
Klf2,0.0002
Fubp3,0.0002
Stat3,0.0002
Gata4,0.0002
Nfya,0.0002
Zfp263,0.0003
Zbtb7b,0.0004
Hes1,0.0006
Arnt,0.0006
Sox7,0.0006
Taf6l,0.0007
Atxn1l,0.0008
Rnf4,0.0008
Ets2,0.0009
Gpbp1,0.001
Ddx1,0.001
Gtf2b,0.001
Kdm2a,0.0011
Smad2,0.0015
Zfp771,0.0016
Taf1b,0.0016
Phf5a,0.0018
Tcf3,0.0018
Nfic,0.002
Sox18,0.002
Nono,0.002
Rps3,0.0022
Mta2,0.0025
Irf1,0.0027
Tead3,0.0028
Phb,0.0029
Gtf2f1,0.003
Rnf6,0.0035
Zfp36,0.0036
Zkscan3,0.0038
Snai1,0.0039
Adar,0.004
Rest,0.0041
Zhx1,0.0043
Zbtb16,0.0045
