tf,p-value
Npm1,0.0
Arid5b,0.0
Yap1,0.0
Atoh8,0.0
Mlx,0.0
Zeb2,0.0
Dnmt1,0.0
Snai1,0.0
Tead2,0.0
Ezh2,0.0
Stat3,0.0
Rfc1,0.0
Nr3c2,0.0
Prrx1,0.0
Mafk,0.0
Trim16,0.0
Sox12,0.0
Foxc2,0.0
Ssrp1,0.0
Smad2,0.0
Zeb1,0.0
Hells,0.0
Snai2,0.0
Uhrf1,0.0
Cc2d1a,0.0
Ppara,0.0
Rbmxl1,0.0
Nfkb1,0.0
Zbtb16,0.0
Msl3,0.0
Aebp1,0.0
Nostrin,0.0
Sarnp,0.0
Mxd3,0.0
Nfib,0.0
Nfatc4,0.0
Stat1,0.0
Pa2g4,0.0
Rorc,0.0
Tfdp1,0.0
Tcea3,0.0
Klf15,0.0
Hltf,0.0
Tbx3,0.0
Phtf2,0.0001
Cnbp,0.0001
Tshz1,0.0001
Ruvbl2,0.0001
Sfpq,0.0001
Tmpo,0.0001
Med6,0.0002
Smad1,0.0002
Fosl2,0.0002
Top2a,0.0003
Twist1,0.0003
Arid5a,0.0003
Nfic,0.0004
Relb,0.0004
Tead3,0.0004
Mybl2,0.0004
Smyd1,0.0004
Nfix,0.0004
Smarce1,0.0004
Irf7,0.0004
Hmgb2,0.0005
E2f1,0.0006
Psmc3ip,0.0006
Lyl1,0.0008
Ankrd1,0.0008
Pcna,0.0008
Klf9,0.0008
Sox17,0.001
Maf,0.0016
Nolc1,0.002
Hic1,0.0022
Smad3,0.0022
Hes6,0.0024
Nfe2l1,0.0027
Irf5,0.0027
Gtf2f1,0.0028
Irf9,0.0029
Kdm1a,0.0031
Cbfb,0.004
Dnmt3a,0.0043
Rarg,0.0044
Trim30a,0.0044
Atf3,0.0056
Zfp354c,0.0057
Pias4,0.0067
Tbx20,0.007
Ctnnb1,0.0075
Irf1,0.0078
Gtf2f2,0.0087
Prrx2,0.0094
Phf5a,0.0108
Irx3,0.0115
Nfil3,0.0124
Ddx1,0.0127
Rbmx,0.0127
Sra1,0.0143
Set,0.0148
Ilf2,0.0151
Hnrnpk,0.0159
Spata24,0.017
Fosl1,0.0193
Zkscan17,0.0211
Cggbp1,0.0212
Ppp1r8,0.0221
Atf6b,0.0229
Taf10,0.0236
Ikzf1,0.0258
Epas1,0.0261
Zc3h8,0.0261
Tada2a,0.0265
Apex1,0.0272
Ilf3,0.0277
Ptges2,0.0281
Sod2,0.0281
Tfdp2,0.0287
Zbtb20,0.0321
Tbx2,0.0365
Ncor2,0.0376
Gata2,0.0391
Creb3l1,0.0396
Hlf,0.043
Hlx,0.0431
Mbd3,0.0442
Zfp260,0.0451
Gtf2a1,0.046
Zfp148,0.046
Pou2f2,0.0515
Nfe2l2,0.0517
Zbtb7a,0.0519
Safb,0.0531
Nr4a1,0.0535
Phb,0.0537
Cebpa,0.0567
Tcf15,0.057
Egr1,0.0599
Fli1,0.0604
Gata4,0.0612
Gtf2e2,0.0643
Meox1,0.0695
Cdc5l,0.0728
Safb2,0.0766
Cic,0.0789
Elf1,0.08
Bhlhe40,0.0811
Smarca2,0.0813
Esrrg,0.085
Zfp36,0.086
Prdm4,0.0865
Nr1h3,0.0865
Zhx1,0.0885
Fos,0.0885
Mafb,0.0941
Sox7,0.0967
Nr0b2,0.0977
Taf1,0.0984
Sp100,0.1
Edf1,0.1094
Rxra,0.1097
Chd4,0.115
Vps72,0.1265
Sox18,0.1273
Sphk1,0.1287
Batf,0.1324
Sap30,0.1335
Runx1,0.1386
Fosb,0.1407
E2f6,0.1413
Elk3,0.1441
Arid1a,0.1466
Klf16,0.1496
Irx1,0.1524
Hmgn5,0.1658
Hdac1,0.1664
Nfkb2,0.1724
Basp1,0.1755
Mta3,0.1782
Csrnp1,0.1813
Rara,0.1832
Bclaf1,0.1839
